drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"104339","134","SOLUTION","ADDED","02554550"
"104323","85","TABLET","ADDED","02554372"
"104375","85","TABLET","ADDED","02554933"
"104387","5","CAPSULE","ADDED","02555077"
"104345","5","CAPSULE","ADDED","02554615"
"104324","56","POWDER FOR SOLUTION","ADDED","02554380"
"104370","5","CAPSULE","ADDED","02554887"
"104364","105","WIPE","ADDED","02554828"
"104353","5","CAPSULE","ADDED","02554690"
"104366","5","CAPSULE","ADDED","02554844"
"104333","85","TABLET","ADDED","02554488"
"104335","85","TABLET","ADDED","02554518"
"104382","79","SUSPENSION","ADDED","02555026"
"104340","143","SUSPENSION (EXTENDED-RELEASE)","ADDED","02554569"
"103967","5","CAPSULE","ADDED","02550903"
"104380","55","POWDER","ADDED","02554992"
"104374","85","TABLET","ADDED","02554917"
"104368","5","CAPSULE","ADDED","02554860"
"104336","56","POWDER FOR SOLUTION","ADDED","02554526"
"104328","85","TABLET","ADDED","02554429"
"104326","85","TABLET","ADDED","02554402"
"103966","5","CAPSULE","ADDED","02550881"
"104369","5","CAPSULE","ADDED","02554879"
"104317","134","SOLUTION","ADDED","02554305"
"104383","79","SUSPENSION","ADDED","02555034"
"104351","132","TABLET (ORALLY DISINTEGRATING)","ADDED","02554682"
"104316","134","SOLUTION","ADDED","02554291"
"104334","85","TABLET","ADDED","02554496"
"104156","85","TABLET","ADDED","02552604"
"104372","85","TABLET","ADDED","02554895"
"104367","5","CAPSULE","ADDED","02554852"
"104331","85","TABLET","ADDED","02554453"
"104388","5","CAPSULE","ADDED","02555085"
"104314","85","TABLET","ADDED","02554275"
"104386","5","CAPSULE","ADDED","02555069"
"104377","75","TABLET (EXTENDED-RELEASE)","ADDED","02554968"
"104343","56","POWDER FOR SOLUTION","ADDED","02554593"
"104384","134","SOLUTION","ADDED","02555042"
"104362","134","SOLUTION","ADDED","02554798"
"104365","5","CAPSULE","ADDED","02554836"
"104330","85","TABLET","ADDED","02554445"
"104373","85","TABLET","ADDED","02554909"
"104348","132","TABLET (ORALLY DISINTEGRATING)","ADDED","02554658"
"104325","85","TABLET","ADDED","02554399"
"104322","134","SOLUTION","ADDED","02554364"
"104319","85","TABLET","ADDED","02554321"
"104329","56","POWDER FOR SOLUTION","ADDED","02554437"
"104378","75","TABLET (EXTENDED-RELEASE)","ADDED","02554976"
"104350","132","TABLET (ORALLY DISINTEGRATING)","ADDED","02554674"
"104320","85","TABLET","ADDED","02554348"
"104346","5","CAPSULE","ADDED","02554623"
"104347","132","TABLET (ORALLY DISINTEGRATING)","ADDED","02554631"
"104349","132","TABLET (ORALLY DISINTEGRATING)","ADDED","02554666"
"104318","5","CAPSULE","ADDED","02554313"
"104344","56","POWDER FOR SOLUTION","ADDED","02554607"
"104341","143","SUSPENSION (EXTENDED-RELEASE)","ADDED","02554577"
"104315","134","SOLUTION","ADDED","02554283"
"104211","85","TABLET","ADDED","02553155"
"104385","5","CAPSULE","ADDED","02555050"
"104321","85","TABLET","ADDED","02554356"
"104376","9","CREAM","ADDED","02554941"
