drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"67875","active","active","02243933","SUN PHARMACEUTICAL INDUSTRIES, INC.","DUSA PHARMACEUTICALS INC"
"810","active","active","00074500","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"19460","active","active","02086026","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"75893","active","active","02273446","JUNO OTC INC","TEVA CANADA LIMITED"
"102240","active","active","02533405","HAVE&BE USA, INC., DIST.","HAVE & BE USA INC., DIST"
"102242","active","active","02533421","HAVE&BE USA, INC., DIST.","HAVE & BE USA INC., DIST"
"77686","inactive","inactive","02291509","PRIME ENTERPRISES, LLC","PRIME ENTERPRISES, LLC."
"79252","inactive","inactive","02306832","PRIME ENTERPRISES, LLC","PRIME ENTERPRISES, LLC."
"79253","inactive","inactive","02306840","PRIME ENTERPRISES, LLC","PRIME ENTERPRISES, LLC."
"79254","inactive","inactive","02306859","PRIME ENTERPRISES, LLC","PRIME ENTERPRISES, LLC."
"79255","inactive","inactive","02306867","PRIME ENTERPRISES, LLC","PRIME ENTERPRISES, LLC."
"80573","inactive","inactive","02320290","PRIME ENTERPRISES, LLC","PRIME ENTERPRISES, LLC."
"82759","inactive","inactive","02342073","PRIME ENTERPRISES, LLC","PRIME ENTERPRISES, LLC."
"84425","inactive","inactive","02359227","PRIME ENTERPRISES, LLC","PRIME ENTERPRISES, LLC."
"86082","inactive","inactive","02375400","PRIME ENTERPRISES, LLC","PRIME ENTERPRISES, LLC."
"88350","inactive","inactive","02398559","PRIME ENTERPRISES, LLC","PRIME ENTERPRISES, LLC."
"74760","dormant","dormant","02262215","PRIME ENTERPRISES, LLC","PRIME ENTERPRISES, LLC."
"75421","dormant","dormant","02268817","PRIME ENTERPRISES, LLC","PRIME ENTERPRISES, LLC."
"104203","approved","approved","02553074","KNIGHT THERAPEUTICS INC.","IRONSHORE PHARMACEUTICALS & DEVELOPMENT, INC."
"104201","approved","approved","02553058","KNIGHT THERAPEUTICS INC.","IRONSHORE PHARMACEUTICALS & DEVELOPMENT, INC."
"104202","approved","approved","02553066","KNIGHT THERAPEUTICS INC.","IRONSHORE PHARMACEUTICALS & DEVELOPMENT, INC."
"104200","approved","approved","02553031","KNIGHT THERAPEUTICS INC.","IRONSHORE PHARMACEUTICALS & DEVELOPMENT, INC."
"104199","approved","approved","02553023","KNIGHT THERAPEUTICS INC.","IRONSHORE PHARMACEUTICALS & DEVELOPMENT, INC."
"103343","approved","approved","02544806","AFT PHARMACEUTICALS (CAN) LIMITED","BIOSYENT PHARMA INC"
