drug_code,mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
9,00015741,TAPAZOLE (méthimazole 5 mg comprimé oral) ENDO OPERATIONS LTD.,méthimazole 5 mg comprimé oral,méthimazole,"mp_fr_description: ""TAPAZOLE (méthimazole 5 mg comprimé oral) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""TAPAZOLE (méthimazole 5 mg comprimé oral) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."""
789,00030767,DEPO-MEDROL (acétate de méthylprednisolone 80 mg par 1 mL suspension injectable fiole) PFIZER CANADA ULC,acétate de méthylprednisolone 80 mg par 1 mL suspension injectable fiole,acétate de méthylprednisolone,"mp_fr_description: ""DEPO-MEDROL̲ ̲8̲0̲ ̲M̲G̲/̲M̲L (acétate de méthylprednisolone 80 mg par 1 mL suspension injectable fiole) PFIZER CANADA ULC"" -> ""DEPO-MEDROL (acétate de méthylprednisolone 80 mg par 1 mL suspension injectable fiole) PFIZER CANADA ULC"""
1134,00030759,DEPO-MEDROL (acétate de méthylprednisolone 40 mg par 1 mL suspension injectable fiole) PFIZER CANADA ULC,acétate de méthylprednisolone 40 mg par 1 mL suspension injectable fiole,acétate de méthylprednisolone,"mp_fr_description: ""DEPO-MEDROL̲ ̲4̲0̲ ̲M̲G̲/̲M̲L (acétate de méthylprednisolone 40 mg par 1 mL suspension injectable fiole) PFIZER CANADA ULC"" -> ""DEPO-MEDROL (acétate de méthylprednisolone 40 mg par 1 mL suspension injectable fiole) PFIZER CANADA ULC"""
4114,00500895,NALCROM (cromolyne sodique 100 mg capsule orale) LUPIN PHARMA CANADA LIMITED,cromolyne sodique 100 mg capsule orale,cromolyne,"mp_fr_description: ""NALCROM (cromolyne sodique 100 mg capsule orale) S̲A̲N̲O̲F̲I̲-̲A̲V̲E̲N̲T̲I̲S̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""NALCROM (cromolyne sodique 100 mg capsule orale) L̲U̲P̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲C̲A̲N̲A̲D̲A̲ ̲L̲I̲M̲I̲T̲E̲D̲"""
4222,00511552,SANDOMIGRAN DS (pizotifène (malate de pizotifène) 1 mg comprimé oral) ENDO OPERATIONS LTD.,pizotifène (malate de pizotifène) 1 mg comprimé oral,pizotifène,"mp_fr_description: ""SANDOMIGRAN DS (pizotifène (malate de pizotifène) 1 mg comprimé oral) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""SANDOMIGRAN DS (pizotifène (malate de pizotifène) 1 mg comprimé oral) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."""
10828,00882801,APO-PRAZO (prazosine (chlorhydrate de prazosine) 1 mg comprimé oral) APOTEX INC,prazosine (chlorhydrate de prazosine) 1 mg comprimé oral,prazosine,"mp_fr_description: ""APO-PRAZO ̲T̲A̲B̲ ̲1̲M̲G̲ (prazosine (chlorhydrate de prazosine) 1 mg comprimé oral) APOTEX INC"" -> ""APO-PRAZO (prazosine (chlorhydrate de prazosine) 1 mg comprimé oral) APOTEX INC"""
10829,00882828,APO-PRAZO (prazosine (chlorhydrate de prazosine) 2 mg comprimé oral) APOTEX INC,prazosine (chlorhydrate de prazosine) 2 mg comprimé oral,prazosine,"mp_fr_description: ""APO-PRAZO ̲T̲A̲B̲ ̲2̲M̲G̲ (prazosine (chlorhydrate de prazosine) 2 mg comprimé oral) APOTEX INC"" -> ""APO-PRAZO (prazosine (chlorhydrate de prazosine) 2 mg comprimé oral) APOTEX INC"""
10830,00882836,APO-PRAZO (prazosine (chlorhydrate de prazosine) 5 mg comprimé oral) APOTEX INC,prazosine (chlorhydrate de prazosine) 5 mg comprimé oral,prazosine,"mp_fr_description: ""APO-PRAZO ̲T̲A̲B̲ ̲5̲M̲G̲ (prazosine (chlorhydrate de prazosine) 5 mg comprimé oral) APOTEX INC"" -> ""APO-PRAZO (prazosine (chlorhydrate de prazosine) 5 mg comprimé oral) APOTEX INC"""
12745,01947931,DUVOID (chlorure de béthanéchol 25 mg comprimé oral) ENDO OPERATIONS LTD.,chlorure de béthanéchol 25 mg comprimé oral,béthanéchol,"mp_fr_description: ""DUVOID (chlorure de béthanéchol 25 mg comprimé oral) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""DUVOID (chlorure de béthanéchol 25 mg comprimé oral) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."""
12746,01947958,DUVOID (chlorure de béthanéchol 10 mg comprimé oral) ENDO OPERATIONS LTD.,chlorure de béthanéchol 10 mg comprimé oral,béthanéchol,"mp_fr_description: ""DUVOID (chlorure de béthanéchol 10 mg comprimé oral) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""DUVOID (chlorure de béthanéchol 10 mg comprimé oral) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."""
12887,01947923,DUVOID (chlorure de béthanéchol 50 mg comprimé oral) ENDO OPERATIONS LTD.,chlorure de béthanéchol 50 mg comprimé oral,béthanéchol,"mp_fr_description: ""DUVOID (chlorure de béthanéchol 50 mg comprimé oral) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""DUVOID (chlorure de béthanéchol 50 mg comprimé oral) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."""
16276,01934341,DEPO-MEDROL (acétate de méthylprednisolone 400 mg par 5 mL suspension injectable fiole) PFIZER CANADA ULC,acétate de méthylprednisolone 400 mg par 5 mL suspension injectable fiole,acétate de méthylprednisolone,"mp_fr_description: ""DEPO-MEDROL̲ ̲(̲W̲I̲T̲H̲ ̲P̲R̲E̲S̲E̲R̲V̲A̲T̲I̲V̲E̲)̲ ̲8̲0̲ ̲M̲G̲/̲M̲L (acétate de méthylprednisolone 400 mg par 5 mL suspension injectable fiole) PFIZER CANADA ULC"" -> ""DEPO-MEDROL (acétate de méthylprednisolone 400 mg par 5 mL suspension injectable fiole) PFIZER CANADA ULC"""
18988,01934325,DEPO-MEDROL (acétate de méthylprednisolone 100 mg par 5 mL suspension injectable fiole) PFIZER CANADA ULC,acétate de méthylprednisolone 100 mg par 5 mL suspension injectable fiole,acétate de méthylprednisolone,"mp_fr_description: ""DEPO-MEDROL̲ ̲(̲W̲I̲T̲H̲ ̲P̲R̲E̲S̲E̲R̲V̲A̲T̲I̲V̲E̲)̲ ̲2̲0̲ ̲M̲G̲/̲M̲L (acétate de méthylprednisolone 100 mg par 5 mL suspension injectable fiole) PFIZER CANADA ULC"" -> ""DEPO-MEDROL (acétate de méthylprednisolone 100 mg par 5 mL suspension injectable fiole) PFIZER CANADA ULC"""
60245,02236951,SEROQUEL (quétiapine (fumarate de quétiapine) 25 mg comprimé oral) CHEPLAPHARM ARZNEIMITTEL GMBH,quétiapine (fumarate de quétiapine) 25 mg comprimé oral,quétiapine,"mp_fr_description: ""SEROQUEL (quétiapine (fumarate de quétiapine) 25 mg comprimé oral) A̲S̲T̲R̲A̲Z̲E̲N̲E̲C̲A̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""SEROQUEL (quétiapine (fumarate de quétiapine) 25 mg comprimé oral) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲A̲R̲Z̲N̲E̲I̲M̲I̲T̲T̲E̲L̲ ̲G̲M̲B̲H̲"""
60246,02236952,SEROQUEL (quétiapine (fumarate de quétiapine) 100 mg comprimé oral) CHEPLAPHARM ARZNEIMITTEL GMBH,quétiapine (fumarate de quétiapine) 100 mg comprimé oral,quétiapine,"mp_fr_description: ""SEROQUEL (quétiapine (fumarate de quétiapine) 100 mg comprimé oral) A̲S̲T̲R̲A̲Z̲E̲N̲E̲C̲A̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""SEROQUEL (quétiapine (fumarate de quétiapine) 100 mg comprimé oral) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲A̲R̲Z̲N̲E̲I̲M̲I̲T̲T̲E̲L̲ ̲G̲M̲B̲H̲"""
60247,02236953,SEROQUEL (quétiapine (fumarate de quétiapine) 200 mg comprimé oral) CHEPLAPHARM ARZNEIMITTEL GMBH,quétiapine (fumarate de quétiapine) 200 mg comprimé oral,quétiapine,"mp_fr_description: ""SEROQUEL (quétiapine (fumarate de quétiapine) 200 mg comprimé oral) A̲S̲T̲R̲A̲Z̲E̲N̲E̲C̲A̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""SEROQUEL (quétiapine (fumarate de quétiapine) 200 mg comprimé oral) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲A̲R̲Z̲N̲E̲I̲M̲I̲T̲T̲E̲L̲ ̲G̲M̲B̲H̲"""
65010,02241377,METADOL (chlorhydrate de méthadone 10 mg par mL solution orale) ENDO OPERATIONS LTD.,chlorhydrate de méthadone 10 mg par mL solution orale,méthadone,"mp_fr_description: ""METADOL (chlorhydrate de méthadone 10 mg par mL solution orale) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""METADOL (chlorhydrate de méthadone 10 mg par mL solution orale) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."""
