drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"106541","43","OINTMENT","ADDED","02562537"
"106457","85","TABLET","ADDED","02561638"
"106501","134","SOLUTION","ADDED","02562103"
"106525","78","SUPPOSITORY","ADDED","02562367"
"106445","5","CAPSULE","ADDED","02561492"
"106526","134","SOLUTION","ADDED","02562375"
"106475","55","POWDER","ADDED","02561824"
"106487","85","TABLET","ADDED","02561956"
"106469","85","TABLET","ADDED","02561751"
"106513","134","SOLUTION","ADDED","02562235"
"106460","85","TABLET","ADDED","02561662"
"106517","85","TABLET","ADDED","02562286"
"106512","43","OINTMENT","ADDED","02562227"
"106489","134","SOLUTION","ADDED","02561972"
"106453","134","SOLUTION","ADDED","02561573"
"106532","75","TABLET (EXTENDED-RELEASE)","ADDED","02562448"
"106518","85","TABLET","ADDED","02562294"
"106498","134","SOLUTION","ADDED","02562065"
"106441","56","POWDER FOR SOLUTION","ADDED","02561441"
"106468","85","TABLET","ADDED","02561743"
"106530","85","TABLET","ADDED","02562413"
"106431","42","MOUTHWASH/GARGLE","ADDED","02561344"
"106450","85","TABLET","ADDED","02561549"
"106516","85","TABLET","ADDED","02562278"
"106491","134","SOLUTION","ADDED","02561999"
"93392","133","0-UNASSIGNED","REMOVED","02448254"
"16462","34","LIQUID","REMOVED","02100606"
"106531","114","GEL","ADDED","02562421"
"106442","56","POWDER FOR SOLUTION","ADDED","02561468"
"106511","134","SOLUTION","ADDED","02562219"
"106480","134","SOLUTION","ADDED","02561875"
"106522","85","TABLET","ADDED","02562332"
"106429","85","TABLET","ADDED","02561328"
"106479","85","TABLET","ADDED","02561867"
"106427","85","TABLET","ADDED","02561298"
"106492","85","TABLET","ADDED","02562006"
"106523","85","TABLET","ADDED","02562340"
"106466","134","SOLUTION","ADDED","02561727"
"106478","85","TABLET","ADDED","02561859"
"106485","85","TABLET","ADDED","02561921"
"106486","85","TABLET","ADDED","02561948"
"106496","134","SOLUTION","ADDED","02562049"
"106546","126","POWDER FOR SUSPENSION","ADDED","02562596"
"106507","141","CAPSULE (EXTENDED RELEASE)","ADDED","02562170"
"106509","134","SOLUTION","ADDED","02562197"
"106456","85","TABLET","ADDED","02561611"
"106514","9","CREAM","ADDED","02562243"
"106540","134","SOLUTION","ADDED","02562529"
"106465","134","SOLUTION","ADDED","02561719"
"106499","5","CAPSULE","ADDED","02562073"
"106438","5","CAPSULE","ADDED","02561417"
"106481","134","SOLUTION","ADDED","02561883"
"106430","85","TABLET","ADDED","02561336"
"101262","56","POWDER FOR SOLUTION","ADDED","02523531"
"106440","184","DISPERSION","ADDED","02561433"
"106493","85","TABLET","ADDED","02562014"
"106505","141","CAPSULE (EXTENDED RELEASE)","ADDED","02562154"
"106515","85","TABLET","ADDED","02562251"
"106500","134","SOLUTION","ADDED","02562081"
"106502","134","SOLUTION","ADDED","02562111"
"106459","85","TABLET","ADDED","02561654"
"106461","85","TABLET","ADDED","02561670"
"106495","134","SOLUTION","ADDED","02562030"
"84760","34","LIQUID","REMOVED","02362597"
"106446","79","SUSPENSION","ADDED","02561506"
"106346","134","SOLUTION","ADDED","02560399"
"106463","134","SOLUTION","ADDED","02561697"
"106467","134","SOLUTION","ADDED","02561735"
"106503","134","SOLUTION","ADDED","02562138"
"106479","32","KIT","ADDED","02561867"
"106497","134","SOLUTION","ADDED","02562057"
"106519","85","TABLET","ADDED","02562308"
"16462","134","SOLUTION","ADDED","02100606"
"106494","134","SOLUTION","ADDED","02562022"
"106520","134","SOLUTION","ADDED","02562316"
"106477","85","TABLET","ADDED","02561840"
"106458","85","TABLET","ADDED","02561646"
"106490","134","SOLUTION","ADDED","02561980"
"106464","134","SOLUTION","ADDED","02561700"
"106451","134","SOLUTION","ADDED","02561557"
"106545","126","POWDER FOR SUSPENSION","ADDED","02562588"
"106506","141","CAPSULE (EXTENDED RELEASE)","ADDED","02562162"
"106437","5","CAPSULE","ADDED","02561409"
"106428","85","TABLET","ADDED","02561301"
"106454","85","TABLET","ADDED","02561581"
"106543","134","SOLUTION","ADDED","02562553"
"106533","9","CREAM","ADDED","02562456"
"106539","134","SOLUTION","ADDED","02562510"
"106484","85","TABLET","ADDED","02561913"
"106482","134","SOLUTION","ADDED","02561891"
"106399","134","SOLUTION","ADDED","02560984"
"106439","5","CAPSULE","ADDED","02561425"
"106483","85","TABLET","ADDED","02561905"
"106363","55","POWDER","ADDED","02560585"
"106462","85","TABLET","ADDED","02561689"
"106447","134","SOLUTION","ADDED","02561514"
"106260","75","TABLET (EXTENDED-RELEASE)","ADDED","02559447"
"106527","134","SOLUTION","ADDED","02562383"
"84760","134","SOLUTION","ADDED","02362597"
"106452","85","TABLET","ADDED","02561565"
