drug_code,drug_identification_number,current_brand_name,previous_brand_name
"3594","00415219","ENVIRO 40","ENVIRO 40LIQ"
"49817","02230640","TOBRAMYCIN INJECTION, USP","TOBRAMYCIN INJECTION"
"65460","02241795","PROCYTOX","PROCYTOX TAB 25MG"
"65461","02241796","PROCYTOX","PROCYTOX TAB 50MG"
"80244","02316943","GALANTAMINE ER","PAT-GALANTAMINE ER"
"80245","02316951","GALANTAMINE ER","PAT-GALANTAMINE ER"
"80246","02316978","GALANTAMINE ER","PAT-GALANTAMINE ER"
"88440","02399520","PYRITHIONE ZINC DANDRUFF SHAMPOO ITCH RELIEF","PYRITHIONE ZINC DANDRUFF SHAMPOO ITCHY SCALP CARE"
"88454","02399687","PYRITHIONE ZINC DANDRUFF SHAMPOO ITCH RELIEF 2IN1","PYRITHIONE ZINC DANDRUFF SHAMPOO ITCHY SCALP CARE 2IN1"
"96331","02473801","JAMP FOSFOMYCIN","JAMP-FOSFOMYCIN"
"79241","02306719","ORIGINAL ANTIBIOTIC OINTMENT","TOPICAL ANTIBIOTIC OINTMENT"
"103644","02547481","ALOG-SAPROPTERIN","TEVA-SAPROPTERIN"
