drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"1553","active","active","00254142","OPELLA CANADA INC.","SANOFI CONSUMER HEALTH INC"
"1555","active","active","00003875","OPELLA CANADA INC.","SANOFI CONSUMER HEALTH INC"
"74181","active","active","02256576","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"76168","active","active","02276003","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"78062","active","active","02295326","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"79122","active","active","02305666","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"80244","active","active","02316943","ESSENTIAL PHARMA SWITZERLAND GMBH","JANSSEN INC"
"80245","active","active","02316951","ESSENTIAL PHARMA SWITZERLAND GMBH","JANSSEN INC"
"80246","active","active","02316978","ESSENTIAL PHARMA SWITZERLAND GMBH","JANSSEN INC"
"83304","active","active","02347660","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"83344","active","active","02348098","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"85088","active","active","02366010","JUNO PHARMA CANADA INC.","OMEGA LABORATORIES LIMITED"
"88276","active","active","02397854","OPELLA CANADA INC.","SANOFI CONSUMER HEALTH INC"
"92540","active","active","02441039","ZEE CANADA HOLDINGS, ULC","DECON7 SYSTEMS INC"
"92667","active","active","02442302","CHIESI FARMACEUTICI S.P.A.","HORIZON THERAPEUTICS IRELAND DAC"
"92801","active","active","02443376","JUNO PHARMA CANADA INC.","JUNO PHARMACEUTICALS CORP."
"96283","active","active","02473429","ZEE CANADA HOLDINGS, ULC","DECON7 SYSTEMS INC"
"97384","active","active","02483394","JUNO PHARMA CANADA INC.","JUNO PHARMACEUTICALS CORP."
"97449","active","active","02484153","BIOCON BIOLOGICS CANADA INC","BIOSIMILAR COLLABORATIONS IRELAND LIMITED"
"100333","active","active","02514168","ECONO-CHEM LTD","ECONO-CHEM 425579 ALBERTA LTD."
"101131","active","active","02522160","BIOCON BIOLOGICS CANADA INC","BIOSIMILAR COLLABORATIONS IRELAND LIMITED"
"101132","active","active","02522179","BIOCON BIOLOGICS CANADA INC","BIOSIMILAR COLLABORATIONS IRELAND LIMITED"
"70460","inactive","inactive","02246298","NICE-PAK PRODUCTS, LLC","NICE-PAK PRODUCTS INC"
"72902","dormant","dormant","02248547","ALFASAN NEDERLAND B.V.","ALFASAN INTERNATIONAL B.V."
"73675","dormant","dormant","02251841","NICE-PAK PRODUCTS, LLC","NICE-PAK PRODUCTS INC"
"76460","dormant","dormant","02279045","NICE-PAK PRODUCTS, LLC","NICE-PAK PRODUCTS INC"
"80305","dormant","dormant","02317532","NICE-PAK PRODUCTS, LLC","NICE-PAK PRODUCTS INC"
"82801","dormant","dormant","02342529","NICE-PAK PRODUCTS, LLC","NICE-PAK PRODUCTS INC"
"86464","dormant","dormant","02378752","NICE-PAK PRODUCTS, LLC","NICE-PAK PRODUCTS INC"
"87586","dormant","dormant","02390434","NICE-PAK PRODUCTS, LLC","NICE-PAK PRODUCTS INC"
"87605","dormant","dormant","02390639","NICE-PAK PRODUCTS, LLC","NICE-PAK PRODUCTS INC"
"91858","dormant","dormant","02434237","NICE-PAK PRODUCTS, LLC","NICE-PAK PRODUCTS INC"
"90809","approved","approved","02423367","NICE-PAK PRODUCTS, LLC","NICE-PAK PRODUCTS INC"
"101130","approved","approved","02522152","NICE-PAK PRODUCTS, LLC","NICE-PAK PRODUCTS INC"
"102754","approved","approved","02538857","AS KALCEKS","THE J. MOLNER COMPANY INC."
"103644","approved","approved","02547481","ANALOG PHARMA CANADA INC.","TEVA CANADA LIMITED"
"106399","approved","approved","02560984","AS KALCEKS","THE J. MOLNER COMPANY INC."
