drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"106431","182","MOUTHWASH","ADDED","02561344"
"106431","42","MOUTHWASH/GARGLE","REMOVED","02561344"
"104007","85","TABLET","ADDED","02551349"
"3594","134","SOLUTION","ADDED","00415219"
"106775","85","TABLET","ADDED","02565110"
"10526","34","LIQUID","REMOVED","00453811"
"10526","134","SOLUTION","ADDED","00453811"
"106774","85","TABLET","ADDED","02565102"
"104006","85","TABLET","ADDED","02551330"
"88276","85","TABLET","REMOVED","02397854"
"88276","109","TABLET (DELAYED-RELEASE)","ADDED","02397854"
"3594","34","LIQUID","REMOVED","00415219"
