ntp_code,ntp_formal_name,ntp_fr_description,changes
9013814,dequalinium chloride 0.5 % oromucosal solution,"chlorure de déqualinium 0,5 % solution buccale","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19951231"" -> ""20250731"""
9015243,aripiprazole 1 mg per mL oral solution,aripiprazole 1 mg par mL solution orale,ADDED
9001664,methylprednisolone (methylprednisolone sodium succinate) 500 mg per vial powder for solution for injection,méthylprednisolone (succinate sodique de méthylprednisolone) 500 mg par fiole poudre pour solution injectable,"ntp_status_effective_time: ""20211117"" -> ""20250731"""
9012917,bupivacaine hydrochloride 125 mg per 50 mL solution for injection vial,chlorhydrate de bupivacaïne 125 mg par 50 mL solution injectable fiole,"ntp_status_effective_time: ""20190305"" -> ""20250731"""
9002434,chlorhexidine gluconate 4 % cutaneous gel,gluconate de chlorhexidine 4 % gel cutané,"ntp_status_effective_time: ""20240627"" -> ""20250730"""
9001677,methylprednisolone (methylprednisolone sodium succinate) 1 g per vial powder for solution for injection,méthylprednisolone (succinate sodique de méthylprednisolone) 1 g par fiole poudre pour solution injectable,"ntp_status_effective_time: ""20211117"" -> ""20250730"""
9014627,ponesimod 2 mg oral tablet with ponesimod 3 mg oral tablet with ponesimod 4 mg oral tablet with ponesimod 5 mg oral tablet with ponesimod 6 mg oral tablet with ponesimod 7 mg oral tablet with ponesimod 8 mg oral tablet with ponesimod 9 mg oral tablet with ponesimod 10 mg oral tablet,ponésimod 2 mg comprimé oral avec ponésimod 3 mg comprimé oral avec ponésimod 4 mg comprimé oral avec ponésimod 5 mg comprimé oral avec ponésimod 6 mg comprimé oral avec ponésimod 7 mg comprimé oral avec ponésimod 8 mg comprimé oral avec ponésimod 9 mg comprimé oral avec ponésimod 10 mg comprimé oral,"ntp_status_effective_time: ""20221126"" -> ""20250827"""
9015242,acetaminophen 500 mg per 5 mL and chlorpheniramine maleate 2 mg per 5 mL and dextromethorphan hydrobromide 10 mg per 5 mL and menthol 20 mg per 5 mL syrup,acétaminophène 500 mg par 5 mL et maléate de chlorphéniramine 2 mg par 5 mL et bromhydrate de dextrométhorphane 10 mg par 5 mL et menthol 20 mg par 5 mL sirop,ADDED
9002458,doxepin (doxepin hydrochloride) 150 mg oral capsule,doxépine (chlorhydrate de doxépine) 150 mg capsule orale,"ntp_status_effective_time: ""20190808"" -> ""20250828"""
9003992,fosamprenavir (fosamprenavir calcium) 700 mg oral tablet,fosamprénavir (fosamprénavir calcique) 700 mg comprimé oral,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20041222"" -> ""20241231"""
9015250,secukinumab 300 mg per 2 mL solution for injection pen,sécukinumab 300 mg par 2 mL solution injectable stylo,ADDED
9012358,verapamil hydrochloride 240 mg prolonged-release oral tablet,chlorhydrate de vérapamil 240 mg comprimé oral à libération prolongée,"ntp_status_effective_time: ""20240311"" -> ""20250530"""
9015241,acetaminophen 500 mg per 5 mL and chlorpheniramine maleate 2 mg per 5 mL and dextromethorphan hydrobromide 10 mg per 5 mL and guaifenesin 100 mg per 5 mL and menthol 20 mg per 5 mL syrup,acétaminophène 500 mg par 5 mL et maléate de chlorphéniramine 2 mg par 5 mL et bromhydrate de dextrométhorphane 10 mg par 5 mL et guaïfénésine 100 mg par 5 mL et menthol 20 mg par 5 mL sirop,ADDED
9000650,dexamethasone 0.75 mg oral tablet,"dexaméthasone 0,75 mg comprimé oral","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19960905"" -> ""20250731"""
9000443,quinapril (quinapril hydrochloride) 5 mg oral tablet,quinapril (chlorhydrate de quinapril) 5 mg comprimé oral,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19921231"" -> ""20250801"""
9015246,bortezomib (bortezomib mannitol boronic ester) 2.5 mg per 1 mL solution for injection vial,"bortézomib (bortézomib ester boronique de mannitol) 2,5 mg par 1 mL solution injectable fiole",ADDED
9015247,bortezomib (bortezomib mannitol boronic ester) 3.5 mg per 1.4 mL solution for injection vial,"bortézomib (bortézomib ester boronique de mannitol) 3,5 mg par 1,4 mL solution injectable fiole",ADDED
