drug_code,mp_code,mp_formal_name,changes
103756,02548712,PRZ-NEBIVOLOL (nebivolol (nebivolol hydrochloride) 5 mg oral tablet) PHARMARIS CANADA INC,ADDED
103757,02548720,PRZ-NEBIVOLOL (nebivolol (nebivolol hydrochloride) 10 mg oral tablet) PHARMARIS CANADA INC,ADDED
103758,02548739,PRZ-NEBIVOLOL (nebivolol (nebivolol hydrochloride) 20 mg oral tablet) PHARMARIS CANADA INC,ADDED
104072,02552027,TARO-METFORMIN XR (metformin hydrochloride 500 mg prolonged-release oral tablet) TARO PHARMACEUTICALS INC,ADDED
104150,02552531,NEOCITRAN EXTRA STRENGTH COLD & COUGH NIGHT (acetaminophen 650 mg per sachet and diphenhydramine hydrochloride 25 mg per sachet powder for oral solution) HALEON CANADA ULC,ADDED
104192,02552957,AURO-PAZOPANIB (pazopanib (pazopanib hydrochloride) 200 mg oral tablet) AURO PHARMA INC,"Health_Canada_product_name: ""EUGIA-PAZOPANIB"" -> ""AURO-PAZOPANIB""
mp_formal_name: ""E̲U̲G̲I̲A̲-PAZOPANIB (pazopanib (pazopanib hydrochloride) 200 mg oral tablet) E̲U̲G̲I̲A̲ PHARMA INC.̲"" -> ""A̲U̲R̲O̲-PAZOPANIB (pazopanib (pazopanib hydrochloride) 200 mg oral tablet) A̲U̲R̲O̲ PHARMA INC"""
104229,02553341,BACLOFEN INJECTION USP (baclofen 2 mg per mL solution for injection) JAMP PHARMA CORPORATION,ADDED
104264,02553724,JAMP IBUPROFEN SUSPENSION (ibuprofen 100 mg per 5 mL oral suspension) JAMP PHARMA CORPORATION,ADDED
104278,02553880,TOPIRAMATE (topiramate 200 mg oral tablet) SIVEM PHARMACEUTICALS ULC,ADDED
104333,02554488,LISINOPRIL TABLETS (lisinopril (lisinopril dihydrate) 5 mg oral tablet) SIVEM PHARMACEUTICALS ULC,ADDED
104334,02554496,LISINOPRIL TABLETS (lisinopril (lisinopril dihydrate) 10 mg oral tablet) SIVEM PHARMACEUTICALS ULC,ADDED
104335,02554518,LISINOPRIL TABLETS (lisinopril (lisinopril dihydrate) 20 mg oral tablet) SIVEM PHARMACEUTICALS ULC,ADDED
104343,02554593,NEOCITRAN ULTRA STRENGTH FLU & COLD NIGHT (acetaminophen 1000 mg per sachet and chlorpheniramine maleate 4 mg per sachet and dextromethorphan hydrobromide 30 mg per sachet powder for oral solution) HALEON CANADA ULC,ADDED
106066,02557320,OPDIVO SC (nivolumab 120 mg per mL solution for injection) BRISTOL-MYERS SQUIBB CANADA,ADDED
106144,02558157,NAT-SITAGLIPTIN (sitagliptin (sitagliptin phosphate monohydrate) 25 mg oral tablet) NATCO PHARMA (CANADA) INC,ADDED
106145,02558165,NAT-SITAGLIPTIN (sitagliptin (sitagliptin phosphate monohydrate) 50 mg oral tablet) NATCO PHARMA (CANADA) INC,ADDED
106200,02558785,METFORMIN ER (metformin hydrochloride 500 mg prolonged-release oral tablet) SANIS HEALTH INC,ADDED
106201,02558793,METFORMIN ER (metformin hydrochloride 1000 mg prolonged-release oral tablet) SANIS HEALTH INC,ADDED
106211,02558904,ILUMYA (tildrakizumab 100 mg per mL solution for injection) SUN PHARMACEUTICAL INDUSTRIES LIMITED,ADDED
106332,02560240,OCTREOTIDE INJECTION (octreotide (octreotide acetate) 100 mcg per mL solution for injection) STERIMAX INC,ADDED
106336,02560283,OCTREOTIDE INJECTION (octreotide (octreotide acetate) 200 mcg per mL solution for injection) STERIMAX INC,ADDED
106337,02560291,OCTREOTIDE INJECTION (octreotide (octreotide acetate) 500 mcg per mL solution for injection) STERIMAX INC,ADDED
106427,02561298,ZDS-LIOTHYRONINE (liothyronine (liothyronine sodium) 5 mcg oral tablet) ZYDUS LIFESCIENCES LIMITED,ADDED
106428,02561301,ZDS-LIOTHYRONINE (liothyronine (liothyronine sodium) 25 mcg oral tablet) ZYDUS LIFESCIENCES LIMITED,ADDED
106500,02562081,YESINTEK (ustekinumab 45 mg per 0.5 mL solution for injection) BIOSIMILAR COLLABORATIONS IRELAND LIMITED,ADDED
106501,02562103,YESINTEK (ustekinumab 90 mg per mL solution for injection) BIOSIMILAR COLLABORATIONS IRELAND LIMITED,ADDED
106502,02562111,YESINTEK I.V. (ustekinumab 5 mg per mL solution for injection) BIOSIMILAR COLLABORATIONS IRELAND LIMITED,ADDED
106606,02563266,CISATRACURIUM BESYLATE INJECTION USP MULTI-DOSE (cisatracurium (cisatracurium besylate) 2 mg per mL solution for injection) STERIMAX INC,ADDED
NA,77700167,PMS-HALOPERIDOL-LA (haloperidol (haloperidol decanoate) 100 mg per 1 mL solution for injection vial) PHARMASCIENCE INC,"mp_status_effective_time: ""20170803"" -> ""20250704"""
NA,77700168,PMS-HALOPERIDOL-LA (haloperidol (haloperidol decanoate) 500 mg per 5 mL solution for injection vial) PHARMASCIENCE INC,"mp_status_effective_time: ""20170803"" -> ""20250704"""
