drug_code,mp_code,mp_formal_name,mp_fr_description,changes
99283,02503352,BORTEZOMIB FOR INJECTION SDZ (bortezomib (bortezomib mannitol boronic ester) 3.5 mg per vial powder for solution for injection) SANDOZ CANADA INCORPORATED,"BORTEZOMIB FOR INJECTION SDZ (bortézomib (bortézomib ester boronique de mannitol) 3,5 mg par fiole poudre pour solution injectable) SANDOZ CANADA INCORPORATED",DELETED
100285,02513676,AG-CITALOPRAM TABLETS (citalopram (citalopram hydrobromide) 10 mg oral tablet) ANGITA PHARMA INC.,AG-CITALOPRAM TABLETS (citalopram (bromhydrate de citalopram) 10 mg comprimé oral) ANGITA PHARMA INC.,ADDED
101360,02524589,M-LEVETIRACETAM (levetiracetam 750 mg oral tablet) MANTRA PHARMA INC,M-LEVETIRACETAM (lévétiracétam 750 mg comprimé oral) MANTRA PHARMA INC,DELETED
98983,02500124,FOAM-CARE ULTRA (benzalkonium chloride 0.13 % cutaneous solution) LES CHIMIQUES B.O.D. INC,"FOAM-CARE ULTRA (chlorure de benzalkonium 0,13 % solution pour application cutanée) LES CHIMIQUES B.O.D. INC",ADDED
103527,02546590,NORDIMET (methotrexate (methotrexate sodium) 20 mg per 0.8 mL solution for injection pen) NORDIC GROUP B.V.,"NORDIMET (méthotrexate (méthotrexate sodique) 20 mg par 0,8 mL solution injectable stylo) NORDIC GROUP B.V.",DELETED
41477,00373435,DETTOL (chloroxylenol 4.8 % cutaneous solution) RECKITT BENCKISER (CANADA) INC,"DETTOL (chloroxylénol 4,8 % solution pour application cutanée) RECKITT BENCKISER (CANADA) INC",ADDED
66672,02242842,DIGISAN E FOAM HAND SANITIZER (benzalkonium chloride 0.1 % cutaneous liquid) ECOLAB CO,"DIGISAN E FOAM HAND SANITIZER (chlorure de benzalkonium 0,1 % liquide cutané) ECOLAB CO",ADDED
93459,02448866,SOFT CARE DEFEND FOAM (chloroxylenol 1 % cutaneous solution) DIVERSEY INC,SOFT CARE DEFEND FOAM (chloroxylénol 1 % solution pour application cutanée) DIVERSEY INC,ADDED
83828,02353059,ROPINIROLE (ropinirole (ropinirole hydrochloride) 1 mg oral tablet) SANIS HEALTH INC,ROPINIROLE (ropinirole (chlorhydrate de ropinirole) 1 mg comprimé oral) SANIS HEALTH INC,"mp_status_effective_time: ""20220719"" -> ""20260723"""
86274,02377152,TEVA-LOSARTAN/HCTZ (hydrochlorothiazide 25 mg and losartan potassium 100 mg oral tablet) TEVA CANADA LIMITED,TEVA-LOSARTAN/HCTZ (hydrochlorothiazide 25 mg et losartan potassique 100 mg comprimé oral) TEVA CANADA LIMITED,DELETED
