"tm_code","tm_formal_name","ntp_code","ntp_formal_name","mp_code","mp_formal_name"
8000272,"dorzolamide and timolol",9000850,"dorzolamide (dorzolamide hydrochloride) 20 mg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops","02240113","COSOPT (dorzolamide (dorzolamide hydrochloride) 20 mg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops) PURDUE PHARMA"
8000272,"dorzolamide and timolol",9000850,"dorzolamide (dorzolamide hydrochloride) 20 mg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops","02258692","COSOPT (dorzolamide (dorzolamide hydrochloride) 20 mg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops) PURDUE PHARMA"
8000214,"lamotrigine",9000853,"lamotrigine 5 mg oral tablet","02240115","LAMICTAL (lamotrigine 5 mg oral tablet) GLAXOSMITHKLINE INC"
8000045,"oxycodone",9000153,"oxycodone hydrochloride 10 mg oral tablet","02240131","OXY.IR (oxycodone hydrochloride 10 mg oral tablet) PURDUE PHARMA"
8000045,"oxycodone",9000890,"oxycodone hydrochloride 20 mg oral tablet","02240132","OXY.IR (oxycodone hydrochloride 20 mg oral tablet) PURDUE PHARMA"
8000013,"warfarin",9000861,"warfarin sodium 3 mg oral tablet","02240205","COUMADIN TAB 3MG (warfarin sodium 3 mg oral tablet) BRISTOL-MYERS SQUIBB CANADA"
8000013,"warfarin",9000914,"warfarin sodium 6 mg oral tablet","02240206","COUMADIN TAB 6 MG (warfarin sodium 6 mg oral tablet) BRISTOL-MYERS SQUIBB CANADA"
8000237,"cetirizine",9000707,"cetirizine hydrochloride 10 mg oral tablet","02240265","ALLER-RELIEF (cetirizine hydrochloride 10 mg oral tablet) APOTEX INC"
8000237,"cetirizine",9000707,"cetirizine hydrochloride 10 mg oral tablet","02240266","ALLERGY RELIEF (cetirizine hydrochloride 10 mg oral tablet) APOTEX INC"
8000188,"terbinafine",9000495,"terbinafine (terbinafine hydrochloride) 250 mg oral tablet","02240346","TEVA-TERBINAFINE (terbinafine (terbinafine hydrochloride) 250 mg oral tablet) TEVA CANADA LIMITED"
