drug_code,mp_code,mp_formal_name,mp_fr_description,changes
2390,00328154,ATROPINE SULFATE INJECTION USP (atropine sulfate 1 mg per 10 mL solution for injection syringe) PFIZER CANADA ULC,ATROPINE SULFATE INJECTION USP (sulfate d'atropine 1 mg par 10 mL solution injectable seringue) PFIZER CANADA ULC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19751231"" -> ""20250104"""
6754,00594644,STATEX (morphine sulfate 10 mg oral tablet) KNIGHT THERAPEUTICS INC.,STATEX (sulfate de morphine 10 mg comprimé oral) KNIGHT THERAPEUTICS INC.,"mp_formal_name: ""STATEX (morphine sulfate 10 mg oral tablet) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""STATEX (morphine sulfate 10 mg oral tablet) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲.""
mp_fr_description: ""STATEX (sulfate de morphine 10 mg comprimé oral) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""STATEX (sulfate de morphine 10 mg comprimé oral) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲."""
6755,00594652,STATEX (morphine sulfate 5 mg oral tablet) KNIGHT THERAPEUTICS INC.,STATEX (sulfate de morphine 5 mg comprimé oral) KNIGHT THERAPEUTICS INC.,"mp_formal_name: ""STATEX (morphine sulfate 5 mg oral tablet) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""STATEX (morphine sulfate 5 mg oral tablet) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲.""
mp_fr_description: ""STATEX (sulfate de morphine 5 mg comprimé oral) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""STATEX (sulfate de morphine 5 mg comprimé oral) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲."""
11918,01931032,ROBITUSSIN MUCUS & PHLEGM (guaifenesin 100 mg per 5 mL syrup) GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,ROBITUSSIN MUCUS & PHLEGM (guaïfénésine 100 mg par 5 mL sirop) GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19911231"" -> ""20240812"""
13723,02018985,PROZAC CAPSULES 10MG (fluoxetine (fluoxetine hydrochloride) 10 mg oral capsule) ELI LILLY CANADA INC,PROZAC CAPSULES 10MG (fluoxétine (chlorhydrate de fluoxétine) 10 mg capsule orale) ELI LILLY CANADA INC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19931231"" -> ""20240925"""
13782,02017849,BENADRYL ALLERGY (diphenhydramine hydrochloride 25 mg oral tablet) KENVUE CANADA INC.,BENADRYL ALLERGY (chlorhydrate de diphenhydramine 25 mg comprimé oral) KENVUE CANADA INC.,"mp_formal_name: ""BENADRYL ALLERGY (diphenhydramine hydrochloride 25 mg oral tablet) M̲C̲N̲E̲I̲L̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""BENADRYL ALLERGY (diphenhydramine hydrochloride 25 mg oral tablet) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲""
mp_fr_description: ""BENADRYL ALLERGY (chlorhydrate de diphenhydramine 25 mg comprimé oral) M̲C̲N̲E̲I̲L̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""BENADRYL ALLERGY (chlorhydrate de diphenhydramine 25 mg comprimé oral) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
14006,01940473,PAXIL TAB 30MG (paroxetine (paroxetine hydrochloride) 30 mg oral tablet) GLAXOSMITHKLINE INC,PAXIL TAB 30MG (paroxétine (chlorhydrate de paroxétine) 30 mg comprimé oral) GLAXOSMITHKLINE INC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19931231"" -> ""20260310"""
15516,02019736,BENADRYL ALLERGY LIQUID (diphenhydramine hydrochloride 12.5 mg per 5 mL oral solution) KENVUE CANADA INC.,"BENADRYL ALLERGY LIQUID (chlorhydrate de diphenhydramine 12,5 mg par 5 mL solution orale) KENVUE CANADA INC.","mp_formal_name: ""BENADRYL ALLERGY LIQUID (diphenhydramine hydrochloride 12.5 mg per 5 mL oral solution) M̲C̲N̲E̲I̲L̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""BENADRYL ALLERGY LIQUID (diphenhydramine hydrochloride 12.5 mg per 5 mL oral solution) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲""
mp_fr_description: ""BENADRYL ALLERGY LIQUID (chlorhydrate de diphenhydramine 12,5 mg par 5 mL solution orale) M̲C̲N̲E̲I̲L̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""BENADRYL ALLERGY LIQUID (chlorhydrate de diphenhydramine 12,5 mg par 5 mL solution orale) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
15625,01908448,BETOPTIC S (betaxolol (betaxolol hydrochloride) 0.25 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC,"BETOPTIC S (bétaxolol (chlorhydrate de bétaxolol) 0,25 % gouttes ophtalmiques) NOVARTIS PHARMACEUTICALS CANADA INC","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19941231"" -> ""20250627"""
15880,02019698,CHILDREN'S BENADRYL ALLERGY LIQUID (diphenhydramine hydrochloride 6.25 mg per 5 mL syrup) KENVUE CANADA INC.,"CHILDREN'S BENADRYL ALLERGY LIQUID (chlorhydrate de diphenhydramine 6,25 mg par 5 mL sirop) KENVUE CANADA INC.","mp_formal_name: ""CHILDREN'S BENADRYL ALLERGY LIQUID (diphenhydramine hydrochloride 6.25 mg per 5 mL syrup) M̲C̲N̲E̲I̲L̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""CHILDREN'S BENADRYL ALLERGY LIQUID (diphenhydramine hydrochloride 6.25 mg per 5 mL syrup) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲""
mp_fr_description: ""CHILDREN'S BENADRYL ALLERGY LIQUID (chlorhydrate de diphenhydramine 6,25 mg par 5 mL sirop) M̲C̲N̲E̲I̲L̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""CHILDREN'S BENADRYL ALLERGY LIQUID (chlorhydrate de diphenhydramine 6,25 mg par 5 mL sirop) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
