drug_code,mp_code,mp_formal_name,mp_fr_description,changes
94477,02457733,MDK-NITISINONE (nitisinone 10 mg oral capsule) MENDELIKABS INC,MDK-NITISINONE (nitisinone 10 mg capsule orale) MENDELIKABS INC,"mp_status: ""INACTIVE"" -> ""ACTIVE""
mp_status_effective_time: ""20250915"" -> ""20161020"""
94755,02460262,MICTORYL (propiverine hydrochloride 30 mg prolonged-release oral capsule) DUCHESNAY INC,MICTORYL (chlorhydrate de propivérine 30 mg capsule orale à libération prolongée) DUCHESNAY INC,"mp_formal_name: ""MICTORYL (propiverine hydrochloride 30 mg m̲o̲d̲i̲f̲i̲ed-release oral capsule) DUCHESNAY INC"" -> ""MICTORYL (propiverine hydrochloride 30 mg p̲r̲o̲l̲o̲n̲g̲ed-release oral capsule) DUCHESNAY INC""
mp_fr_description: ""MICTORYL (chlorhydrate de propivérine 30 mg capsule orale à libération m̲o̲d̲i̲f̲i̲ée) DUCHESNAY INC"" -> ""MICTORYL (chlorhydrate de propivérine 30 mg capsule orale à libération p̲r̲o̲l̲o̲n̲g̲ée) DUCHESNAY INC"""
94756,02460270,MICTORYL (propiverine hydrochloride 45 mg prolonged-release oral capsule) DUCHESNAY INC,MICTORYL (chlorhydrate de propivérine 45 mg capsule orale à libération prolongée) DUCHESNAY INC,"mp_formal_name: ""MICTORYL (propiverine hydrochloride 45 mg m̲o̲d̲i̲f̲i̲ed-release oral capsule) DUCHESNAY INC"" -> ""MICTORYL (propiverine hydrochloride 45 mg p̲r̲o̲l̲o̲n̲g̲ed-release oral capsule) DUCHESNAY INC""
mp_fr_description: ""MICTORYL (chlorhydrate de propivérine 45 mg capsule orale à libération m̲o̲d̲i̲f̲i̲ée) DUCHESNAY INC"" -> ""MICTORYL (chlorhydrate de propivérine 45 mg capsule orale à libération p̲r̲o̲l̲o̲n̲g̲ée) DUCHESNAY INC"""
95779,02469138,ALTA-PANTOPRAZOLE (pantoprazole (pantoprazole sodium sesquihydrate) 40 mg gastro-resistant tablet) ALTAMED PHARMA,ALTA-PANTOPRAZOLE (pantoprazole (pantoprazole sodique sesquihydrate) 40 mg comprimé gastrorésistant) ALTAMED PHARMA,"Health_Canada_product_name: ""PANTOPRAZOLE"" -> ""ALTA-PANTOPRAZOLE""
mp_formal_name: ""PANTOPRAZOLE (pantoprazole (pantoprazole sodium sesquihydrate) 40 mg gastro-resistant tablet) ALTAMED PHARMA"" -> ""A̲L̲T̲A̲-̲PANTOPRAZOLE (pantoprazole (pantoprazole sodium sesquihydrate) 40 mg gastro-resistant tablet) ALTAMED PHARMA""
mp_fr_description: ""PANTOPRAZOLE (pantoprazole (pantoprazole sodique sesquihydrate) 40 mg comprimé gastrorésistant) ALTAMED PHARMA"" -> ""A̲L̲T̲A̲-̲PANTOPRAZOLE (pantoprazole (pantoprazole sodique sesquihydrate) 40 mg comprimé gastrorésistant) ALTAMED PHARMA"""
95837,02469561,TEVA-FINGOLIMOD (fingolimod (fingolimod hydrochloride) 0.5 mg oral capsule) TEVA CANADA LIMITED,"TEVA-FINGOLIMOD (fingolimod (chlorhydrate de fingolimod) 0,5 mg capsule orale) TEVA CANADA LIMITED","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""20191101"" -> ""20251027"""
96294,02473550,ADDYI (flibanserin 100 mg oral tablet) SPROUT PHARMACEUTICALS INC,ADDYI (flibansérine 100 mg comprimé oral) SPROUT PHARMACEUTICALS INC,"mp_formal_name: ""ADDYI (flibanserin 100 mg oral tablet) SE̲A̲R̲C̲H̲L̲I̲G̲H̲T̲ ̲P̲H̲A̲R̲M̲A̲ INC"" -> ""ADDYI (flibanserin 100 mg oral tablet) SP̲R̲O̲U̲T̲ ̲P̲H̲A̲R̲M̲A̲C̲E̲U̲T̲I̲C̲A̲L̲S̲ INC""
mp_fr_description: ""ADDYI (flibansérine 100 mg comprimé oral) SE̲A̲R̲C̲H̲L̲I̲G̲H̲T̲ ̲P̲H̲A̲R̲M̲A̲ INC"" -> ""ADDYI (flibansérine 100 mg comprimé oral) SP̲R̲O̲U̲T̲ ̲P̲H̲A̲R̲M̲A̲C̲E̲U̲T̲I̲C̲A̲L̲S̲ INC"""
96585,02475472,RADICAVA (edaravone 30 mg per 100 mL solution for injection bag) MITSUBISHI TANABE PHARMA CORPORATION,RADICAVA (édavarone 30 mg par 100 mL solution injectable sac) MITSUBISHI TANABE PHARMA CORPORATION,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""20191029"" -> ""20250401"""
97796,02487802,ZDS-LACOSAMIDE (lacosamide 50 mg oral tablet) ZYDUS PHARMACEUTICALS (CANADA) INC,ZDS-LACOSAMIDE (lacosamide 50 mg comprimé oral) ZYDUS PHARMACEUTICALS (CANADA) INC,"mp_status: ""INACTIVE"" -> ""ACTIVE""
mp_status_effective_time: ""20251016"" -> ""20191004"""
97797,02487810,ZDS-LACOSAMIDE (lacosamide 100 mg oral tablet) ZYDUS PHARMACEUTICALS (CANADA) INC,ZDS-LACOSAMIDE (lacosamide 100 mg comprimé oral) ZYDUS PHARMACEUTICALS (CANADA) INC,"mp_status: ""INACTIVE"" -> ""ACTIVE""
mp_status_effective_time: ""20251016"" -> ""20191004"""
97798,02487829,ZDS-LACOSAMIDE (lacosamide 150 mg oral tablet) ZYDUS PHARMACEUTICALS (CANADA) INC,ZDS-LACOSAMIDE (lacosamide 150 mg comprimé oral) ZYDUS PHARMACEUTICALS (CANADA) INC,"mp_status: ""INACTIVE"" -> ""ACTIVE""
mp_status_effective_time: ""20251016"" -> ""20191004"""
