"drug_code","drug_identification_number","mp_formal_name","ntp_formal_name","ntp_type"
78384,"022985468","AVIANE 28 (ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet with lactose oral tablet) TEVA CANADA LIMITED","ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet with lactose oral tablet","Combination product"
87346,"023878838","ALYSENA 28 (ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet with lactose oral tablet) APOTEX INC","ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet with lactose oral tablet","Combination product"
88593,"024012078","LUTERA 28 (ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet with lactose oral tablet) COBALT PHARMACEUTICALS COMPANY","ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet with lactose oral tablet","Combination product"
8124,"07076008","TRIQUILAR 21 (ethinyl estradiol 0.03 mg and levonorgestrel 0.05 mg oral tablet with ethinyl estradiol 0.04 mg and norgestimate 0.75 mg oral tablet with ethinyl estradiol 0.03 mg and norgestimate 0.125 mg oral tablet) BAYER INC","ethinyl estradiol 0.03 mg and levonorgestrel 0.05 mg oral tablet with ethinyl estradiol 0.04 mg and norgestimate 0.75 mg oral tablet with ethinyl estradiol 0.03 mg and norgestimate 0.125 mg oral tablet","Combination product"
8123,"07075038","TRIQUILAR 28 (ethinyl estradiol 0.03 mg and levonorgestrel 0.05 mg oral tablet with ethinyl estradiol 0.04 mg and norgestimate 0.75 mg oral tablet with ethinyl estradiol 0.03 mg and norgestimate 0.125 mg oral tablet with lactose oral tablet) BAYER INC","ethinyl estradiol 0.03 mg and levonorgestrel 0.05 mg oral tablet with ethinyl estradiol 0.04 mg and norgestimate 0.75 mg oral tablet with ethinyl estradiol 0.03 mg and norgestimate 0.125 mg oral tablet with lactose oral tablet","Combination product"
18754,"020423208","MIN-OVRAL 21 (ethinyl estradiol 0.03 mg and levonorgestrel 0.15 mg oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.03 mg and levonorgestrel 0.15 mg oral tablet","Combination product"
87265,"023870858","OVIMA 21 (ethinyl estradiol 0.03 mg and levonorgestrel 0.15 mg oral tablet) APOTEX INC","ethinyl estradiol 0.03 mg and levonorgestrel 0.15 mg oral tablet","Combination product"
1922,"02971438","LOESTRIN 1.5/30 (ethinyl estradiol 0.03 mg and norethindrone acetate 1.5 mg oral tablet) WARNER CHILCOTT CANADA CO","ethinyl estradiol 0.03 mg and norethindrone acetate 1.5 mg oral tablet","Combination product"
2386,"03530278","LOESTRIN 1.5/30 (ethinyl estradiol 0.03 mg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet) WARNER CHILCOTT CANADA CO","ethinyl estradiol 0.03 mg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet","Combination product"
2255,"03159668","MINESTRIN 1/20 (ethinyl estradiol 0.02 mg and norethindrone acetate 1 mg oral tablet) WARNER CHILCOTT CANADA CO","ethinyl estradiol 0.02 mg and norethindrone acetate 1 mg oral tablet","Combination product"
2254,"03438388","MINESTRIN 1/20 (ethinyl estradiol 0.02 mg and norethindrone acetate 1 mg oral tablet with lactose oral tablet) WARNER CHILCOTT CANADA CO","ethinyl estradiol 0.02 mg and norethindrone acetate 1 mg oral tablet with lactose oral tablet","Combination product"
5482,"06029578","ORTHO 7/7/7 TABLETS (21 DAY) (ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 750 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablett) JANSSEN INC","ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 750 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablett","Combination product"
5483,"06029658","ORTHO 7/7/7 TABLETS (28 DAY) (ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 750 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet with lactose oral tablet) JANSSEN INC","ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 750 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet with lactose oral tablet","Combination product"
42889,"021871088","SYNPHASIC 21 TABLETS (ethinyl estradiol 0.035 mg and norethindrone 1mg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.035 mg and norethindrone 1mg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet","Combination product"
42890,"021871168","SYNPHASIC 28 TABLETS (ethinyl estradiol 0.035 mg and norethindrone 1mg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with lactose oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.035 mg and norethindrone 1mg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with lactose oral tablet","Combination product"
5104,"03170478","ORTHO 0.5/35 TABLETS (21 DAY) (ethinyl estradiol 0.035 mg and norethindrone 0.5 mg oral tablet) JANSSEN INC","ethinyl estradiol 0.035 mg and norethindrone 0.5 mg oral tablet","Combination product"
20162,"021870868","BREVICON 0.5/35 TABLETS (21-DAY PACK) (ethinyl estradiol 0.035 mg and norethindrone 0.5 mg oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.035 mg and norethindrone 0.5 mg oral tablet","Combination product"
5106,"03407318","ORTHO 0.5/35 TABLETS (28 DAY) (ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with lactose oral tablet) JANSSEN INC","ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with lactose oral tablet","Combination product"
42888,"021870948","BREVICON 0.5/35 TABLETS (28-DAY PACK) (ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with lactose oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with lactose oral tablet","Combination product"
5103,"03728468","ORTHO 1/35 TABLETS (21 DAY) (ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet) JANSSEN INC","ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet","Combination product"
42921,"021890548","BREVICON 1/35 TABLETS (21-DAY PACK) (ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet","Combination product"
42952,"021975028","SELECT 1/35 (21-DAY) (ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet","Combination product"
5105,"03728388","ORTHO 1/35 TABLETS (28 DAY) ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet with lactose oral tablet) JANSSEN INC",NA,"Combination product"
42922,"021890628","BREVICON 1/35 TABLETS (28-DAY PACK) (ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet with lactose oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet with lactose oral tablet","Combination product"
42960,"021992978","SELECT 1/35 (28-DAY) (ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet with lactose oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet with lactose oral tablet","Combination product"
90215,"024174568","LOLO (ethinyl estradiol 0.01 mg and norethindrone acetate 1 mg oral tablet with ethinyl estradiol 0.01 mg oral tablet with lactose oral tablet) WARNER CHILCOTT CANADA CO","ethinyl estradiol 0.01 mg and norethindrone acetate 1 mg oral tablet with ethinyl estradiol 0.01 mg oral tablet with lactose oral tablet","Combination product"
74376,"022585608","TRI-CYCLEN LO (21 DAY) (ethinyl estradiol 0.025 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.025 mg and norgestimate 0.215 mg tablet with ethinyl estradiol 0.025 mg and norgestimate 0.25 mg oral tablet) JANSSEN INC","ethinyl estradiol 0.025 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.025 mg and norgestimate 0.215 mg tablet with ethinyl estradiol 0.025 mg and norgestimate 0.25 mg oral tablet","Combination product"
88684,"024019678","TRICIRA LO (ethinyl estradiol 0.025 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.025 mg and norgestimate 0.215 mg tablet with ethinyl estradiol 0.025 mg and norgestimate 0.25 mg oral tablet) APOTEX INC","ethinyl estradiol 0.025 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.025 mg and norgestimate 0.215 mg tablet with ethinyl estradiol 0.025 mg and norgestimate 0.25 mg oral tablet","Combination product"
74378,"022585878","TRI-CYCLEN LO (28 DAY) (ethinyl estradiol 0.025 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.025 mg and norgestimate 0.215 mg tablet with ethinyl estradiol 0.025 mg and norgestimate 0.25 mg oral tablet with lactose oral tablet) JANSSEN INC","ethinyl estradiol 0.025 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.025 mg and norgestimate 0.215 mg tablet with ethinyl estradiol 0.025 mg and norgestimate 0.25 mg oral tablet with lactose oral tablet","Combination product"
88685,"024019758","TRICIRA LO (ethinyl estradiol 0.025 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.025 mg and norgestimate 0.215 mg tablet with ethinyl estradiol 0.025 mg and norgestimate 0.25 mg oral tablet with lactose oral tablet) APOTEX INC","ethinyl estradiol 0.025 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.025 mg and norgestimate 0.215 mg tablet with ethinyl estradiol 0.025 mg and norgestimate 0.25 mg oral tablet with lactose oral tablet","Combination product"
14197,"020287008","TRI-CYCLEN TABLETS - 21-DAY (ethinyl estradiol 0.035 mg and norgestimate 0.18 mg and norgestimate 0.215 mg and norgestimate 0.25 mg oral tablet) JANSSEN INC","ethinyl estradiol 0.035 mg and norgestimate 0.18 mg and norgestimate 0.215 mg and norgestimate 0.25 mg oral tablet","Combination product"
14199,"020294218","TRI-CYCLEN TABLETS - 28-DAY (ethinyl estradiol 0.035 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.035 mg and norgestimate 0.215 mg oral tablet with ethinyl estradiol 0.035 mg and norgestimate 0.25 mg oral tablet with lactose oral tablet) JANSSEN INC","ethinyl estradiol 0.035 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.035 mg and norgestimate 0.215 mg oral tablet with ethinyl estradiol 0.035 mg and norgestimate 0.25 mg oral tablet with lactose oral tablet","Combination product"
12998,"019684408","CYCLEN TABLETS (21 DAY) (ethinyl estradiol 0.035 mg and norgestimate 0.25 mg oral tablet) JANSSEN INC","ethinyl estradiol 0.035 mg and norgestimate 0.25 mg oral tablet","Combination product"
12988,"019928728","CYCLEN TABLETS (28 DAY) (ethinyl estradiol 0.035 mg and norgestimate 0.25 mg oral tablet with lactose oral tablet) JANSSEN INC","ethinyl estradiol 0.035 mg and norgestimate 0.25 mg oral tablet with lactose oral tablet","Combination product"
78360,"022983098","CHAMPIX (varenicline (varenicline tartrate) 0.5 mg and varenicline (varenicline tartrate) 1 mg oral tablet) PFIZER CANADA INC",NA,"Combination product"
92592,"024415358","XARELTO (rivaroxaban 15 mg oral tablet with rivaroxaban 20 mg oral tablet) BAYER INC",NA,"Combination product"
78377,"022984658","RISPERDAL CONSTA (risperidone 12.5 mg per vial powder for prolonged-release suspension for injection with diluent solution) JANSSEN INC",NA,"Combination product"
74089,"022557078","RISPERDAL CONSTA (risperidone 25 mg per vial powder for prolonged-release suspension for injection with diluent solution) JANSSEN INC",NA,"Combination product"
74091,"022557238","RISPERDAL CONSTA (isperidone 37.5 mg per vial powder for prolonged-release suspension for injection with diluent solution) JANSSEN INC",NA,"Combination product"
74093,"022557588","RISPERDAL CONSTA (risperidone 50 mg per vial powder for prolonged-release suspension for injection with diluent solution) JANSSEN INC",NA,"Combination product"
49563,"022305098","CANESTEN COMBI-PAK CREAM 1 (clotrimazole 1 % cutaneous cream with clotrimazole 10 % vaginal cream) BAYER INC CONSUMER CARE",NA,"Combination product"
74952,"022641028","CANESTEN COMBI-PAK COMFORTAB 1 (clotrimazole 1 % cutaneous cream with clotrimazole 500 mg vaginal tablet) BAYER INC CONSUMER CARE",NA,"Combination product"
74951,"022640998","CANESTEN COMBI-PAK COMFORTAB 3 (clotrimazole 1 % cutaneous cream with clotrimazole 200 mg vaginal tablet) BAYER INC CONSUMER CARE",NA,"Combination product"
90545,"024208648","ABILIFY MAINTENA (aripiprazole 300 mg per vial powder for prolonged-release suspension for injection with diluent solution) OTSUKA PHARMACEUTICAL CO LTD",NA,"Combination product"
90546,"024208728","ABILIFY MAINTENA (aripiprazole 400 mg per vial powder for prolonged-release suspension for injection with diluent solution) OTSUKA PHARMACEUTICAL CO LTD",NA,"Combination product"
