drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"15225","active","active","01924516","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"15211","active","active","01924559","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"15210","active","active","01924567","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"60786","active","active","02237452","3M HEALTHCARE CANADA COMPANY LIMITED","3M CANADA COMPANY"
"101740","active","active","02528142","HUGEL CANADA INC.","CROMA AESTHETICS CANADA, LTD."
"77558","active","active","02290308","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"13624","active","active","01932187","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"12942","active","active","01934767","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"86577","active","active","02379910","ACORDA THERAPEUTICS IRELAND LIMITED","BIOGEN CANADA INC"
"1565","inactive","inactive","00255963","PHIBRO ANIMAL HEALTH LTD.","PHIBRO ANIMAL HEALTH LIMITED"
"81810","dormant","dormant","02332450","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"81851","dormant","dormant","02332868","SAFE FOODS CHEMICAL INNOVATIONS","PSSI CHEMICAL INNOVATIONS"
"101737","approved","approved","02528134","HUGEL CANADA INC.","CROMA AESTHETICS CANADA, LTD."
