drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"104185","85","TABLET","ADDED","02552876"
"104184","85","TABLET","ADDED","02552868"
"104255","85","TABLET","ADDED","02553635"
"104201","188","CAPSULE (DELAYED AND EXTENDED RELEASE)","ADDED","02553058"
"104244","85","TABLET","ADDED","02553511"
"104192","85","TABLET","ADDED","02552957"
"104241","134","SOLUTION","ADDED","02553473"
"104181","134","SOLUTION","ADDED","02552841"
"104230","85","TABLET","ADDED","02553368"
"104186","85","TABLET","ADDED","02552884"
"104221","5","CAPSULE","ADDED","02553279"
"104215","85","TABLET","ADDED","02553201"
"104209","5","CAPSULE","ADDED","02553139"
"81851","98","SPRAY","ADDED","02332868"
"104190","85","TABLET","ADDED","02552949"
"104231","85","TABLET","ADDED","02553376"
"104203","188","CAPSULE (DELAYED AND EXTENDED RELEASE)","ADDED","02553074"
"47425","85","TABLET","ADDED","02229520"
"104202","188","CAPSULE (DELAYED AND EXTENDED RELEASE)","ADDED","02553066"
"104217","85","TABLET","ADDED","02553236"
"104214","85","TABLET","ADDED","02553198"
"104199","188","CAPSULE (DELAYED AND EXTENDED RELEASE)","ADDED","02553023"
"104183","5","CAPSULE","ADDED","02552892"
"104216","85","TABLET","ADDED","02553228"
"104175","134","SOLUTION","ADDED","02552787"
"104239","82","SYRUP","ADDED","02553457"
"104206","134","SOLUTION","ADDED","02553104"
"104256","85","TABLET","ADDED","02553643"
"104229","134","SOLUTION","ADDED","02553341"
"104220","85","TABLET","ADDED","02553260"
"104164","134","SOLUTION","ADDED","02552671"
"104191","85","TABLET","ADDED","02553007"
"104232","85","TABLET","ADDED","02553384"
"104233","85","TABLET","ADDED","02553392"
"104212","85","TABLET","ADDED","02553163"
"104208","134","SOLUTION","ADDED","02553120"
"104226","134","SOLUTION","ADDED","02553317"
"104180","85","TABLET","ADDED","02552833"
"104213","85","TABLET","ADDED","02553171"
"104240","166","AEROSOL, FOAM","ADDED","02553465"
"104189","85","TABLET","ADDED","02552930"
"104207","85","TABLET","ADDED","02553112"
"104225","134","SOLUTION","ADDED","02553309"
"104179","85","TABLET","ADDED","02552825"
"104182","5","CAPSULE","ADDED","02552906"
"104200","188","CAPSULE (DELAYED AND EXTENDED RELEASE)","ADDED","02553031"
"104259","85","TABLET","ADDED","02553686"
"104222","134","SOLUTION","ADDED","02553287"
"104178","85","TABLET","ADDED","02552817"
