drug_code,current_status,current_history_date,previous_status,previous_history_date,drug_identification_number
"100031","MARKETED","2023-03-13","APPROVED","2021-06-29","02511061"
"100906","MARKETED","2023-03-15","APPROVED","2021-09-01","02519836"
"100923","MARKETED","2023-02-21","APPROVED","2021-09-10","02520001"
"100962","MARKETED","2023-02-28","APPROVED","2023-02-22","02520427"
"100963","MARKETED","2023-02-28","APPROVED","2023-02-22","02520435"
"100964","MARKETED","2023-02-28","APPROVED","2023-02-22","02520443"
"100965","MARKETED","2023-02-28","APPROVED","2023-02-22","02520451"
"101233","MARKETED","2023-02-09","APPROVED","2021-12-13","02523213"
"101267","MARKETED","2023-02-27","APPROVED","2021-12-31","02523612"
"101270","MARKETED","2023-02-27","APPROVED","2021-12-31","02523639"
"101272","MARKETED","2023-02-27","APPROVED","2021-12-31","02523647"
"101273","MARKETED","2023-02-27","APPROVED","2021-12-31","02523655"
"101274","MARKETED","2023-02-27","APPROVED","2021-12-31","02523663"
"101275","MARKETED","2023-02-27","APPROVED","2021-12-31","02523671"
"101282","MARKETED","2023-03-06","APPROVED","2021-12-24","02523760"
"101302","MARKETED","2023-02-28","APPROVED","2023-02-22","02523973"
"101303","MARKETED","2023-02-28","APPROVED","2023-02-22","02523981"
"101304","MARKETED","2023-02-28","APPROVED","2023-02-22","02524007"
"101305","MARKETED","2023-02-28","APPROVED","2023-02-22","02524015"
"101347","MARKETED","2023-03-01","APPROVED","2022-01-21","02524449"
"101357","MARKETED","2023-02-09","APPROVED","2022-01-18","02524554"
"101483","MARKETED","2023-03-01","APPROVED","2022-03-08","02525852"
"101523","MARKETED","2023-03-08","APPROVED","2022-10-21","02526115"
"101670","MARKETED","2023-03-21","APPROVED","2022-06-01","02527650"
"101671","MARKETED","2023-03-21","APPROVED","2022-06-01","02527669"
"101703","MARKETED","2023-02-15","APPROVED","2022-06-03","02527839"
"101707","MARKETED","2023-02-14","APPROVED","2022-06-09","02527871"
"101719","MARKETED","2023-03-17","APPROVED","2022-06-09","02527928"
"101720","MARKETED","2023-03-17","APPROVED","2022-06-09","02527936"
"101721","MARKETED","2023-03-17","APPROVED","2022-06-09","02527944"
"101722","MARKETED","2023-03-17","APPROVED","2022-06-09","02527952"
"101723","MARKETED","2023-03-17","APPROVED","2022-06-09","02527960"
"101745","MARKETED","2023-03-07","APPROVED","2022-06-20","02528207"
"101747","MARKETED","2023-03-06","APPROVED","2022-06-21","02528223"
"101749","MARKETED","2023-03-16","APPROVED","2022-06-21","02528258"
"101750","MARKETED","2023-03-16","APPROVED","2022-06-21","02528266"
"101766","MARKETED","2023-02-24","APPROVED","2022-07-04","02528436"
"101767","MARKETED","2023-02-24","APPROVED","2022-07-04","02528444"
"101769","MARKETED","2023-03-06","APPROVED","2022-06-28","02528479"
"101770","MARKETED","2023-03-06","APPROVED","2022-06-28","02528487"
"101829","MARKETED","2023-03-22","APPROVED","2023-01-05","02529106"
"101830","MARKETED","2023-03-22","APPROVED","2023-01-05","02529114"
"101831","MARKETED","2023-03-22","APPROVED","2023-01-05","02529122"
"101858","MARKETED","2023-02-20","APPROVED","2022-07-21","02529378"
"101859","MARKETED","2023-02-20","APPROVED","2022-07-21","02529386"
"101864","MARKETED","2023-03-17","APPROVED","2022-07-26","02529432"
"101865","MARKETED","2023-03-17","APPROVED","2022-07-26","02529440"
"101880","MARKETED","2023-03-17","APPROVED","2022-07-29","02529564"
"101886","MARKETED","2023-03-02","APPROVED","2022-08-08","02529610"
"101889","MARKETED","2023-02-22","APPROVED","2022-08-08","02529645"
"102010","MARKETED","2023-03-20","APPROVED","2022-09-16","02530937"
"102011","MARKETED","2023-03-20","APPROVED","2022-09-16","02530945"
"102012","MARKETED","2023-03-20","APPROVED","2022-09-16","02530953"
"102103","MARKETED","2023-02-27","APPROVED","2022-10-21","02531941"
"102116","MARKETED","2023-03-14","APPROVED","2022-10-19","02532093"
"102118","MARKETED","2023-02-14","APPROVED","2022-10-20","02532115"
"102130","MARKETED","2023-03-09","APPROVED","2022-10-26","02532247"
"102131","MARKETED","2023-03-09","APPROVED","2022-10-26","02532255"
"102132","MARKETED","2023-03-09","APPROVED","2022-10-26","02532263"
"102133","MARKETED","2023-03-09","APPROVED","2022-10-26","02532271"
"102134","MARKETED","2023-03-09","APPROVED","2022-10-26","02532298"
"102135","MARKETED","2023-03-09","APPROVED","2022-10-26","02532301"
"102136","MARKETED","2023-03-17","APPROVED","2022-10-26","02532328"
"102205","MARKETED","2023-02-14","APPROVED","2022-11-24","02533030"
"102215","MARKETED","2023-03-09","APPROVED","2022-11-29","02533146"
"102229","MARKETED","2023-02-15","APPROVED","2022-12-08","02533294"
"102233","MARKETED","2023-03-21","APPROVED","2022-12-09","02533332"
"102287","MARKETED","2023-03-24","APPROVED","2022-12-22","02533979"
"102293","MARKETED","2023-02-23","APPROVED","2022-12-22","02533987"
"102294","MARKETED","2023-03-01","APPROVED","2022-12-22","02533995"
"1398","MARKETED","2009-02-03","DORMANT","2022-07-07","00030783"
"41933","MARKETED","2023-02-10","DORMANT","2021-10-29","01919245"
"83068","MARKETED","2023-03-01","APPROVED","2018-07-17","02345250"
"84011","MARKETED","2023-03-07","DORMANT","2019-08-05","02354926"
"84012","MARKETED","2023-03-07","DORMANT","2019-08-05","02354934"
"84013","MARKETED","2023-03-07","DORMANT","2019-08-05","02354942"
"92372","MARKETED","2023-03-20","APPROVED","2018-07-09","02439344"
"92373","MARKETED","2023-03-20","APPROVED","2018-07-09","02439352"
"92539","MARKETED","2023-03-01","DORMANT","2021-03-19","02441020"
"93685","MARKETED","2022-07-25","APPROVED","2020-12-16","02450704"
