ntp_code,ntp_formal_name,ntp_fr_description,ntp_status,ntp_type,ntp_status_effective_time,tm_is_publishable
"9000302","nitroglycerin 50 mg per 10 mL solution for injection vial","nitroglycérine 50 mg par 10 fiole solution injectable fiole","Active",NA,"19881231","t"
"9000302","nitroglycerin 50 mg per 10 mL solution for injection vial","nitroglycérine 50 mg par 10 mL solution injectable fiole","Inactive",NA,"20190801","t"
