drug_code,mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
12743,01946986,UNISOM (chlorhydrate de diphenhydramine 50 mg comprimé oral) ENDO OPERATIONS LTD.,chlorhydrate de diphenhydramine 50 mg comprimé oral,diphenhydramine,"mp_fr_description: ""UNISOM (chlorhydrate de diphenhydramine 50 mg comprimé oral) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""UNISOM (chlorhydrate de diphenhydramine 50 mg comprimé oral) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."""
15483,02046733,"PULMOZYME (dornase alfa 2,5 mg par 2,5 mL solution pour inhalation par nébuliseur fiole unidose) HOFFMANN-LA ROCHE LIMITED","dornase alfa 2,5 mg par 2,5 mL solution pour inhalation par nébuliseur fiole unidose",dornase alfa,"mp_fr_description: ""PULMOZYME ̲1̲M̲G̲/̲M̲L̲ (dornase alfa 2,5 mg par 2,5 mL solution pour inhalation par nébuliseur fiole unidose) HOFFMANN-LA ROCHE LIMITED"" -> ""PULMOZYME (dornase alfa 2,5 mg par 2,5 mL solution pour inhalation par nébuliseur fiole unidose) HOFFMANN-LA ROCHE LIMITED"""
19064,02177587,PMS-FLUOXETINE (fluoxétine (chlorhydrate de fluoxétine) 20 mg capsule orale) PHARMASCIENCE INC,fluoxétine (chlorhydrate de fluoxétine) 20 mg capsule orale,fluoxétine,"mp_fr_description: ""PMS-FLUOXETINE ̲-̲ ̲C̲A̲P̲ ̲2̲0̲M̲G̲ (fluoxétine (chlorhydrate de fluoxétine) 20 mg capsule orale) PHARMASCIENCE INC"" -> ""PMS-FLUOXETINE (fluoxétine (chlorhydrate de fluoxétine) 20 mg capsule orale) PHARMASCIENCE INC"""
19074,02177579,PMS-FLUOXETINE (fluoxétine (chlorhydrate de fluoxétine) 10 mg capsule orale) PHARMASCIENCE INC,fluoxétine (chlorhydrate de fluoxétine) 10 mg capsule orale,fluoxétine,"mp_fr_description: ""PMS-FLUOXETINE ̲-̲ ̲C̲A̲P̲ ̲1̲0̲M̲G̲ (fluoxétine (chlorhydrate de fluoxétine) 10 mg capsule orale) PHARMASCIENCE INC"" -> ""PMS-FLUOXETINE (fluoxétine (chlorhydrate de fluoxétine) 10 mg capsule orale) PHARMASCIENCE INC"""
42066,00875996,TEMPRA DOUBLE STRENGTH CHILDREN'S SYRUP (acétaminophène 160 mg par 5 mL sirop) ENDO OPERATIONS LTD.,acétaminophène 160 mg par 5 mL sirop,acétaminophène,"mp_fr_description: ""TEMPRA DOUBLE STRENGTH CHILDREN'S SYRUP (acétaminophène 160 mg par 5 mL sirop) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""TEMPRA DOUBLE STRENGTH CHILDREN'S SYRUP (acétaminophène 160 mg par 5 mL sirop) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."""
46803,01900978,REACTINE 20 MG TABLET (chlorhydrate de cétirizine 20 mg comprimé oral) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC,chlorhydrate de cétirizine 20 mg comprimé oral,cétirizine,"mp_fr_description: ""REACTINE 20MG TABLET (chlorhydrate de cétirizine 20 mg comprimé oral) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"" -> ""REACTINE 20 ̲MG TABLET (chlorhydrate de cétirizine 20 mg comprimé oral) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"""
50227,02230949,ROBAXISAL EXTRA STRENGTH (acide acétylsalicylique 500 mg et méthocarbamol 400 mg comprimé oral) HALEON CANADA ULC,acide acétylsalicylique 500 mg et méthocarbamol 400 mg comprimé oral,acide acétylsalicylique et méthocarbamol,"mp_fr_description: ""ROBAXISAL EXTRA STRENGTH (acide acétylsalicylique 500 mg et méthocarbamol 400 mg comprimé oral) G̲L̲A̲X̲O̲S̲M̲I̲T̲H̲K̲L̲I̲N̲E̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ULC"" -> ""ROBAXISAL EXTRA STRENGTH (acide acétylsalicylique 500 mg et méthocarbamol 400 mg comprimé oral) H̲A̲L̲E̲O̲N̲ ̲C̲A̲N̲A̲D̲A̲ ULC"""
73177,02248808,ADDERALL XR (sels mixtes d'amphétamine 5 mg capsule orale à libération prolongée) TAKEDA CANADA INC,sels mixtes d'amphétamine 5 mg capsule orale à libération prolongée,sels mixtes d'amphétamine,"mp_fr_description: ""ADDERALL XR (sels mixtes d’̲amphétamine 5 mg capsule orale à libération prolongée) TAKEDA CANADA INC"" -> ""ADDERALL XR (sels mixtes d'̲amphétamine 5 mg capsule orale à libération prolongée) TAKEDA CANADA INC""
ntp_fr_description: ""sels mixtes d’̲amphétamine 5 mg capsule orale à libération prolongée"" -> ""sels mixtes d'̲amphétamine 5 mg capsule orale à libération prolongée""
tm_fr_description: ""sels mixtes d’̲amphétamine"" -> ""sels mixtes d'̲amphétamine"""
73178,02248809,ADDERALL XR (sels mixtes d'amphétamine 10 mg capsule orale à libération prolongée) TAKEDA CANADA INC,sels mixtes d'amphétamine 10 mg capsule orale à libération prolongée,sels mixtes d'amphétamine,"mp_fr_description: ""ADDERALL XR (sels mixtes d’̲amphétamine 10 mg capsule orale à libération prolongée) TAKEDA CANADA INC"" -> ""ADDERALL XR (sels mixtes d'̲amphétamine 10 mg capsule orale à libération prolongée) TAKEDA CANADA INC""
ntp_fr_description: ""sels mixtes d’̲amphétamine 10 mg capsule orale à libération prolongée"" -> ""sels mixtes d'̲amphétamine 10 mg capsule orale à libération prolongée""
tm_fr_description: ""sels mixtes d’̲amphétamine"" -> ""sels mixtes d'̲amphétamine"""
73179,02248810,ADDERALL XR (sels mixtes d'amphétamine 15 mg capsule orale à libération prolongée) TAKEDA CANADA INC,sels mixtes d'amphétamine 15 mg capsule orale à libération prolongée,sels mixtes d'amphétamine,"mp_fr_description: ""ADDERALL XR (sels mixtes d’̲amphétamine 15 mg capsule orale à libération prolongée) TAKEDA CANADA INC"" -> ""ADDERALL XR (sels mixtes d'̲amphétamine 15 mg capsule orale à libération prolongée) TAKEDA CANADA INC""
ntp_fr_description: ""sels mixtes d’̲amphétamine 15 mg capsule orale à libération prolongée"" -> ""sels mixtes d'̲amphétamine 15 mg capsule orale à libération prolongée""
tm_fr_description: ""sels mixtes d’̲amphétamine"" -> ""sels mixtes d'̲amphétamine"""
