tm_code,tm_formal_name,tm_fr_description,changes
8001084,indacaterol,indacatérol,"tm_status_effective_time: ""20170314"" -> ""20230512"""
8002513,inebilizumab,inébilizumab,ADDED
8002515,adapalene and benzoyl peroxide and clindamycin,adapalène et peroxyde de benzoyle et clindamycine,ADDED
8002225,amphetamine mixed salts,sels mixtes d'amphétamine,"tm_fr_description: ""sels mixtes d’̲amphétamine"" -> ""sels mixtes d'̲amphétamine"""
8002482,"SARSCoV2 S-protein mRNA, 5'(m7G-5'-ppp-5'-Gm), 3'polyA","ARNm de SRASCOV2 S-protéine, 5'(m7G-5'-ppp-5'-Gm), polyA 3'","tm_formal_name: ""SARSCO̲V2 S-protein mRNA, 5'(m7G-5'-ppp-5'-Gm), 3'polyA"" -> ""SARSCo̲V2 S-protein mRNA, 5'(m7G-5'-ppp-5'-Gm), 3'polyA"""
8002514,lebrikizumab,lébrikizumab,ADDED
8002487,"SARSCoV2 S-protein mRNA, 5'[m27,3'-oGppp(m12'-O)ApG], 3'polyA+linker","ARNm de SRASCOV2 S-protéine, 5'[m27,3'-oGppp(m12'-O)ApG], polyA 3'+liaison","tm_formal_name: ""SARSCO̲V2 S-protein mRNA, 5'[m27,3'-oGppp(m12'-O)ApG], 3'polyA+linker"" -> ""SARSCo̲V2 S-protein mRNA, 5'[m27,3'-oGppp(m12'-O)ApG], 3'polyA+linker"""
