drug_code,drug_identification_number,current_brand_name,previous_brand_name
"5672","00441775","APO-TRIAZIDE","APO TRIAZIDE"
"7627","00740713","APO-DOXY","APO-DOXY CAP 100MG"
"10383","00874256","APO-DOXY-TABS","APO-DOXY TABS 100MG"
"14271","01982877","VITAMIN B12-5000MCG/ML","VITAMIN B12-5000MCG/ML STERILE INJECTION"
"90046","02415879","PRO-LEVOFLOXACIN","LEVOFLOXACIN"
"92790","02443279","NXSTAGE PUREFLOW SOLUTION","NXSTAGE PUREFLOW SOLUTION RFP-204-CAN"
"92791","02443287","NXSTAGE PUREFLOW SOLUTION","NXSTAGE PUREFLOW SOLUTION RFP-207-CAN"
"92792","02443295","NXSTAGE PUREFLOW SOLUTION","NXSTAGE PUREFLOW SOLUTION RFP-209-CAN"
"96975","02479044","DANDRUFF SHAMPOO-CLASSIC CLEAN","ORIGINAL / ORIGINALE DANDRUFF PYRITHIONE ZINC SHAMPOO & CONDITIONER"
"99377","02504340","CREST PRO-HEALTH GERM GUARD","CREST PRO-HEALTH BACTERIA GUARD"
"104015","02551446","MEN'S HAIR REGROWTH TREATMENT","MEN'S MINOXIDIL FOAM"
"104038","02551659","WOMEN'S HAIR REGROWTH TREATMENT","WOMEN'S MINOXIDIL FOAM"
"106082","02557509","ZEPBOUND","ZEPBOUND KWIKPEN"
"106083","02557517","ZEPBOUND","ZEPBOUND KWIKPEN"
"106084","02557525","ZEPBOUND","ZEPBOUND KWIKPEN"
"106085","02557533","ZEPBOUND","ZEPBOUND KWIKPEN"
"106086","02557541","ZEPBOUND","ZEPBOUND KWIKPEN"
"106087","02557568","ZEPBOUND","ZEPBOUND KWIKPEN"
"104191","02553007","SENNOSIDES 8.6 MG AND DOCUSATE SODIUM 50 MG TABLETS","TIMELY SENNOSIDES 8.6 MG AND DOCUSATE SODIUM 50 MG TABLETS"
"106360","02560550","PREGABALIN ORAL SOLUTION","ODAN-PREGABALIN"
