drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"15210","active","active","01924567","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"15211","active","active","01924559","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"15225","active","active","01924516","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"49993","active","active","02230732","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"49995","active","active","02230733","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"49996","active","active","02230734","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"62054","active","active","02238626","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"66076","active","active","02242365","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"77558","active","active","02290308","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"78292","active","active","02297582","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"86413","active","active","02378310","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"87122","active","active","02385619","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"88459","active","active","02399733","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"90351","active","active","02418967","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"95633","active","active","02467976","JUNO PHARMA CANADA INC.","JUNO PHARMACEUTICALS CORP."
"97754","active","active","02487365","JUNO PHARMA CANADA INC.","JUNO PHARMACEUTICALS CORP."
"97755","active","active","02487373","JUNO PHARMA CANADA INC.","JUNO PHARMACEUTICALS CORP."
"102779","active","active","02539144","JUNO PHARMA CANADA INC.","JUNO PHARMACEUTICALS CORP."
"98744","inactive","inactive","02497646","DECIEM INC.","DECIEM"
"71586","dormant","dormant","02247343","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"71587","dormant","dormant","02247344","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"83383","approved","approved","02348470","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"106360","approved","approved","02560550","ORB PHARMA- DIVISION OF ODAN LABORATORIES LTD.","ODAN LABORATORIES LTD"
