drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"100461","5","CAPSULE","ADDED","02515229"
"106798","85","TABLET","ADDED","02565374"
"106802","85","TABLET","ADDED","02565412"
"106837","5","CAPSULE","ADDED","02565803"
"106842","134","SOLUTION","ADDED","02565862"
"106801","85","TABLET","ADDED","02565404"
"106852","5","CAPSULE","ADDED","02565978"
"106865","85","TABLET","ADDED","02566117"
"106873","85","TABLET","ADDED","02566206"
"106863","85","TABLET","ADDED","02566095"
"106871","85","TABLET","ADDED","02566184"
"106853","5","CAPSULE","ADDED","02565986"
"106778","134","SOLUTION","ADDED","02565145"
"106817","43","OINTMENT","ADDED","02565587"
"106809","85","TABLET","ADDED","02565498"
"106821","85","TABLET","ADDED","02565625"
"106857","85","TABLET","ADDED","02566036"
"106762","75","TABLET (EXTENDED-RELEASE)","ADDED","02564963"
"106847","85","TABLET","ADDED","02565919"
"106864","85","TABLET","ADDED","02566109"
"106794","56","POWDER FOR SOLUTION","ADDED","02565323"
"106797","85","TABLET","ADDED","02565366"
"106877","85","TABLET","ADDED","02566249"
"106838","5","CAPSULE","ADDED","02565811"
"106812","75","TABLET (EXTENDED-RELEASE)","ADDED","02565536"
"106803","134","SOLUTION","ADDED","02565420"
"106839","75","TABLET (EXTENDED-RELEASE)","ADDED","02565838"
"106799","134","SOLUTION","ADDED","02565382"
"106785","85","TABLET","ADDED","02565234"
"106827","85","TABLET","ADDED","02565692"
"106814","141","CAPSULE (EXTENDED RELEASE)","ADDED","02565552"
"106866","134","SOLUTION","ADDED","02566125"
"106759","85","TABLET","ADDED","02564939"
"106876","85","TABLET","ADDED","02566230"
"106763","75","TABLET (EXTENDED-RELEASE)","ADDED","02564971"
"106861","85","TABLET","ADDED","02566079"
"106826","85","TABLET","ADDED","02565684"
"106862","85","TABLET","ADDED","02566087"
"106824","85","TABLET","ADDED","02565668"
"106787","85","TABLET","ADDED","02565250"
"106872","85","TABLET","ADDED","02566192"
"106807","5","CAPSULE","ADDED","02565463"
"106859","85","TABLET","ADDED","02566052"
"106825","85","TABLET","ADDED","02565676"
"106840","75","TABLET (EXTENDED-RELEASE)","ADDED","02565846"
"106870","85","TABLET","ADDED","02566176"
"106815","141","CAPSULE (EXTENDED RELEASE)","ADDED","02565560"
"106788","85","TABLET","ADDED","02565269"
"106867","85","TABLET","ADDED","02566133"
"106823","134","SOLUTION","ADDED","02565641"
"106819","56","POWDER FOR SOLUTION","ADDED","02565609"
"106822","85","TABLET","ADDED","02565633"
"106811","75","TABLET (EXTENDED-RELEASE)","ADDED","02565528"
"106820","85","TABLET","ADDED","02565617"
"106854","85","TABLET","ADDED","02565994"
"106828","85","TABLET","ADDED","02565706"
"106764","126","POWDER FOR SUSPENSION","ADDED","02564998"
"106789","134","SOLUTION","ADDED","02565277"
"106810","85","TABLET","ADDED","02565501"
"106858","85","TABLET","ADDED","02566044"
"106786","85","TABLET","ADDED","02565242"
"106818","56","POWDER FOR SOLUTION","ADDED","02565595"
"106841","134","SOLUTION","ADDED","02565854"
"106784","134","SOLUTION","ADDED","02565226"
"106860","85","TABLET","ADDED","02566060"
"106869","85","TABLET","ADDED","02566168"
"106875","9","CREAM","ADDED","02566222"
"106868","85","TABLET","ADDED","02566141"
"106813","141","CAPSULE (EXTENDED RELEASE)","ADDED","02565544"
"106856","85","TABLET","ADDED","02566028"
"106874","85","TABLET","ADDED","02566214"
