drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"106788","56","ORAL","ADDED","02565269"
"106867","56","ORAL","ADDED","02566133"
"106759","56","ORAL","ADDED","02564939"
"106864","56","ORAL","ADDED","02566109"
"106813","56","ORAL","ADDED","02565544"
"106852","56","ORAL","ADDED","02565978"
"106824","56","ORAL","ADDED","02565668"
"106857","56","ORAL","ADDED","02566036"
"106876","56","ORAL","ADDED","02566230"
"106874","56","ORAL","ADDED","02566214"
"106763","56","ORAL","ADDED","02564971"
"106863","56","ORAL","ADDED","02566095"
"106815","56","ORAL","ADDED","02565560"
"106812","56","ORAL","ADDED","02565536"
"106871","56","ORAL","ADDED","02566184"
"106877","56","ORAL","ADDED","02566249"
"106819","49","INTRAVENOUS","ADDED","02565609"
"106818","22","INTRAMUSCULAR","ADDED","02565595"
"106853","56","ORAL","ADDED","02565986"
"106821","56","ORAL","ADDED","02565625"
"106847","56","ORAL","ADDED","02565919"
"106784","49","INTRAVENOUS","ADDED","02565226"
"106786","56","ORAL","ADDED","02565242"
"106837","56","ORAL","ADDED","02565803"
"106778","22","INTRAMUSCULAR","ADDED","02565145"
"106859","56","ORAL","ADDED","02566052"
"106858","56","ORAL","ADDED","02566044"
"106789","56","ORAL","ADDED","02565277"
"106819","22","INTRAMUSCULAR","ADDED","02565609"
"106809","56","ORAL","ADDED","02565498"
"106860","56","ORAL","ADDED","02566060"
"106868","56","ORAL","ADDED","02566141"
"106873","56","ORAL","ADDED","02566206"
"106828","56","ORAL","ADDED","02565706"
"106838","56","ORAL","ADDED","02565811"
"106862","56","ORAL","ADDED","02566087"
"106820","56","ORAL","ADDED","02565617"
"100461","56","ORAL","ADDED","02515229"
"106827","56","ORAL","ADDED","02565692"
"106869","56","ORAL","ADDED","02566168"
"106875","70","TOPICAL","ADDED","02566222"
"106801","56","ORAL","ADDED","02565404"
"106822","56","ORAL","ADDED","02565633"
"106826","56","ORAL","ADDED","02565684"
"106810","56","ORAL","ADDED","02565501"
"106825","56","ORAL","ADDED","02565676"
"106785","56","ORAL","ADDED","02565234"
"106818","49","INTRAVENOUS","ADDED","02565595"
"106839","56","ORAL","ADDED","02565838"
"106764","65","SUBCUTANEOUS","ADDED","02564998"
"106814","56","ORAL","ADDED","02565552"
"106840","56","ORAL","ADDED","02565846"
"106802","56","ORAL","ADDED","02565412"
"106856","56","ORAL","ADDED","02566028"
"106799","65","SUBCUTANEOUS","ADDED","02565382"
"106842","49","INTRAVENOUS","ADDED","02565862"
"106798","56","ORAL","ADDED","02565374"
"106861","56","ORAL","ADDED","02566079"
"106841","49","INTRAVENOUS","ADDED","02565854"
"106803","65","SUBCUTANEOUS","ADDED","02565420"
"106817","70","TOPICAL","ADDED","02565587"
"106872","56","ORAL","ADDED","02566192"
"106797","56","ORAL","ADDED","02565366"
"106865","56","ORAL","ADDED","02566117"
"106807","56","ORAL","ADDED","02565463"
"106787","56","ORAL","ADDED","02565250"
"106841","22","INTRAMUSCULAR","ADDED","02565854"
"106811","56","ORAL","ADDED","02565528"
"106823","49","INTRAVENOUS","ADDED","02565641"
"106794","49","INTRAVENOUS","ADDED","02565323"
"106854","56","ORAL","ADDED","02565994"
"106866","56","ORAL","ADDED","02566125"
"106870","56","ORAL","ADDED","02566176"
"106762","56","ORAL","ADDED","02564963"
