ccdd_code,ccdd_formal_name,ccdd_type,policy_type,policy_reference,special_groupings_status,special_groupings_status_effective_time,changes
02529645,HYDROMORPHONE HYDROCHLORIDE INJECTION USP (hydromorphone hydrochloride 2 mg per 1 mL solution for injection ampoule) JAMP PHARMA CORPORATION,MP,500002,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Inactive,20260902,"special_groupings_status_effective_time: ""20260901"" -> 20260902"
02529645,HYDROMORPHONE HYDROCHLORIDE INJECTION USP (hydromorphone hydrochloride 2 mg per 1 mL solution for injection ampoule) JAMP PHARMA CORPORATION,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20260902,"special_groupings_status_effective_time: ""20260901"" -> 20260902"
02529645,HYDROMORPHONE HYDROCHLORIDE INJECTION USP (hydromorphone hydrochloride 2 mg per 1 mL solution for injection ampoule) JAMP PHARMA CORPORATION,MP,500008,https://www.tppalberta.ca/medication-lists,Inactive,20260902,"special_groupings_status_effective_time: ""20260901"" -> 20260902"
