drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"106193","56","ORAL","ADDED","02558718"
"106132","56","ORAL","ADDED","02558025"
"106160","56","ORAL","ADDED","02558343"
"106161","56","ORAL","ADDED","02558351"
"106000","65","SUBCUTANEOUS","ADDED","02556596"
"106159","93","DISINFECTANT (Domestic)","ADDED","02558335"
"106189","56","ORAL","ADDED","02558653"
"106144","56","ORAL","ADDED","02558157"
"106204","56","ORAL","ADDED","02558823"
"106191","56","ORAL","ADDED","02558688"
"106179","56","ORAL","ADDED","02558556"
"106163","8","DISINFECTANT (Food Premises)","ADDED","02558386"
"106200","56","ORAL","ADDED","02558785"
"106180","56","ORAL","ADDED","02558564"
"106115","56","ORAL","ADDED","02557851"
"106175","56","ORAL","ADDED","02558505"
"106178","56","ORAL","ADDED","02558548"
"106190","56","ORAL","ADDED","02558661"
"106177","56","ORAL","ADDED","02558521"
"106107","22","INTRAMUSCULAR","ADDED","02557770"
"106138","56","ORAL","ADDED","02558092"
"73393","94","DISINFECTANT (Institutional/Industrial)","ADDED","02249065"
"106143","56","ORAL","ADDED","02558149"
"106194","56","ORAL","ADDED","02558726"
"106153","65","SUBCUTANEOUS","ADDED","02558270"
"104492","65","SUBCUTANEOUS","ADDED","02558262"
"106202","56","ORAL","ADDED","02558807"
"106209","56","ORAL","ADDED","02558882"
"73393","2","DISINFECTANT (Barn)","ADDED","02249065"
"106197","56","ORAL","ADDED","02558750"
"106137","56","ORAL","ADDED","02558084"
"106163","2","DISINFECTANT (Barn)","ADDED","02558386"
"106162","56","ORAL","ADDED","02558378"
"106192","56","ORAL","ADDED","02558696"
"106131","56","ORAL","ADDED","02558017"
"106206","56","ORAL","ADDED","02558858"
"106139","56","ORAL","ADDED","02558106"
"106171","65","SUBCUTANEOUS","ADDED","02558467"
"106210","56","ORAL","ADDED","02558890"
"106208","56","ORAL","ADDED","02558874"
"106142","56","ORAL","ADDED","02558130"
"106133","56","ORAL","ADDED","02558033"
"106195","56","ORAL","ADDED","02558734"
"106188","56","ORAL","ADDED","02558645"
"106199","56","ORAL","ADDED","02558777"
"106205","56","ORAL","ADDED","02558831"
"106158","93","DISINFECTANT (Domestic)","ADDED","02558327"
"106166","56","ORAL","ADDED","02558416"
"106114","56","ORAL","ADDED","02557843"
"106170","65","SUBCUTANEOUS","ADDED","02558459"
"106163","94","DISINFECTANT (Institutional/Industrial)","ADDED","02558386"
"106152","49","INTRAVENOUS","ADDED","02558254"
"106165","49","INTRAVENOUS","ADDED","02558408"
"106181","56","ORAL","ADDED","02558572"
"104492","49","INTRAVENOUS","ADDED","02558262"
"106169","65","SUBCUTANEOUS","ADDED","02558440"
"106145","56","ORAL","ADDED","02558165"
"106198","56","ORAL","ADDED","02558769"
"106172","65","SUBCUTANEOUS","ADDED","02558475"
"106201","56","ORAL","ADDED","02558793"
