drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"3348","active","active","00463221","ESTEVE PHARMACEUTICALS S.A.","HRA PHARMA RARE DISEASES"
"5254","active","active","00559393","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"8597","active","active","00723894","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"19313","active","active","02162717","SEARCHLIGHT PHARMA INC","ATNAHS PHARMA UK LIMITED"
"19446","active","active","02162725","SEARCHLIGHT PHARMA INC","ATNAHS PHARMA UK LIMITED"
"42341","active","active","02046059","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"48622","active","active","02230090","APOTEX INC","AA PHARMA INC"
"64993","active","active","02241361","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"65206","active","active","02241553","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"68933","active","active","02244935","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"70191","active","active","02246060","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"71508","active","active","02247265","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"79955","active","active","02314037","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC."
"79957","active","active","02314053","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC."
"79958","active","active","02314061","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC."
"79959","active","active","02314088","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC."
"84422","active","active","02359197","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"89638","active","active","02411792","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"89954","active","active","02414910","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"89970","active","active","02415097","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"92986","active","active","02444712","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"97511","active","active","02484838","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"98557","active","active","02495686","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"99272","active","active","02503220","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"99273","active","active","02503239","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"100322","active","active","02514044","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"100323","active","active","02514052","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"100663","active","active","02517280","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"69930","inactive","inactive","02245815","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"70858","inactive","inactive","02246664","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"70859","inactive","inactive","02246665","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"70860","inactive","inactive","02246666","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"84419","dormant","dormant","02359162","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"84441","dormant","dormant","02359383","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"89962","dormant","dormant","02415003","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"97770","dormant","dormant","02487543","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"73393","approved","approved","02249065","ARXADA, LLC","LONZA LLC"
"79956","approved","approved","02314045","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC."
"97645","approved","approved","02486229","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"97769","approved","approved","02487535","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"97771","approved","approved","02487551","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"98467","approved","approved","02494671","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"100324","approved","approved","02514060","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"101916","approved","approved","02529939","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"103142","approved","approved","02542935","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
"103182","approved","approved","02543354","KIK HOLDCO COMPANY INC. DBA / S/N LAVO","LAVO"
