drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"106158","134","SOLUTION","ADDED","02558327"
"106165","134","SOLUTION","ADDED","02558408"
"106166","134","SOLUTION","ADDED","02558416"
"106000","134","SOLUTION","ADDED","02556596"
"106114","85","TABLET","ADDED","02557843"
"106210","85","TABLET","ADDED","02558890"
"106107","184","DISPERSION","ADDED","02557770"
"106152","134","SOLUTION","ADDED","02558254"
"106153","134","SOLUTION","ADDED","02558270"
"106143","85","TABLET","ADDED","02558149"
"106188","85","TABLET","ADDED","02558645"
"106171","143","SUSPENSION (EXTENDED-RELEASE)","ADDED","02558467"
"100850","75","TABLET (EXTENDED-RELEASE)","REMOVED","02519224"
"106137","85","TABLET","ADDED","02558084"
"106195","5","CAPSULE","ADDED","02558734"
"106132","85","TABLET","ADDED","02558025"
"106138","85","TABLET","ADDED","02558092"
"106175","85","TABLET","ADDED","02558505"
"106200","75","TABLET (EXTENDED-RELEASE)","ADDED","02558785"
"106162","85","TABLET","ADDED","02558378"
"106177","85","TABLET","ADDED","02558521"
"106161","85","TABLET","ADDED","02558351"
"106170","143","SUSPENSION (EXTENDED-RELEASE)","ADDED","02558459"
"106189","85","TABLET","ADDED","02558653"
"106172","143","SUSPENSION (EXTENDED-RELEASE)","ADDED","02558475"
"106204","85","TABLET","ADDED","02558823"
"106190","85","TABLET","ADDED","02558661"
"106201","75","TABLET (EXTENDED-RELEASE)","ADDED","02558793"
"106133","85","TABLET","ADDED","02558033"
"106198","5","CAPSULE","ADDED","02558769"
"104492","134","SOLUTION","ADDED","02558262"
"106145","85","TABLET","ADDED","02558165"
"106144","85","TABLET","ADDED","02558157"
"100850","85","TABLET","ADDED","02519224"
"106142","85","TABLET","ADDED","02558130"
"106202","85","TABLET","ADDED","02558807"
"106206","85","TABLET","ADDED","02558858"
"106160","85","TABLET","ADDED","02558343"
"106179","85","TABLET","ADDED","02558556"
"100849","85","TABLET","ADDED","02519216"
"106199","5","CAPSULE","ADDED","02558777"
"106098","109","TABLET (DELAYED-RELEASE)","ADDED","02557673"
"106115","85","TABLET","ADDED","02557851"
"106099","109","TABLET (DELAYED-RELEASE)","ADDED","02557681"
"106163","134","SOLUTION","ADDED","02558386"
"106205","85","TABLET","ADDED","02558831"
"106131","85","TABLET","ADDED","02558017"
"100849","75","TABLET (EXTENDED-RELEASE)","REMOVED","02519216"
"106193","5","CAPSULE","ADDED","02558718"
"106159","134","SOLUTION","ADDED","02558335"
"106181","85","TABLET","ADDED","02558572"
"106192","5","CAPSULE","ADDED","02558696"
"106191","85","TABLET","ADDED","02558688"
"106178","85","TABLET","ADDED","02558548"
"106180","85","TABLET","ADDED","02558564"
"73393","134","SOLUTION","ADDED","02249065"
"106208","85","TABLET","ADDED","02558874"
"73393","34","LIQUID","REMOVED","02249065"
"106194","5","CAPSULE","ADDED","02558726"
"106209","85","TABLET","ADDED","02558882"
"106098","85","TABLET","REMOVED","02557673"
"106139","85","TABLET","ADDED","02558106"
"106169","143","SUSPENSION (EXTENDED-RELEASE)","ADDED","02558440"
"106099","85","TABLET","REMOVED","02557681"
"106197","5","CAPSULE","ADDED","02558750"
