drug_code,drug_identification_number,current_brand_name,previous_brand_name
"6512","00648019","PRO-METOPROLOL","METOPROLOL-L"
"6513","00648027","PRO-METOPROLOL-L","METOPROLOL-L"
"48622","02230090","APO-PENTOXIFYLLINE SR","PENTOXIFYLLINE SR"
"71463","02247221","PRO-SIMVASTATIN","SIMVASTATIN-10"
"71464","02247222","PRO-SIMVASTATIN","SIMVASTATIN-20"
"71465","02247223","PRO-SIMVASTATIN","SIMVASTATIN-40"
"71466","02247224","PRO-SIMVASTATIN","SIMVASTATIN-80"
"77887","02293528","SPC-CEFPROZIL","TARO-CEFPROZIL"
"77888","02293536","SPC-CEFPROZIL","TARO-CEFPROZIL"
"78208","02296713","PRO-METOPROLOL","METOPROLOL"
"79955","02314037","SPC-ROPINIROLE","TARO-ROPINIROLE"
"79957","02314053","SPC-ROPINIROLE","TARO-ROPINIROLE"
"79958","02314061","SPC-ROPINIROLE","TARO-ROPINIROLE"
"79959","02314088","SPC-ROPINIROLE","TARO-ROPINIROLE"
"93607","02450070","COLAXOR","M-PEG 3350"
"94837","02460882","AGE DEFYING CLASSIC LOTION WITH SPF","OLAY AGE DEFYING CLASSIC"
"94873","02461242","COMPLETE LIGHTWEIGHT LOTION WITH SPF BROAD SPECTRUM SPF 15 SENSITIVE","OLAY COMPLETE 15 UVA/UVB 365 DAILY MOISTURIZING LOTION WITH SPF BROAD SPECTRUM SPF 15 SENSITIVE"
"98004","02489961","PRO-ELETRIPTAN","ELETRIPTAN"
"98005","02489988","PRO-ELETRIPTAN","ELETRIPTAN"
"71462","02247220","PRO-SIMVASTATIN","SIMVASTATIN-5"
"73393","02249065","NUGEN HS-1210 (3.85%) DISINFECTANT/SANITIZER","FORMULATION HS-1210 (3.85%) DISINFECTANT/SANITIZER"
"79956","02314045","SPC-ROPINIROLE","TARO-ROPINIROLE"
"100849","02519216","PRO-METOPROLOL","METOPROLOL"
"100850","02519224","PRO-METOPROLOL","METOPROLOL"
"103776","02548933","LAXATIVE","KIRKLAND SIGNATURE LAXATIVE"
