drug_code,current_status,current_history_date,previous_status,previous_history_date,drug_identification_number
"67531","MARKETED","2020-10-05","DORMANT","2019-08-14","02243612"
"79542","MARKETED","2020-12-16","DORMANT","2020-07-24","02309750"
"79543","MARKETED","2020-11-05","DORMANT","2020-07-24","02309769"
"79985","MARKETED","2018-02-28","DORMANT","2017-09-01","02314290"
"84356","MARKETED","2020-11-24","DORMANT","2020-07-31","02358514"
"86635","MARKETED","2020-11-12","DORMANT","2018-08-03","02380560"
"86636","MARKETED","2020-11-12","DORMANT","2018-08-03","02380579"
"93056","MARKETED","2020-12-11","APPROVED","2016-07-18","02445336"
"93210","MARKETED","2020-12-11","APPROVED","2015-12-24","02446669"
"93211","MARKETED","2020-12-11","APPROVED","2015-12-24","02446677"
"94033","MARKETED","2020-12-01","APPROVED","2020-01-23","02453797"
"94430","MARKETED","2020-10-23","DORMANT","2020-01-25","02457229"
"94431","MARKETED","2020-10-23","DORMANT","2020-02-13","02457237"
"94432","MARKETED","2020-10-27","DORMANT","2020-02-14","02457245"
"94433","MARKETED","2020-10-23","DORMANT","2019-10-24","02457253"
"94434","MARKETED","2020-10-23","DORMANT","2020-02-13","02457261"
"96658","MARKETED","2020-09-11","APPROVED","2018-05-17","02475855"
"97239","MARKETED","2020-11-23","APPROVED","2020-08-11","02481901"
"97285","MARKETED","2020-11-24","APPROVED","2020-05-15","02482398"
"98052","MARKETED","2020-11-19","APPROVED","2020-10-01","02490463"
"98101","MARKETED","2020-11-24","APPROVED","2019-07-29","02490986"
"98102","MARKETED","2020-11-24","APPROVED","2019-07-29","02490994"
"98172","MARKETED","2020-12-01","APPROVED","2019-08-23","02491710"
"98201","MARKETED","2020-12-03","APPROVED","2019-09-05","02492008"
"98612","MARKETED","2020-12-08","APPROVED","2020-02-20","02496259"
"98672","MARKETED","2020-12-11","APPROVED","2020-03-04","02496879"
"98691","MARKETED","2020-12-11","APPROVED","2020-03-11","02497050"
"98698","MARKETED","2020-11-27","APPROVED","2020-03-11","02497115"
"98766","MARKETED","2020-11-20","APPROVED","2020-04-07","02497875"
"98819","MARKETED","2020-12-01","APPROVED","2020-04-29","02498421"
"98822","MARKETED","2020-11-19","APPROVED","2020-04-29","02498464"
"98838","MARKETED","2020-12-08","APPROVED","2020-04-30","02498634"
"98842","MARKETED","2020-12-03","APPROVED","2020-05-01","02498677"
"98856","MARKETED","2020-11-24","APPROVED","2020-05-07","02498820"
"98934","MARKETED","2020-11-25","APPROVED","2020-07-09","02499614"
"99003","MARKETED","2020-12-23","APPROVED","2020-06-12","02500337"
"99027","MARKETED","2020-11-27","APPROVED","2020-06-16","02500604"
"99063","MARKETED","2020-12-08","APPROVED","2020-06-24","02500981"
"99084","MARKETED","2020-07-10","APPROVED","2020-06-26","02501201"
"99118","MARKETED","2020-11-09","APPROVED","2020-07-03","02501570"
"99169","MARKETED","2020-10-28","APPROVED","2020-07-13","02502097"
"99177","MARKETED","2020-12-10","APPROVED","2020-07-15","02502194"
"99185","MARKETED","2020-10-28","APPROVED","2020-07-15","02502275"
"99218","MARKETED","2020-12-11","APPROVED","2020-07-22","02502615"
"99424","MARKETED","2020-11-10","APPROVED","2020-09-14","02504855"
"99427","MARKETED","2020-12-03","APPROVED","2020-09-08","02504898"
"99471","MARKETED","2020-11-17","APPROVED","2020-09-25","02505355"
"99535","MARKETED","2020-11-12","APPROVED","2020-10-02","02505991"
