drug_code,current_status,current_history_date,previous_status,previous_history_date,drug_identification_number
"100052","MARKETED","2022-11-28","APPROVED","2022-11-28","02511304"
"100053","MARKETED","2022-11-28","APPROVED","2022-11-28","02511312"
"100062","MARKETED","2022-12-14","APPROVED","2021-07-23","02511428"
"100223","MARKETED","2022-12-01","APPROVED","2021-02-24","02512998"
"100539","MARKETED","2022-11-22","APPROVED","2021-05-17","02516039"
"100640","MARKETED","2022-11-28","APPROVED","2021-06-15","02517043"
"100698","MARKETED","2022-12-05","APPROVED","2021-07-07","02517604"
"100699","MARKETED","2022-12-05","APPROVED","2021-07-07","02517612"
"100700","MARKETED","2022-12-05","APPROVED","2021-07-07","02517620"
"100873","MARKETED","2022-12-14","APPROVED","2021-08-23","02519461"
"100922","MARKETED","2022-12-12","APPROVED","2021-09-03","02519992"
"101180","MARKETED","2022-12-16","APPROVED","2021-11-23","02522691"
"101285","MARKETED","2022-12-01","APPROVED","2021-12-23","02523795"
"101286","MARKETED","2022-12-01","APPROVED","2021-12-23","02523809"
"101287","MARKETED","2022-12-02","APPROVED","2021-12-23","02523817"
"101351","MARKETED","2022-11-22","APPROVED","2022-01-17","02524465"
"101352","MARKETED","2022-11-22","APPROVED","2022-01-17","02524473"
"101565","MARKETED","2022-11-23","APPROVED","2022-04-12","02526565"
"101566","MARKETED","2022-11-23","APPROVED","2022-04-12","02526573"
"101567","MARKETED","2022-11-23","APPROVED","2022-04-12","02526581"
"101623","MARKETED","2022-12-15","APPROVED","2022-06-28","02527200"
"101626","MARKETED","2022-12-15","APPROVED","2022-06-28","02527219"
"101627","MARKETED","2022-12-16","APPROVED","2022-06-28","02527227"
"101698","MARKETED","2022-08-01","APPROVED","2022-06-13","02527804"
"101730","MARKETED","2022-12-16","APPROVED","2022-06-13","02528037"
"101731","MARKETED","2022-12-16","APPROVED","2022-06-13","02528045"
"101732","MARKETED","2022-12-16","APPROVED","2022-06-13","02528053"
"101733","MARKETED","2022-12-16","APPROVED","2022-06-13","02528061"
"101826","MARKETED","2022-12-21","APPROVED","2022-07-18","02529076"
"101843","MARKETED","2022-12-07","APPROVED","2022-07-19","02529181"
"101844","MARKETED","2022-12-07","APPROVED","2022-07-19","02529203"
"101845","MARKETED","2022-12-07","APPROVED","2022-07-19","02529211"
"101847","MARKETED","2022-11-03","APPROVED","2022-07-20","02529254"
"101869","MARKETED","2022-12-16","APPROVED","2022-07-27","02529491"
"101874","MARKETED","2022-12-16","APPROVED","2022-07-27","02529505"
"101875","MARKETED","2022-12-16","APPROVED","2022-07-27","02529513"
"101899","MARKETED","2022-12-20","APPROVED","2022-08-12","02529750"
"101923","MARKETED","2022-11-28","APPROVED","2022-11-25","02530007"
"101924","MARKETED","2022-11-28","APPROVED","2022-11-25","02530015"
"101943","MARKETED","2022-09-12","APPROVED","2022-09-01","02530252"
"101944","MARKETED","2022-12-19","APPROVED","2022-08-30","02530244"
"102117","MARKETED","2022-12-01","APPROVED","2022-10-19","02532107"
"102139","MARKETED","2022-11-25","APPROVED","2022-11-03","02532352"
"74314","MARKETED","2022-12-16","DORMANT","2022-09-12","02257912"
"80286","MARKETED","2022-12-16","DORMANT","2022-09-12","02317338"
"91375","MARKETED","2022-06-27","APPROVED","2020-03-23","02429322"
"91376","MARKETED","2022-06-27","APPROVED","2020-03-23","02429330"
"91377","MARKETED","2022-06-27","APPROVED","2020-03-23","02429349"
"91378","MARKETED","2022-06-27","APPROVED","2020-03-23","02429357"
"94584","MARKETED","2022-12-16","APPROVED","2022-06-09","02458683"
"95796","MARKETED","2022-12-01","APPROVED","2017-10-25","02469278"
"97305","MARKETED","2022-12-22","APPROVED","2021-03-22","02482622"
"97306","MARKETED","2022-12-14","APPROVED","2021-03-22","02482630"
"97410","MARKETED","2022-12-01","APPROVED","2018-12-04","02483750"
"98262","MARKETED","2022-12-01","APPROVED","2019-09-25","02492636"
"98402","MARKETED","2022-12-01","APPROVED","2019-11-07","02494019"
"98560","MARKETED","2022-12-01","APPROVED","2020-01-15","02495716"
"99799","MARKETED","2022-11-18","APPROVED","2020-11-24","02508648"
"100440","CANCELLED POST MARKET","2022-12-21","APPROVED","2021-04-13","02515008"
"61180","CANCELLED POST MARKET","2022-12-14","MARKETED","2002-03-10","02237821"
"61873","CANCELLED POST MARKET","2022-12-07","MARKETED","2022-10-03","02238453"
"61874","CANCELLED POST MARKET","2022-12-07","MARKETED","2022-10-03","02238454"
"62432","CANCELLED POST MARKET","2022-12-16","MARKETED","2013-08-23","02238984"
"66499","CANCELLED POST MARKET","2022-11-27","MARKETED","2000-10-19","02242702"
"73902","CANCELLED POST MARKET","2022-12-19","MARKETED","2006-04-02","02254093"
"73903","CANCELLED POST MARKET","2022-12-19","DORMANT","2019-07-26","02254107"
"73904","CANCELLED POST MARKET","2022-12-19","MARKETED","2006-04-03","02254115"
"73905","CANCELLED POST MARKET","2022-12-19","MARKETED","2006-05-30","02254123"
"73915","CANCELLED POST MARKET","2022-12-19","MARKETED","2005-07-13","02254239"
"73925","CANCELLED POST MARKET","2022-12-19","MARKETED","2022-03-29","02254352"
"73926","CANCELLED POST MARKET","2022-12-19","MARKETED","2018-09-20","02254360"
"73927","CANCELLED POST MARKET","2022-12-19","MARKETED","2006-03-27","02254379"
"73928","CANCELLED POST MARKET","2022-12-19","MARKETED","2022-04-11","02254387"
"73929","CANCELLED POST MARKET","2022-12-19","MARKETED","2006-06-20","02254395"
"74726","CANCELLED POST MARKET","2022-12-08","MARKETED","2006-02-02","02261901"
"74785","CANCELLED POST MARKET","2022-12-19","MARKETED","2007-01-10","02262460"
"74788","CANCELLED PRE MARKET","2022-12-19","APPROVED","2004-12-08","02262495"
"74790","CANCELLED POST MARKET","2022-12-19","DORMANT","2021-06-08","02262517"
