drug_code,mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
631,00074462,"LOCACORTEN VIOFORM (clioquinol 3 % et pivalate de fluméthasone 0,02 % crème cutanée) ENDO OPERATIONS LTD.","clioquinol 3 % et pivalate de fluméthasone 0,02 % crème cutanée",clioquinol et fluméthasone,"mp_fr_description: ""LOCACORTEN VIOFORM (clioquinol 3 % et pivalate de fluméthasone 0,02 % crème cutanée) P̲A̲L̲A̲D̲I̲N̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲."" -> ""LOCACORTEN VIOFORM (clioquinol 3 % et pivalate de fluméthasone 0,02 % crème cutanée) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."""
1396,00036129,MEDROL (méthylprednisolone 16 mg comprimé oral) PFIZER CANADA ULC,méthylprednisolone 16 mg comprimé oral,méthylprednisolone (base),"mp_fr_description: ""MEDROL ̲1̲6̲ ̲M̲G̲ (méthylprednisolone 16 mg comprimé oral) PFIZER CANADA ULC"" -> ""MEDROL (méthylprednisolone 16 mg comprimé oral) PFIZER CANADA ULC"""
1397,00030988,MEDROL (méthylprednisolone 4 mg comprimé oral) PFIZER CANADA ULC,méthylprednisolone 4 mg comprimé oral,méthylprednisolone (base),"mp_fr_description: ""MEDROL ̲4̲ ̲M̲G̲ (méthylprednisolone 4 mg comprimé oral) PFIZER CANADA ULC"" -> ""MEDROL (méthylprednisolone 4 mg comprimé oral) PFIZER CANADA ULC"""
18768,02177102,FAMVIR (famciclovir 500 mg comprimé oral) SEARCHLIGHT PHARMA INC,famciclovir 500 mg comprimé oral,famciclovir,"mp_fr_description: ""FAMVIR (famciclovir 500 mg comprimé oral) A̲T̲N̲A̲H̲S̲ ̲P̲H̲A̲R̲M̲A̲ ̲U̲K̲ ̲L̲I̲M̲I̲T̲E̲D̲"" -> ""FAMVIR (famciclovir 500 mg comprimé oral) S̲E̲A̲R̲C̲H̲L̲I̲G̲H̲T̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲"""
43513,02229110,FAMVIR (famciclovir 125 mg comprimé oral) SEARCHLIGHT PHARMA INC,famciclovir 125 mg comprimé oral,famciclovir,"mp_fr_description: ""FAMVIR (famciclovir 125 mg comprimé oral) A̲T̲N̲A̲H̲S̲ ̲P̲H̲A̲R̲M̲A̲ ̲U̲K̲ ̲L̲I̲M̲I̲T̲E̲D̲"" -> ""FAMVIR (famciclovir 125 mg comprimé oral) S̲E̲A̲R̲C̲H̲L̲I̲G̲H̲T̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲"""
43514,02229129,FAMVIR (famciclovir 250 mg comprimé oral) SEARCHLIGHT PHARMA INC,famciclovir 250 mg comprimé oral,famciclovir,"mp_fr_description: ""FAMVIR (famciclovir 250 mg comprimé oral) A̲T̲N̲A̲H̲S̲ ̲P̲H̲A̲R̲M̲A̲ ̲U̲K̲ ̲L̲I̲M̲I̲T̲E̲D̲"" -> ""FAMVIR (famciclovir 250 mg comprimé oral) S̲E̲A̲R̲C̲H̲L̲I̲G̲H̲T̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲"""
43530,02229250,"ZYPREXA (olanzapine 2,5 mg comprimé oral) CHEPLAPHARM REGISTRATION GMBH","olanzapine 2,5 mg comprimé oral",olanzapine,"mp_fr_description: ""ZYPREXA (olanzapine 2,5 mg comprimé oral) E̲L̲I̲ ̲L̲I̲L̲L̲Y̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""ZYPREXA (olanzapine 2,5 mg comprimé oral) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲R̲E̲G̲I̲S̲T̲R̲A̲T̲I̲O̲N̲ ̲G̲M̲B̲H̲"""
43531,02229269,ZYPREXA (olanzapine 5 mg comprimé oral) CHEPLAPHARM REGISTRATION GMBH,olanzapine 5 mg comprimé oral,olanzapine,"mp_fr_description: ""ZYPREXA (olanzapine 5 mg comprimé oral) E̲L̲I̲ ̲L̲I̲L̲L̲Y̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""ZYPREXA (olanzapine 5 mg comprimé oral) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲R̲E̲G̲I̲S̲T̲R̲A̲T̲I̲O̲N̲ ̲G̲M̲B̲H̲"""
43532,02229277,"ZYPREXA (olanzapine 7,5 mg comprimé oral) CHEPLAPHARM REGISTRATION GMBH","olanzapine 7,5 mg comprimé oral",olanzapine,"mp_fr_description: ""ZYPREXA (olanzapine 7,5 mg comprimé oral) E̲L̲I̲ ̲L̲I̲L̲L̲Y̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""ZYPREXA (olanzapine 7,5 mg comprimé oral) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲R̲E̲G̲I̲S̲T̲R̲A̲T̲I̲O̲N̲ ̲G̲M̲B̲H̲"""
43533,02229285,ZYPREXA (olanzapine 10 mg comprimé oral) CHEPLAPHARM REGISTRATION GMBH,olanzapine 10 mg comprimé oral,olanzapine,"mp_fr_description: ""ZYPREXA (olanzapine 10 mg comprimé oral) E̲L̲I̲ ̲L̲I̲L̲L̲Y̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""ZYPREXA (olanzapine 10 mg comprimé oral) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲R̲E̲G̲I̲S̲T̲R̲A̲T̲I̲O̲N̲ ̲G̲M̲B̲H̲"""
62290,02238850,ZYPREXA (olanzapine 15 mg comprimé oral) CHEPLAPHARM REGISTRATION GMBH,olanzapine 15 mg comprimé oral,olanzapine,"mp_fr_description: ""ZYPREXA (olanzapine 15 mg comprimé oral) E̲L̲I̲ ̲L̲I̲L̲L̲Y̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""ZYPREXA (olanzapine 15 mg comprimé oral) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲R̲E̲G̲I̲S̲T̲R̲A̲T̲I̲O̲N̲ ̲G̲M̲B̲H̲"""
62291,02238851,ZYPREXA (olanzapine 20 mg comprimé oral) CHEPLAPHARM REGISTRATION GMBH,olanzapine 20 mg comprimé oral,olanzapine,"mp_fr_description: ""ZYPREXA (olanzapine 20 mg comprimé oral) E̲L̲I̲ ̲L̲I̲L̲L̲Y̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""ZYPREXA (olanzapine 20 mg comprimé oral) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲R̲E̲G̲I̲S̲T̲R̲A̲T̲I̲O̲N̲ ̲G̲M̲B̲H̲"""
66953,02243086,ZYPREXA ZYDIS (olanzapine 5 mg comprimé orodispersible) CHEPLAPHARM REGISTRATION GMBH,olanzapine 5 mg comprimé orodispersible,olanzapine,"mp_fr_description: ""ZYPREXA ZYDIS (olanzapine 5 mg comprimé orodispersible) E̲L̲I̲ ̲L̲I̲L̲L̲Y̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""ZYPREXA ZYDIS (olanzapine 5 mg comprimé orodispersible) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲R̲E̲G̲I̲S̲T̲R̲A̲T̲I̲O̲N̲ ̲G̲M̲B̲H̲"""
66954,02243087,ZYPREXA ZYDIS (olanzapine 10 mg comprimé orodispersible) CHEPLAPHARM REGISTRATION GMBH,olanzapine 10 mg comprimé orodispersible,olanzapine,"mp_fr_description: ""ZYPREXA ZYDIS (olanzapine 10 mg comprimé orodispersible) E̲L̲I̲ ̲L̲I̲L̲L̲Y̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""ZYPREXA ZYDIS (olanzapine 10 mg comprimé orodispersible) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲R̲E̲G̲I̲S̲T̲R̲A̲T̲I̲O̲N̲ ̲G̲M̲B̲H̲"""
66955,02243088,ZYPREXA ZYDIS (olanzapine 15 mg comprimé orodispersible) CHEPLAPHARM REGISTRATION GMBH,olanzapine 15 mg comprimé orodispersible,olanzapine,"mp_fr_description: ""ZYPREXA ZYDIS (olanzapine 15 mg comprimé orodispersible) E̲L̲I̲ ̲L̲I̲L̲L̲Y̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""ZYPREXA ZYDIS (olanzapine 15 mg comprimé orodispersible) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲R̲E̲G̲I̲S̲T̲R̲A̲T̲I̲O̲N̲ ̲G̲M̲B̲H̲"""
66956,02243089,ZYPREXA ZYDIS (olanzapine 20 mg comprimé orodispersible) CHEPLAPHARM REGISTRATION GMBH,olanzapine 20 mg comprimé orodispersible,olanzapine,"mp_fr_description: ""ZYPREXA ZYDIS (olanzapine 20 mg comprimé orodispersible) E̲L̲I̲ ̲L̲I̲L̲L̲Y̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""ZYPREXA ZYDIS (olanzapine 20 mg comprimé orodispersible) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲R̲E̲G̲I̲S̲T̲R̲A̲T̲I̲O̲N̲ ̲G̲M̲B̲H̲"""
71336,02247099,ZYPREXA INTRAMUSCULAR (olanzapine (tartrate d'olanzapine) 10 mg par fiole poudre pour solution injectable) CHEPLAPHARM REGISTRATION GMBH,olanzapine (tartrate d'olanzapine) 10 mg par fiole poudre pour solution injectable,olanzapine,"mp_fr_description: ""ZYPREXA INTRAMUSCULAR (olanzapine (tartrate d'olanzapine) 10 mg par fiole poudre pour solution injectable) E̲L̲I̲ ̲L̲I̲L̲L̲Y̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""ZYPREXA INTRAMUSCULAR (olanzapine (tartrate d'olanzapine) 10 mg par fiole poudre pour solution injectable) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲R̲E̲G̲I̲S̲T̲R̲A̲T̲I̲O̲N̲ ̲G̲M̲B̲H̲"""
71343,02247104,PMS-DOXYCYCLINE (doxycycline (hyclate de doxycycline) 20 mg capsule orale) PHARMASCIENCE INC,doxycycline (hyclate de doxycycline) 20 mg capsule orale,doxycycline,"mp_fr_description: ""PE̲R̲I̲O̲S̲T̲A̲T̲ (doxycycline (hyclate de doxycycline) 20 mg capsule orale) PE̲N̲D̲O̲P̲H̲A̲R̲M̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲P̲HARMASCIENCE INC"" -> ""PM̲S̲-̲D̲O̲X̲Y̲C̲Y̲C̲L̲I̲N̲E̲ (doxycycline (hyclate de doxycycline) 20 mg capsule orale) PHARMASCIENCE INC"""
75367,02268272,XYREM (oxybate de sodium 500 mg par mL solution orale) JAZZ PHARMACEUTICALS IRELAND LIMITED,oxybate de sodium 500 mg par mL solution orale,oxybate,"tm_code: ""8001940"" -> ""8002530""
tm_fr_description: ""oxybate ̲d̲e̲ ̲s̲o̲d̲i̲u̲m̲"" -> ""oxybate"""
77569,02290375,"VOLTAREN EMULGEL (diclofénac diéthylamine 1,16 % gel cutané) HALEON CANADA ULC","diclofénac diéthylamine 1,16 % gel cutané",diclofénac,"mp_fr_description: ""VOLTAREN EMULGEL (diclofénac diéthylamine 1,16 % gel cutané) G̲L̲A̲X̲O̲S̲M̲I̲T̲H̲K̲L̲I̲N̲E̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ULC"" -> ""VOLTAREN EMULGEL (diclofénac diéthylamine 1,16 % gel cutané) H̲A̲L̲E̲O̲N̲ ̲C̲A̲N̲A̲D̲A̲ ULC"""
77592,02290596,"ALLERGY EYE DROPS (chlorhydrate de tétrahydrozoline 0,05 % et sulfate de zinc 0,25 % gouttes ophtalmiques) JUNO OTC INC","chlorhydrate de tétrahydrozoline 0,05 % et sulfate de zinc 0,25 % gouttes ophtalmiques",tétrahydrozoline et sulfate de zinc,"mp_fr_description: ""ALLERGY EYE DROPS (chlorhydrate de tétrahydrozoline 0,05 % et sulfate de zinc 0,25 % gouttes ophtalmiques) T̲E̲V̲A̲ ̲C̲A̲N̲A̲D̲A̲ ̲L̲I̲M̲I̲T̲E̲D̲"" -> ""ALLERGY EYE DROPS (chlorhydrate de tétrahydrozoline 0,05 % et sulfate de zinc 0,25 % gouttes ophtalmiques) J̲U̲N̲O̲ ̲O̲T̲C̲ ̲I̲N̲C̲"""
