drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"93378","56","ORAL","ADDED","02448092"
"106053","56","ORAL","ADDED","02557185"
"93371","56","ORAL","ADDED","02448017"
"106060","70","TOPICAL","ADDED","02557266"
"106027","49","INTRAVENOUS","ADDED","02556898"
"104523","49","INTRAVENOUS","ADDED","02556545"
"106056","56","ORAL","ADDED","02557215"
"93381","49","INTRAVENOUS","ADDED","02448122"
"93386","56","ORAL","ADDED","02448173"
"93384","49","INTRAVENOUS","ADDED","02448157"
"106042","94","DISINFECTANT (Institutional/Industrial)","ADDED","02557053"
"93388","56","ORAL","ADDED","02448203"
"106024","56","ORAL","ADDED","02556855"
"106045","94","DISINFECTANT (Institutional/Industrial)","ADDED","02557096"
"106022","56","ORAL","ADDED","02556839"
"93382","49","INTRAVENOUS","ADDED","02448130"
"106041","22","INTRAMUSCULAR","ADDED","02557045"
"104522","65","SUBCUTANEOUS","ADDED","02556537"
"93377","56","ORAL","ADDED","02448084"
"93367","93","DISINFECTANT (Domestic)","ADDED","02447975"
"104503","49","INTRAVENOUS","ADDED","02556332"
"93376","5","DENTAL","ADDED","02448076"
"106036","56","ORAL","ADDED","02556995"
"106019","56","ORAL","ADDED","02556804"
"104524","56","ORAL","ADDED","02556553"
"70059","94","DISINFECTANT (Institutional/Industrial)","REMOVED","02245935"
"104522","49","INTRAVENOUS","ADDED","02556537"
"106044","56","ORAL","ADDED","02557088"
"106039","49","INTRAVENOUS","ADDED","02557029"
"93370","56","ORAL","ADDED","02448009"
"106052","56","ORAL","ADDED","02557177"
"106040","49","INTRAVENOUS","ADDED","02557037"
"106057","56","ORAL","ADDED","02557223"
"106002","56","ORAL","ADDED","02556626"
"93387","56","ORAL","ADDED","02448181"
"106020","56","ORAL","ADDED","02556812"
"106015","70","TOPICAL","ADDED","02556766"
"67324","94","DISINFECTANT (Institutional/Industrial)","ADDED","02243416"
"104503","22","INTRAMUSCULAR","ADDED","02556332"
"93392","92","0-UNASSIGNED","ADDED","02448254"
"93380","49","INTRAVENOUS","ADDED","02448114"
"106055","56","ORAL","ADDED","02557207"
"106004","56","ORAL","ADDED","02556642"
"106064","56","ORAL","ADDED","02557312"
"106042","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02557053"
"93385","56","ORAL","ADDED","02448165"
"75254","105","TOPICAL (COMMERCIAL)","ADDED","02267144"
"93390","56","ORAL","ADDED","02448238"
"106003","56","ORAL","ADDED","02556634"
"106047","56","ORAL","ADDED","02557126"
"104523","65","SUBCUTANEOUS","ADDED","02556545"
"106037","56","ORAL","ADDED","02557002"
"93366","49","INTRAVENOUS","ADDED","02447967"
"75254","70","TOPICAL","REMOVED","02267144"
"104521","57","OTIC","ADDED","02556529"
"93393","56","ORAL","ADDED","02448262"
"106029","56","ORAL","ADDED","02556928"
"106018","56","ORAL","ADDED","02556790"
"106059","56","ORAL","ADDED","02557258"
"106054","56","ORAL","ADDED","02557193"
"106025","56","ORAL","ADDED","02556863"
"104480","65","SUBCUTANEOUS","ADDED","02556081"
"106045","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02557096"
"106049","56","ORAL","ADDED","02557142"
"104516","1","BLOCK/INFILTRATION","ADDED","02556472"
"93391","56","ORAL","ADDED","02448246"
"93379","56","ORAL","ADDED","02448106"
"93389","56","ORAL","ADDED","02448211"
"75254","107","TOPICAL (HOSPITAL/HC FACILITIES)","ADDED","02267144"
"106058","56","ORAL","ADDED","02557231"
"106048","56","ORAL","ADDED","02557134"
"104525","56","ORAL","ADDED","02556561"
"106014","56","ORAL","ADDED","02556758"
"106041","49","INTRAVENOUS","ADDED","02557045"
"106065","56","ORAL","ADDED","02557304"
"98165","56","ORAL","ADDED","02491672"
"93375","5","DENTAL","ADDED","02448068"
"93369","56","ORAL","ADDED","02447991"
"106013","56","ORAL","ADDED","02556731"
"106042","93","DISINFECTANT (Domestic)","ADDED","02557053"
"106035","56","ORAL","ADDED","02556987"
"93392","70","TOPICAL","ADDED","02448254"
"106042","2","DISINFECTANT (Barn)","ADDED","02557053"
"67324","2","DISINFECTANT (Barn)","ADDED","02243416"
"106001","56","ORAL","ADDED","02556618"
"106023","56","ORAL","ADDED","02556847"
"106042","8","DISINFECTANT (Food Premises)","ADDED","02557053"
"93393","92","0-UNASSIGNED","ADDED","02448262"
"106073","56","ORAL","ADDED","02557401"
"106021","56","ORAL","ADDED","02556820"
"106051","56","ORAL","ADDED","02557169"
"93383","49","INTRAVENOUS","ADDED","02448149"
