drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"8387","active","active","00723908","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"67324","active","active","02243416","KERSIA CANADA LTÉE","LABORATOIRES CHOISY LTEE"
"95283","active","active","02464705","AMGEN CANADA INC","HORIZON THERAPEUTICS IRELAND DAC"
"95284","active","active","02464713","AMGEN CANADA INC","HORIZON THERAPEUTICS IRELAND DAC"
"79665","active","active","02311054","SANDOZ CANADA INCORPORATED","ASTELLAS PHARMA CANADA INC"
"17893","active","active","02063808","SEARCHLIGHT PHARMA INC","ATNAHS PHARMA UK LIMITED"
"77957","approved","active","02294222","SANDOZ CANADA INCORPORATED","ASTELLAS PHARMA CANADA INC"
"68257","active","active","02244290","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"19314","active","active","02162466","SEARCHLIGHT PHARMA INC","ATNAHS PHARMA UK LIMITED"
"19315","active","active","02162423","SEARCHLIGHT PHARMA INC","ATNAHS PHARMA UK LIMITED"
"71619","active","active","02247374","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"90021","active","active","02415623","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"72567","active","active","02248231","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"65432","active","active","02241769","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"103236","active","active","02543931","AMGEN CANADA INC","HORIZON THERAPEUTICS IRELAND DAC"
"16649","approved","inactive","02023784","STERI-MED PHARMA INC.","PHARMA STULLN INC."
"19316","approved","inactive","02162415","SEARCHLIGHT PHARMA INC","ATNAHS PHARMA UK LIMITED"
