drug_code,drug_identification_number,current_brand_name,previous_brand_name
"101112","02521954","PYRITHIONE ZINC DANDRUFF SHAMPOO HYDRATING COCONUT 2IN1","PYRITHIONE ZINC DANDRUFF SHAMPOO COCONUT 2IN1"
"102049","02531356","PYRITHIONE ZINC DANDRUFF SHAMPOO SULFATE FREE SHEA BUTTER","PYRITHIONE ZINC DANDRUFF SHAMPOO SHEA BUTTER"
"17243","02025442","GERMINIX LIQ","GERMINIX  LIQ"
"18310","02161060","CALCIUM-45 0.25-4.5","CALCIUM-45  0.25-4.5"
"20309","02152592","PRO-BACLOFEN","BACLOFEN-20"
"49064","02230304","MICATIN POWDER SPRAY   - UNSCENTED 2%","MICATIN POWDER SPRAY     - UNSCENTED 2%"
"63832","02240294","HUMALOG MIX 25 (CARTRIDGE)","HUMALOG MIX 25  (CARTRIDGE)"
"63835","02240297","HUMALOG MIX 50 (CARTRIDGE)","HUMALOG MIX 50  (CARTRIDGE)"
"67763","02243824","PRO-PRAVASTATIN","PRAVASTATIN-10"
"67764","02243825","PRO-PRAVASTATIN","PRAVASTATIN-20"
"67765","02243826","PRO-PRAVASTATIN","PRAVASTATIN-40"
"72016","02247735","FAMOTIDINE OMEGA -(WITHOUT PRESERVATIVE)","FAMOTIDINE OMEGA  -(WITHOUT PRESERVATIVE)"
"72026","02247745","FAMOTIDINE OMEGA  -(WITH PRESERVATIVE,BENZYL ALCOHOL)","FAMOTIDINE OMEGA   -(WITH PRESERVATIVE,BENZYL ALCOHOL)"
"75829","02272792","NYQUIL COLD & FLU LIQUICAPS","VICKS NYQUIL LIQUICAPS COLD & FLU MULTI-SYMPTOM RELIEF"
"76501","02279428","ONDANSETRON INJECTION USP   -(PRESERVATIVE FREE)","ONDANSETRON INJECTION USP     -(PRESERVATIVE FREE)"
"76502","02279436","ONDANSETRON INJECTION USP   -(WITH PRESERVATIVE)","ONDANSETRON INJECTION USP     -(WITH PRESERVATIVE)"
"78841","02303086","HEPARIN SODIUM INJECTION USP    (MULTIDOSE VIAL-WITH PRESERVATIVE)","HEPARIN SODIUM INJECTION USP        (MULTIDOSE VIAL-WITH PRESERVATIVE)"
"78843","02303108","HEPARIN SODIUM INJECTION USP    (MULTIDOSE VIAL-WITH PRESERVATIVE)","HEPARIN SODIUM INJECTION USP       (MULTIDOSE VIAL-WITH PRESERVATIVE)"
"85113","02366282","PRO-LANSOPRAZOLE","LANSOPRAZOLE"
"88822","02403412","HUMALOG (KWIKPEN)","HUMALOG  (KWIKPEN)"
"88823","02403420","HUMALOG MIX 25 (KWIKPEN)","HUMALOG MIX 25  (KWIKPEN)"
"88824","02403439","HUMALOG MIX 50 (KWIKPEN)","HUMALOG MIX 50  (KWIKPEN)"
"98099","02490951","PROTECTION THAT LIVES ON MICROBAN 24 HOUR KEEPS KILLING 99.9% OF BACTERIA FOR UP TO 24 HOURS BATHROOM CLEANER","PROTECTION THAT LIVES ON MICROBAN  24 HOUR KEEPS KILLING 99.9% OF BACTERIA FOR UP TO 24 HOURS BATHROOM CLEANER"
"100187","02512599","HEALTH-E-WIPES ALCOHOL FREE WIPES","HEALTH-E-WIPES  ALCOHOL FREE WIPES"
"11109","00816663","ACID CONCENTRATE D12150","ACID CONCENTRATE  D12150"
"11791","01932217","VITAMIN C CHEW SUG FR 500MG","VITAMIN C  CHEW SUG FR 500MG"
"13260","02007991","HAND SANITIZER LIQ. 62%","HAND SANITIZER  LIQ.  62%"
"13374","01985191","CREON 8 CAP","CREON 8  CAP"
"13500","02009498","SUITE SCRUB FOAM LIQ 3%","SUITE SCRUB FOAM  LIQ 3%"
"13743","02004100","S802 SUPREME LIQ 0.3%","S802 SUPREME LIQ  0.3%"
"13945","02006596","SELAX 250 CAP 250MG","SELAX 250  CAP 250MG"
"13994","02006553","ASCORBIC 500 TAB 500MG","ASCORBIC 500  TAB 500MG"
