tm_code,tm_formal_name,changes
8000886,acetylsalicylic acid and citric acid and sodium bicarbonate,"tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""19951231"" -> ""20210920"""
8001164,abacavir and lamivudine,"tm_status_effective_time: ""20050817"" -> ""20160314"""
8002558,tapinarof,DELETED
8000779,alcohol anhydrous and doxylamine and etafedrin and hydrocodone and sodium citrate,DELETED
8001118,dexmedetomidine,"tm_status_effective_time: ""20100224"" -> ""20160509"""
8001951,taliglucerase alfa,DELETED
