drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"69944","active","active","02245828","KNIGHT THERAPEUTICS INC.","SUMITOMO PHARMA CANADA, INC."
"71508","active","active","02247265","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"75209","active","active","02266687","AA PHARMA INC","APOTEX INC"
"79504","active","active","02309440","SIGMA LIFE SCIENCES INC.","TANTA PHARMACEUTICALS INC"
"86577","active","active","02379910","MERZ THERAPEUTICS GMBH","ACORDA THERAPEUTICS IRELAND LIMITED"
"93341","active","active","02447819","SIGMA LIFE SCIENCES INC.","TANTA PHARMACEUTICALS INC"
"96294","active","active","02473550","SPROUT PHARMACEUTICALS INC","SEARCHLIGHT PHARMA INC"
"97838","active","active","02488280","AFT PHARMACEUTICALS (CAN) LIMITED","BIOSYENT PHARMA INC"
"98955","active","active","02499827","PFIZER CANADA ULC","SEAGEN INC."
"98956","active","active","02499835","PFIZER CANADA ULC","SEAGEN INC."
"100221","active","active","02512963","BEONE MEDICINES I GMBH","BEIGENE SWITZERLAND GMBH"
"100625","active","active","02516918","ELI LILLY CANADA INC","LOXO ONCOLOGY INC"
"100626","active","active","02516926","ELI LILLY CANADA INC","LOXO ONCOLOGY INC"
"103073","active","active","02542137","KNIGHT THERAPEUTICS INC.","SUMITOMO PHARMA SWITZERLAND GMBH"
"104313","active","active","02554267","BEONE MEDICINES I GMBH","BEIGENE SWITZERLAND GMBH"
"15107","active","dormant","02050013","APOTEX INC","AA PHARMA INC"
"41869","dormant","dormant","00875988","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"81810","dormant","dormant","02332450","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"95599","approved","approved","02467623","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"95600","approved","approved","02467631","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"95601","approved","approved","02467658","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
