drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"106476","55","POWDER","ADDED","02561832"
"106591","85","TABLET","ADDED","02563096"
"106534","85","TABLET","ADDED","02562464"
"106582","134","SOLUTION","ADDED","02562995"
"106565","56","POWDER FOR SOLUTION","ADDED","02562804"
"106569","78","SUPPOSITORY","ADDED","02562847"
"106521","134","SOLUTION","ADDED","02562324"
"106578","36","LOTION","ADDED","02562952"
"106593","141","CAPSULE (EXTENDED RELEASE)","ADDED","02563126"
"106597","85","TABLET","ADDED","02563169"
"106570","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","ADDED","02562855"
"106562","85","TABLET","ADDED","02562774"
"106577","85","TABLET","ADDED","02562944"
"94756","141","CAPSULE (EXTENDED RELEASE)","ADDED","02460270"
"94755","141","CAPSULE (EXTENDED RELEASE)","ADDED","02460262"
"106564","134","SOLUTION","ADDED","02562790"
"106574","85","TABLET","ADDED","02562901"
"106557","85","TABLET","ADDED","02562715"
"106584","9","CREAM","ADDED","02563010"
"106596","85","TABLET","ADDED","02563150"
"106535","85","TABLET","ADDED","02562472"
"106559","5","CAPSULE","ADDED","02562731"
"106588","85","TABLET","ADDED","02563053"
"106607","79","SUSPENSION","ADDED","02563274"
"106605","79","SUSPENSION","ADDED","02563258"
"106563","85","TABLET","ADDED","02562782"
"106586","134","SOLUTION","ADDED","02563037"
"106549","134","SOLUTION","ADDED","02562634"
"106575","134","SOLUTION","ADDED","02562928"
"106561","85","TABLET","ADDED","02562766"
"94756","106","CAPSULE (CONTROLLED-DELIVERY)","REMOVED","02460270"
"106587","134","SOLUTION","ADDED","02563045"
"106538","85","TABLET","ADDED","02562502"
"106595","85","TABLET","ADDED","02563142"
"106550","134","SOLUTION","ADDED","02562642"
"106573","85","TABLET","ADDED","02562898"
"106571","85","TABLET","ADDED","02562863"
"106592","141","CAPSULE (EXTENDED RELEASE)","ADDED","02563118"
"106594","85","TABLET","ADDED","02563134"
"94755","106","CAPSULE (CONTROLLED-DELIVERY)","REMOVED","02460262"
"106548","134","SOLUTION","ADDED","02562626"
"106554","134","SOLUTION","ADDED","02562685"
"106558","5","CAPSULE","ADDED","02562723"
"104223","85","TABLET","ADDED","02553295"
"106455","134","SOLUTION","ADDED","02561603"
"106608","79","SUSPENSION","ADDED","02563282"
"106572","85","TABLET","ADDED","02562871"
"106583","134","SOLUTION","ADDED","02563002"
"106567","36","LOTION","ADDED","02562820"
"106589","85","TABLET","ADDED","02563061"
"106581","134","SOLUTION","ADDED","02562987"
"106590","85","TABLET","ADDED","02563088"
"106547","134","SOLUTION","ADDED","02562618"
"106544","75","TABLET (EXTENDED-RELEASE)","ADDED","02562561"
"106537","85","TABLET","ADDED","02562499"
"106560","5","CAPSULE","ADDED","02562758"
"106611","85","TABLET","ADDED","02563312"
"106536","85","TABLET","ADDED","02562480"
