"drug_code","status_current","history_date_current","status_previous","history_date_previous","drug_identification_number"
10025,"MARKETED",2019-08-16,"MARKETED",2016-04-01,"00701785"
12419,"MARKETED",2019-07-15,"DORMANT",2019-07-31,"01926306"
12688,"MARKETED",2019-08-16,"MARKETED",1998-08-05,"01909975"
12689,"MARKETED",2019-08-16,"MARKETED",1998-08-05,"01909983"
12690,"MARKETED",2019-08-16,"MARKETED",1998-08-05,"01909991"
13352,"MARKETED",2019-06-07,"DORMANT",2018-08-16,"00868728"
13767,"MARKETED",2019-08-02,"MARKETED",1993-12-31,"02012278"
19553,"MARKETED",2019-08-09,"MARKETED",2018-07-23,"02162695"
3394,"MARKETED",2019-08-02,"DORMANT",2018-08-13,"00402206"
37491,"MARKETED",2019-08-16,"MARKETED",2015-11-27,"02226995"
37492,"MARKETED",2019-08-16,"MARKETED",2016-03-09,"02227002"
37493,"MARKETED",2019-08-16,"MARKETED",2015-12-30,"02227010"
37494,"MARKETED",2019-08-16,"MARKETED",2015-12-30,"02227029"
65587,"MARKETED",2019-06-21,"DORMANT",2019-04-12,"02241917"
69769,"MARKETED",2019-08-09,"MARKETED",2002-08-22,"02245669"
73774,"MARKETED",2019-07-10,"MARKETED",2019-03-20,"02252805"
73775,"MARKETED",2019-07-10,"MARKETED",2019-03-19,"02252813"
74016,"MARKETED",2019-08-28,"MARKETED",2005-10-17,"02255014"
74017,"MARKETED",2019-08-28,"MARKETED",2006-02-21,"02255022"
74793,"MARKETED",2019-08-02,"DORMANT",2018-08-02,"02262541"
77382,"MARKETED",2019-07-20,"DORMANT",2018-06-12,"02288397"
78573,"MARKETED",2019-08-09,"MARKETED",2019-06-28,"02300435"
79145,"MARKETED",2019-06-06,"DORMANT",2019-04-12,"02305909"
82759,"MARKETED",2018-11-20,"DORMANT",2018-07-13,"02342073"
86754,"MARKETED",2019-08-08,"MARKETED",2018-05-22,"02381680"
87090,"MARKETED",2018-02-09,"APPROVED",2012-05-02,"02385260"
89947,"MARKETED",2018-02-28,"DORMANT",2018-07-25,"02414848"
91076,"MARKETED",2019-08-15,"MARKETED",2018-02-02,"02426153"
91232,"MARKETED",2019-08-22,"MARKETED",2016-10-26,"02427826"
91643,"MARKETED",2018-09-25,"APPROVED",2018-04-13,"02431963"
92233,"MARKETED",2019-08-22,"MARKETED",2015-11-20,"02437961"
92371,"MARKETED",2019-08-12,"MARKETED",2015-09-08,"02439360"
92672,"MARKETED",2018-11-09,"APPROVED",2015-07-07,"02442353"
92673,"MARKETED",2018-11-09,"APPROVED",2015-07-07,"02442361"
93760,"MARKETED",2019-07-04,"APPROVED",2016-01-26,"02451352"
94227,"MARKETED",2019-07-22,"APPROVED",2016-05-31,"02455463"
94374,"MARKETED",2019-08-29,"APPROVED",2018-08-21,"02456753"
94375,"MARKETED",2019-08-29,"APPROVED",2018-08-21,"02456761"
94824,"MARKETED",2019-07-23,"APPROVED",2017-01-20,"02460750"
9512,"MARKETED",2019-08-09,"MARKETED",2019-05-16,"00789429"
9513,"MARKETED",2019-08-02,"MARKETED",2019-05-16,"00789437"
9514,"MARKETED",2019-08-01,"MARKETED",2019-05-16,"00789445"
95754,"MARKETED",2019-08-14,"APPROVED",2018-02-19,"02468891"
95878,"MARKETED",2018-02-20,"APPROVED",2017-11-14,"02469863"
95974,"MARKETED",2019-08-01,"APPROVED",2018-04-30,"02470748"
95975,"MARKETED",2019-08-01,"APPROVED",2018-04-30,"02470756"
96421,"MARKETED",2019-07-30,"APPROVED",2018-03-22,"02474182"
96802,"MARKETED",2019-05-16,"APPROVED",2018-06-27,"02477661"
96803,"MARKETED",2019-05-16,"APPROVED",2018-06-27,"02477688"
96834,"MARKETED",2019-06-06,"APPROVED",2018-06-18,"02477351"
96847,"MARKETED",2018-07-03,"APPROVED",2018-06-18,"02477459"
96848,"MARKETED",2018-07-03,"APPROVED",2018-06-18,"02477467"
96878,"MARKETED",2019-01-24,"APPROVED",2018-06-26,"02478056"
96879,"MARKETED",2019-01-14,"APPROVED",2018-06-26,"02478064"
96880,"MARKETED",2019-03-04,"APPROVED",2018-06-26,"02478072"
97038,"MARKETED",2019-08-15,"APPROVED",2018-08-03,"02479796"
97040,"MARKETED",2019-08-15,"APPROVED",2018-08-03,"02479818"
97041,"MARKETED",2019-08-15,"APPROVED",2018-08-03,"02479826"
97058,"MARKETED",2019-08-03,"APPROVED",2018-08-13,"02480034"
97106,"MARKETED",2019-08-02,"APPROVED",2018-08-30,"02480506"
97154,"MARKETED",2019-08-02,"APPROVED",2018-09-17,"02480883"
97197,"MARKETED",2018-11-09,"APPROVED",2018-10-05,"02481529"
97248,"MARKETED",2019-07-30,"APPROVED",2018-10-25,"02481979"
97332,"MARKETED",2019-07-23,"APPROVED",2018-11-16,"02482924"
97333,"MARKETED",2019-07-23,"APPROVED",2018-11-16,"02482932"
97334,"MARKETED",2019-07-23,"APPROVED",2018-11-16,"02482940"
97463,"MARKETED",2019-07-31,"APPROVED",2018-12-31,"02484315"
97501,"MARKETED",2019-01-11,"APPROVED",2019-01-11,"02484722"
97565,"MARKETED",2019-07-30,"APPROVED",2019-02-04,"02485400"
97569,"MARKETED",2019-08-01,"APPROVED",2019-02-01,"02485443"
97576,"MARKETED",2019-08-01,"APPROVED",2019-02-05,"02485524"
97598,"MARKETED",2019-08-15,"APPROVED",2019-02-12,"02485745"
97599,"MARKETED",2019-08-15,"APPROVED",2019-02-12,"02485753"
97600,"MARKETED",2019-08-15,"APPROVED",2019-02-12,"02485761"
97689,"MARKETED",2019-07-31,"APPROVED",2019-03-15,"02486717"
97788,"MARKETED",2019-06-26,"APPROVED",2019-04-23,"02487748"
97910,"MARKETED",2019-08-21,"APPROVED",2019-05-24,"02489058"
97933,"MARKETED",2019-07-25,"APPROVED",2019-06-07,"02489252"
97967,"MARKETED",2019-08-12,"APPROVED",2019-06-17,"02489597"
97970,"MARKETED",2019-08-26,"APPROVED",2019-06-18,"02489619"
97974,"MARKETED",2019-08-07,"APPROVED",2019-06-19,"02489678"
97975,"MARKETED",2019-08-07,"APPROVED",2019-06-19,"02489686"
97976,"MARKETED",2019-08-07,"APPROVED",2019-06-19,"02489694"
98028,"MARKETED",2019-08-06,"APPROVED",2019-07-08,"02490226"
98029,"MARKETED",2019-08-06,"APPROVED",2019-07-08,"02490234"
98030,"MARKETED",2019-08-06,"APPROVED",2019-07-08,"02490242"
98031,"MARKETED",2019-08-06,"APPROVED",2019-07-08,"02490250"
98032,"MARKETED",2019-08-06,"APPROVED",2019-07-08,"02490269"
98033,"MARKETED",2019-08-06,"APPROVED",2019-07-08,"02490277"
42941,"CANCELLED PRE MARKET",2019-06-21,"APPROVED",2009-05-07,"02194430"
42942,"CANCELLED PRE MARKET",2019-06-21,"APPROVED",2009-05-07,"02194449"
63113,"CANCELLED PRE MARKET",2019-08-14,"APPROVED",1999-02-03,"02239644"
63114,"CANCELLED PRE MARKET",2019-08-11,"APPROVED",1999-02-03,"02239643"
63092,"CANCELLED PRE MARKET",2019-08-02,"APPROVED",1999-02-01,"02239621"
65422,"CANCELLED PRE MARKET",2019-07-31,"APPROVED",2007-05-10,"02241759"
64455,"CANCELLED PRE MARKET",2019-08-02,"APPROVED",1999-09-02,"02240864"
69678,"CANCELLED PRE MARKET",2019-07-31,"APPROVED",2007-05-08,"02245582"
69679,"CANCELLED PRE MARKET",2019-07-31,"APPROVED",2007-05-08,"02245583"
70461,"CANCELLED PRE MARKET",2013-02-28,"APPROVED",2002-07-17,"02246299"
75963,"CANCELLED PRE MARKET",2019-07-31,"APPROVED",2011-01-19,"02274175"
73501,"CANCELLED PRE MARKET",2019-07-31,"APPROVED",2011-04-07,"02250209"
76143,"CANCELLED PRE MARKET",2019-07-31,"APPROVED",2011-01-19,"02275775"
76319,"CANCELLED PRE MARKET",2019-07-31,"APPROVED",2011-01-11,"02277565"
77294,"CANCELLED PRE MARKET",2019-08-14,"APPROVED",2009-04-06,"02287552"
84086,"CANCELLED PRE MARKET",2019-07-31,"APPROVED",2010-08-25,"02355647"
