drug_code,mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
8387,00723908,TYLENOL EXTRA STRENGTH CAPLETS (acétaminophène 500 mg comprimé oral) KENVUE CANADA INC.,acétaminophène 500 mg comprimé oral,acétaminophène,"mp_fr_description: ""TYLENOL EXTRA STRENGTH CAPLETS (acétaminophène 500 mg comprimé oral) M̲C̲N̲E̲I̲L̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""TYLENOL EXTRA STRENGTH CAPLETS (acétaminophène 500 mg comprimé oral) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
10772,00870978,PRO-DICLOFENAC (diclofénac sodique 50 mg comprimé gastrorésistant) PRO DOC LIMITEE,diclofénac sodique 50 mg comprimé gastrorésistant,diclofénac,"mp_fr_description: ""DICLOFENAC-̲5̲0̲ (diclofénac sodique 50 mg comprimé gastrorésistant) PRO DOC LIMITEE"" -> ""P̲R̲O̲-̲DICLOFENAC (diclofénac sodique 50 mg comprimé gastrorésistant) PRO DOC LIMITEE"""
11847,01928791,KOFFEX DM (SUCROSE FREE) (bromhydrate de dextrométhorphane 15 mg par 5 mL sirop) TEVA CANADA LIMITED,bromhydrate de dextrométhorphane 15 mg par 5 mL sirop,dextrométhorphane,"mp_fr_description: ""KOFFEX DM ̲ (SUCROSE FREE) (bromhydrate de dextrométhorphane 15 mg par 5 mL sirop) TEVA CANADA LIMITED"" -> ""KOFFEX DM (SUCROSE FREE) (bromhydrate de dextrométhorphane 15 mg par 5 mL sirop) TEVA CANADA LIMITED"""
12788,01928775,BALMINIL DM (3MG/ML SUCROSE FREE) (bromhydrate de dextrométhorphane 15 mg par 5 mL sirop) TEVA CANADA LIMITED,bromhydrate de dextrométhorphane 15 mg par 5 mL sirop,dextrométhorphane,"mp_fr_description: ""BALMINIL DM ̲ (3MG/ML SUCROSE FREE) (bromhydrate de dextrométhorphane 15 mg par 5 mL sirop) TEVA CANADA LIMITED"" -> ""BALMINIL DM (3MG/ML SUCROSE FREE) (bromhydrate de dextrométhorphane 15 mg par 5 mL sirop) TEVA CANADA LIMITED"""
16234,02023768,DIOPRED SUSPENSION 1% (acétate de prednisolone 1 % gouttes ophtalmiques) SANDOZ CANADA INCORPORATED,acétate de prednisolone 1 % gouttes ophtalmiques,prednisolone,"mp_fr_description: ""DIOPRED SUSPENSION ̲ 1% (acétate de prednisolone 1 % gouttes ophtalmiques) SANDOZ CANADA INCORPORATED"" -> ""DIOPRED SUSPENSION 1% (acétate de prednisolone 1 % gouttes ophtalmiques) SANDOZ CANADA INCORPORATED"""
17893,02063808,DIPENTUM (olsalazine sodique 250 mg capsule orale) SEARCHLIGHT PHARMA INC,olsalazine sodique 250 mg capsule orale,olsalazine,"mp_fr_description: ""DIPENTUM (olsalazine sodique 250 mg capsule orale) A̲T̲N̲A̲H̲S̲ ̲P̲H̲A̲R̲M̲A̲ ̲U̲K̲ ̲L̲I̲M̲I̲T̲E̲D̲"" -> ""DIPENTUM (olsalazine sodique 250 mg capsule orale) S̲E̲A̲R̲C̲H̲L̲I̲G̲H̲T̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲"""
19314,02162466,NAPROSYN (naproxène 750 mg comprimé oral à libération prolongée) SEARCHLIGHT PHARMA INC,naproxène 750 mg comprimé oral à libération prolongée,naproxène,"mp_fr_description: ""NAPROSYN (naproxène 750 mg comprimé oral à libération prolongée) A̲T̲N̲A̲H̲S̲ ̲P̲H̲A̲R̲M̲A̲ ̲U̲K̲ ̲L̲I̲M̲I̲T̲E̲D̲"" -> ""NAPROSYN (naproxène 750 mg comprimé oral à libération prolongée) S̲E̲A̲R̲C̲H̲L̲I̲G̲H̲T̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲"""
19315,02162423,NAPROSYN (naproxène 500 mg comprimé gastrorésistant) SEARCHLIGHT PHARMA INC,naproxène 500 mg comprimé gastrorésistant,naproxène,"mp_fr_description: ""NAPROSYN (naproxène 500 mg comprimé gastrorésistant) A̲T̲N̲A̲H̲S̲ ̲P̲H̲A̲R̲M̲A̲ ̲U̲K̲ ̲L̲I̲M̲I̲T̲E̲D̲"" -> ""NAPROSYN (naproxène 500 mg comprimé gastrorésistant) S̲E̲A̲R̲C̲H̲L̲I̲G̲H̲T̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲"""
19316,02162415,NAPROSYN (naproxène 375 mg comprimé gastrorésistant) SEARCHLIGHT PHARMA INC,naproxène 375 mg comprimé gastrorésistant,naproxène,"mp_fr_description: ""NAPROSYN (naproxène 375 mg comprimé gastrorésistant) A̲T̲N̲A̲H̲S̲ ̲P̲H̲A̲R̲M̲A̲ ̲U̲K̲ ̲L̲I̲M̲I̲T̲E̲D̲"" -> ""NAPROSYN (naproxène 375 mg comprimé gastrorésistant) S̲E̲A̲R̲C̲H̲L̲I̲G̲H̲T̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲"""
20308,02152584,PRO-BACLOFEN (baclofène 10 mg comprimé oral) PRO DOC LIMITEE,baclofène 10 mg comprimé oral,baclofène,"mp_fr_description: ""BACLOFEN-̲1̲0̲ (baclofène 10 mg comprimé oral) PRO DOC LIMITEE"" -> ""P̲R̲O̲-̲BACLOFEN (baclofène 10 mg comprimé oral) PRO DOC LIMITEE"""
