tm_code,tm_formal_name,tm_fr_description,tm_status,tm_status_effective_time,tm_is_publishable
"8001940","sodium oxybate","oxybate de sodium","Deprec","20250303","t"
"8002542","sodium oxybate","oxybate de sodium","Active","20070803","t"
