drug_code,current_status,current_history_date,previous_status,previous_history_date,drug_identification_number
"100083","MARKETED","2022-04-27","APPROVED","2021-02-03","02511649"
"100293","MARKETED","2022-04-01","APPROVED","2021-03-19","02513749"
"100436","MARKETED","2022-04-05","APPROVED","2021-04-14","02514966"
"100437","MARKETED","2022-04-05","APPROVED","2021-04-14","02514974"
"100574","MARKETED","2022-03-14","APPROVED","2021-05-28","02516403"
"100576","MARKETED","2022-03-14","APPROVED","2021-05-28","02516411"
"100586","MARKETED","2022-04-13","APPROVED","2021-06-04","02516519"
"100587","MARKETED","2022-04-14","APPROVED","2021-06-04","02516527"
"100646","MARKETED","2022-04-27","APPROVED","2021-06-23","02517124"
"100647","MARKETED","2022-03-30","APPROVED","2021-06-15","02517132"
"100731","MARKETED","2022-03-07","APPROVED","2021-07-09","02517965"
"100747","MARKETED","2022-02-17","APPROVED","2021-07-15","02518155"
"100752","MARKETED","2022-03-15","APPROVED","2021-07-16","02518201"
"100753","MARKETED","2022-03-15","APPROVED","2021-07-16","02518228"
"100775","MARKETED","2022-04-14","APPROVED","2021-07-27","02518449"
"100835","MARKETED","2022-04-21","APPROVED","2021-08-20","02519070"
"100836","MARKETED","2022-04-21","APPROVED","2021-08-18","02519089"
"100851","MARKETED","2022-04-25","APPROVED","2021-08-18","02519232"
"100852","MARKETED","2022-04-25","APPROVED","2021-08-18","02519240"
"100871","MARKETED","2022-04-14","APPROVED","2021-08-26","02519445"
"100872","MARKETED","2022-04-14","APPROVED","2021-08-26","02519453"
"100880","MARKETED","2022-04-08","APPROVED","2021-08-25","02519550"
"100991","MARKETED","2022-04-04","APPROVED","2021-09-23","02520710"
"101050","MARKETED","2022-03-17","APPROVED","2021-10-13","02521288"
"101099","MARKETED","2022-04-01","APPROVED","2021-10-27","02521806"
"101133","MARKETED","2022-04-07","APPROVED","2021-11-10","02522187"
"101134","MARKETED","2022-04-07","APPROVED","2021-11-10","02522195"
"101135","MARKETED","2022-04-07","APPROVED","2021-11-10","02522209"
"101136","MARKETED","2022-04-07","APPROVED","2021-11-10","02522217"
"101158","MARKETED","2022-04-22","APPROVED","2021-11-29","02522470"
"101192","MARKETED","2022-04-20","APPROVED","2021-11-30","02522802"
"101196","MARKETED","2022-04-04","APPROVED","2021-12-02","02522861"
"101197","MARKETED","2022-04-04","APPROVED","2021-12-02","02522888"
"101211","MARKETED","2022-04-01","APPROVED","2021-12-07","02523035"
"101212","MARKETED","2022-04-08","APPROVED","2021-12-07","02523043"
"101256","MARKETED","2022-04-25","APPROVED","2021-12-20","02523493"
"101284","MARKETED","2022-03-03","APPROVED","2021-12-24","02523779"
"101300","MARKETED","2022-04-13","APPROVED","2022-01-05","02523957"
"101324","MARKETED","2022-04-11","APPROVED","2022-01-10","02524198"
"101402","MARKETED","2022-04-11","APPROVED","2022-02-16","02524996"
"101418","MARKETED","2022-04-12","APPROVED","2022-02-11","02525186"
"101419","MARKETED","2022-04-12","APPROVED","2022-02-11","02525194"
"101420","MARKETED","2022-04-12","APPROVED","2022-02-11","02525208"
"101427","MARKETED","2022-03-30","APPROVED","2022-02-14","02525267"
"101428","MARKETED","2022-03-30","APPROVED","2022-02-14","02525275"
"78970","MARKETED","2022-02-01","APPROVED","2021-03-03","02304414"
"82712","MARKETED","2022-04-20","APPROVED","2010-01-13","02341638"
"85244","MARKETED","2022-03-28","APPROVED","2021-08-18","02367602"
"85245","MARKETED","2022-03-28","APPROVED","2021-08-18","02367610"
"85247","MARKETED","2022-03-28","APPROVED","2021-08-18","02367629"
"85248","MARKETED","2022-03-28","APPROVED","2021-08-18","02367645"
"88523","MARKETED","2022-04-20","DORMANT","2022-01-14","02400421"
"88524","MARKETED","2022-04-20","DORMANT","2022-01-14","02400448"
"88525","MARKETED","2022-04-20","DORMANT","2022-01-14","02400456"
"88526","MARKETED","2022-04-20","DORMANT","2022-01-14","02400464"
"90627","MARKETED","2022-04-13","DORMANT","2021-07-29","02421623"
"94448","MARKETED","2022-03-31","APPROVED","2021-08-19","02457423"
"94857","MARKETED","2022-03-04","APPROVED","2020-11-13","02461072"
"95551","MARKETED","2022-04-26","APPROVED","2022-02-14","02467119"
"95552","MARKETED","2022-04-26","APPROVED","2022-02-14","02467127"
"97947","MARKETED","2022-04-06","DORMANT","2021-07-27","02489384"
"98162","MARKETED","2022-02-01","APPROVED","2021-03-16","02491648"
"99263","MARKETED","2022-04-18","APPROVED","2020-08-06","02503123"
"10116","CANCELLED POST MARKET","2022-04-05","MARKETED","1999-11-29","00852384"
"14257","CANCELLED POST MARKET","2019-12-01","MARKETED","2007-01-13","02019701"
"15572","CANCELLED POST MARKET","2022-04-05","MARKETED","1999-11-29","02046156"
"18014","CANCELLED POST MARKET","2022-04-25","MARKETED","1998-07-30","02122286"
"1922","CANCELLED POST MARKET","2022-04-22","MARKETED","2019-11-18","00297143"
"1936","CANCELLED POST MARKET","2022-04-13","MARKETED","1974-12-31","00299405"
"2254","CANCELLED POST MARKET","2022-04-26","MARKETED","2019-11-29","00343838"
"2255","CANCELLED POST MARKET","2022-04-26","MARKETED","2019-10-29","00315966"
"3166","CANCELLED POST MARKET","2022-04-27","MARKETED","1978-12-31","00452696"
"63125","CANCELLED POST MARKET","2022-04-14","MARKETED","2018-08-07","02239653"
"66260","CANCELLED POST MARKET","2022-04-05","MARKETED","2014-02-04","02242513"
"72370","CANCELLED POST MARKET","2022-04-27","DORMANT","2020-07-18","02248050"
"72371","CANCELLED POST MARKET","2022-04-27","DORMANT","2020-07-18","02248051"
