ntp_code,ntp_formal_name,changes
9002336,acetaminophen 80 mg per 5 mL syrup,"ntp_status_effective_time: ""20230712"" -> ""20241212"""
69a4469d5070b87c04db9296b5de2b6c,chlorpheniramine maleate 2 mg per 15 mL and dextromethorphan hydrobromide 15 mg per 15 mL syrup,ADDED
9015117,"SARSCoV2 S-protein mRNA, 5'[m27,3'-oGppp(m12'-O)ApG], 3'polyA+linker 10 mcg per 0.3 mL suspension for injection 1.8 mL vial","ntp_status_effective_time: ""20231023"" -> ""20240924"""
00697d3d1c770247680d7e6df4c2e9d7,magnesium sulfate 40 mg per mL solution for injection,ADDED
9015082,lebrikizumab 250 mg per 2 mL solution for injection,ADDED
9015112,"SARSCoV2 S-protein mRNA, 5'(m7G-5'-ppp-5'-Gm), 3'polyA 0.1 mg per mL dispersion for injection 2.5 mL vial","ntp_status_effective_time: ""20230918"" -> ""20240924"""
9012481,cyproterone acetate 300 mg per 3 mL solution for injection ampoule,DELETED
9014393,apomorphine hydrochloride 10 mg sublingual film,DELETED
9014762,obiltoxaximab 600 mg per 6 mL solution for injection vial,DELETED
f63316819905060856e21d181097e786,captopril 5 mg per 5 mL oral solution,ADDED
9014814,tecovirimat 200 mg oral capsule,DELETED
0f913e8e489ae1d65079737f68685260,teriparatide 250 mcg per mL solution for injection,ADDED
9013605,semaglutide 1 mg per actuation solution for injection pre-filled pen,"ntp_status_effective_time: ""20240328"" -> ""20180222"""
9015118,"SARSCoV2 S-protein mRNA, 5'[m27,3'-oGppp(m12'-O)ApG], 3'polyA+linker 30 mcg per 0.3 mL suspension for injection 0.3 mL vial","ntp_status_effective_time: ""20231010"" -> ""20240924"""
9015116,"SARSCoV2 S-protein mRNA, 5'[m27,3'-oGppp(m12'-O)ApG], 3'polyA+linker 10 mcg per 0.3 mL suspension for injection 0.3 mL vial","ntp_status_effective_time: ""20231023"" -> ""20240924"""
9015108,captopril 25 mg per 5 mL oral solution,ADDED
9014734,desmopressin (desmopressin acetate) 240 mcg sublingual tablet,DELETED
6a850eac2c747eba979c9958ad130cd1,ruxolitinib (ruxolitinib phosphate) 1.5 % cutaneous cream,ADDED
9013810,chlorpheniramine maleate 2 mg per 15 mL and dextromethorphan hydrobromide 15 mg per 15 mL oral solution,DELETED
9014603,sodium nitrite 300 mg per 10 mL solution for injection vial,DELETED
9015119,"SARSCoV2 S-protein mRNA, 5'[m27,3'-oGppp(m12'-O)ApG], 3'polyA+linker 30 mcg per 0.3 mL suspension for injection 1.8 mL vial","ntp_status_effective_time: ""20231010"" -> ""20240924"""
