drug_code,mp_code,mp_formal_name,changes
1931,00287873,SANDOZ COLCHICINE (colchicine 0.6 mg oral tablet) SANDOZ CANADA INCORPORATED,DELETED
5672,00441775,APO-TRIAZIDE (hydrochlorothiazide 25 mg and triamterene 50 mg oral tablet) APOTEX INC,"Health_Canada_product_name: ""APO TRIAZIDE"" -> ""APO-TRIAZIDE""
mp_formal_name: ""APO ̲TRIAZIDE (hydrochlorothiazide 25 mg and triamterene 50 mg oral tablet) APOTEX INC"" -> ""APO-̲TRIAZIDE (hydrochlorothiazide 25 mg and triamterene 50 mg oral tablet) APOTEX INC"""
6379,00590827,VOLTAREN SR (diclofenac sodium 100 mg prolonged-release oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC,DELETED
7627,00740713,APO-DOXY (doxycycline (doxycycline hyclate) 100 mg oral capsule) APOTEX INC,"Health_Canada_product_name: ""APO-DOXY CAP 100MG"" -> ""APO-DOXY""
mp_formal_name: ""APO-DOXY ̲C̲A̲P̲ ̲1̲0̲0̲M̲G̲ (doxycycline (doxycycline hyclate) 100 mg oral capsule) APOTEX INC"" -> ""APO-DOXY (doxycycline (doxycycline hyclate) 100 mg oral capsule) APOTEX INC"""
10383,00874256,APO-DOXY-TABS (doxycycline (doxycycline hyclate) 100 mg oral tablet) APOTEX INC,"Health_Canada_product_name: ""APO-DOXY TABS 100MG"" -> ""APO-DOXY-TABS""
mp_formal_name: ""APO-DOXY ̲T̲A̲B̲S̲ ̲1̲0̲0̲M̲G̲ (doxycycline (doxycycline hyclate) 100 mg oral tablet) APOTEX INC"" -> ""APO-DOXY-̲T̲A̲B̲S̲ (doxycycline (doxycycline hyclate) 100 mg oral tablet) APOTEX INC"""
16678,02063670,SANTYL (collagenase clostridium histolyticum 250 unit per g cutaneous ointment) SMITH & NEPHEW INC,"mp_status_effective_time: ""20240222"" -> ""20260128"""
49993,02230732,TRINIPATCH 0.2 (nitroglycerin 0.2 mg per hour transdermal patch) KNIGHT THERAPEUTICS INC.,"mp_formal_name: ""TRINIPATCH 0.2 (nitroglycerin 0.2 mg per hour transdermal patch) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""TRINIPATCH 0.2 (nitroglycerin 0.2 mg per hour transdermal patch) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲."""
49995,02230733,TRINIPATCH 0.4 (nitroglycerin 0.4 mg per hour transdermal patch) KNIGHT THERAPEUTICS INC.,"mp_formal_name: ""TRINIPATCH 0.4 (nitroglycerin 0.4 mg per hour transdermal patch) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""TRINIPATCH 0.4 (nitroglycerin 0.4 mg per hour transdermal patch) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲."""
49996,02230734,TRINIPATCH 0.6 (nitroglycerin 0.6 mg per hour transdermal patch) KNIGHT THERAPEUTICS INC.,"mp_formal_name: ""TRINIPATCH 0.6 (nitroglycerin 0.6 mg per hour transdermal patch) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""TRINIPATCH 0.6 (nitroglycerin 0.6 mg per hour transdermal patch) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲."""
60205,02236913,FRAXIPARINE (nadroparin calcium 2850 unit per 0.3 mL solution for injection syringe) ASPEN PHARMACARE CANADA INC.,"mp_status_effective_time: ""20230717"" -> ""20251008"""
62054,02238626,INFANTS' MOTRIN (ibuprofen 40 mg per mL oral drops) KENVUE CANADA INC.,"mp_formal_name: ""INFANTS' MOTRIN (ibuprofen 40 mg per mL oral drops) M̲C̲N̲E̲I̲L̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""INFANTS' MOTRIN (ibuprofen 40 mg per mL oral drops) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
