ntp_code,ntp_formal_name,changes
9012642,nadroparin calcium 19000 unit per 1 mL solution for injection syringe,"ntp_status_effective_time: ""20220726"" -> ""20251008"""
9013578,methylene blue 50 mg per 5 mL solution for injection ampoule,"ntp_status_effective_time: ""20220606"" -> ""20260120"""
9015117,"SARSCoV2 S-protein mRNA, 5'[m27,3'-oGppp(m12'-O)ApG], 3'polyA+linker 10 mcg per 0.3 mL suspension for injection 1.8 mL vial","ntp_status_effective_time: ""20231023"" -> ""20240924"""
9015112,"SARSCoV2 S-protein mRNA, 5'(m7G-5'-ppp-5'-Gm), 3'polyA 0.1 mg per mL dispersion for injection 2.5 mL vial","ntp_status_effective_time: ""20230918"" -> ""20240924"""
ab3aff913e663868b47af3bb397af728,leuprolide acetate 45 mg powder for prolonged-release suspension for injection,ADDED
9012645,nadroparin calcium 5700 unit per 0.6 mL solution for injection syringe,"ntp_status_effective_time: ""20240723"" -> ""20251008"""
594b729242e220121fd4383c5fc66a2b,tocilizumab 80 mg per 4 mL solution for injection,ADDED
9012643,nadroparin calcium 2850 unit per 0.3 mL solution for injection syringe,"ntp_status_effective_time: ""20230717"" -> ""20251008"""
9012644,nadroparin calcium 3800 unit per 0.4 mL solution for injection syringe,"ntp_status_effective_time: ""20230717"" -> ""20251008"""
9006279,ibuprofen 50 mg chewable tablet,"ntp_status_effective_time: ""20190731"" -> ""20260211"""
9012646,nadroparin calcium 9500 unit per 1 mL solution for injection syringe,"ntp_status_effective_time: ""20230717"" -> ""20251008"""
b0b15c41a0d5f23b6aa6d7efa18b9d11,midazolam (midazolam hydrochloride) 10 mg per 2 mL mouthwash,ADDED
9012641,nadroparin calcium 1900 unit per 0.2 mL solution for injection syringe,"ntp_status_effective_time: ""20180723"" -> ""20251008"""
9015329,"ciprofloxacin (ciprofloxacin, ciprofloxacin hydrochloride) 1000 mg prolonged-release oral tablet",DELETED
9000074,colchicine 0.6 mg oral tablet,"ntp_status_effective_time: ""19741231"" -> ""19821231"""
7e001ddcdda5552df43e04527a410a63,macitentan 2.5 mg dispersible oral tablet,ADDED
9015228,aflibercept 2 mg per 0.05 mL solution for injection,ADDED
9015330,"ciprofloxacin (ciprofloxacin, ciprofloxacin hydrochloride) 500 mg prolonged-release oral tablet",DELETED
9012640,nadroparin calcium 15200 unit per 0.8 mL solution for injection syringe,"ntp_status_effective_time: ""20220726"" -> ""20251008"""
9013541,collagenase clostridium histolyticum 250 unit per g cutaneous ointment,"ntp_status_effective_time: ""20240222"" -> ""20260128"""
9015118,"SARSCoV2 S-protein mRNA, 5'[m27,3'-oGppp(m12'-O)ApG], 3'polyA+linker 30 mcg per 0.3 mL suspension for injection 0.3 mL vial","ntp_status_effective_time: ""20231010"" -> ""20240924"""
3b8989e713d0d4f5c3caf1f31b603c8d,midazolam (midazolam hydrochloride) 5 mg per 1 mL mouthwash,ADDED
9015116,"SARSCoV2 S-protein mRNA, 5'[m27,3'-oGppp(m12'-O)ApG], 3'polyA+linker 10 mcg per 0.3 mL suspension for injection 0.3 mL vial","ntp_status_effective_time: ""20231023"" -> ""20240924"""
3079b2796d965f21ac50169eea07fe42,baloxavir marboxil 40 mg oral tablet,ADDED
f8ab70254f9fd52f8997d8a6ed80b59e,tocilizumab 400 mg per 20 mL solution for injection,ADDED
1639981f0b3045a4305941df904f84ce,tocilizumab 200 mg per 10 mL solution for injection,ADDED
c11fce9627a7c29a9217f3aff86b2f22,midazolam (midazolam hydrochloride) 7.5 mg per 1.5 mL mouthwash,ADDED
12803c0f177eb5eb0407995eda9fb87e,mifepristone 200 mg and misoprostol 200 mcg NA,ADDED
9000221,diclofenac sodium 100 mg prolonged-release oral tablet,"ntp_status_effective_time: ""19851231"" -> ""19931231"""
9005183,raltegravir (raltegravir potassium) 25 mg chewable tablet,DELETED
a621af7e12fda331dcbfede72b3c19bd,tocilizumab 162 mg per 0.9 mL solution for injection,ADDED
9012639,nadroparin calcium 11400 unit per 0.6 mL solution for injection syringe,"ntp_status_effective_time: ""20220726"" -> ""20251008"""
f54214fc4ac34600ece225bf9a47f903,midazolam (midazolam hydrochloride) 2.5 mg per 0.5 mL mouthwash,ADDED
9015119,"SARSCoV2 S-protein mRNA, 5'[m27,3'-oGppp(m12'-O)ApG], 3'polyA+linker 30 mcg per 0.3 mL suspension for injection 1.8 mL vial","ntp_status_effective_time: ""20231010"" -> ""20240924"""
