drug_code,drug_identification_number,current_brand_name,previous_brand_name
"1256","00230197","KIDS GRAVOL LIQUID","GRAVOL KIDS LIQUID"
"18768","02177102","FAMVIR","FAMVIR TABLETS 500MG"
"2138","00330582","EFUDEX","EFUDEX CRM 5%"
"3944","00013803","GRAVOL TABLETS","GRAVOL EASY TO SWALLOW TABLETS"
"43089","02212307","CEFTIN","CEFTIN - PWS 125MG/5ML"
"43182","02216345","SALAGEN","SALAGEN TABLETS"
"43513","02229110","FAMVIR","FAMVIR TABLETS 125MG"
"43514","02229129","FAMVIR","FAMVIR TABLETS 250MG"
"50217","02230939","BUCKLEY'S NIGHTTIME COUGH & CONGESTION","BUCKLEY'S NIGHT TIME MIXTURE"
"65206","02241553","HERTEL PRO BIODEGRADABLE ALL PURPOSE CLEANER DISINFECTANT DÉSINFECTANT NETTOYANT TOUT USAGE","HERTEL PRO"
"77454","02289164","BUCKLEY'S CHEST CONGESTION","BUCKLEY'S COUGH CHEST CONGESTION"
"78926","02303949","ESCITALOPRAM","PMS-ESCITALOPRAM"
"78928","02303965","ESCITALOPRAM","PMS-ESCITALOPRAM"
"79613","02310503","TARO-RAMIPRIL","RAN-RAMIPRIL"
"79614","02310511","TARO-RAMIPRIL","RAN-RAMIPRIL"
"79615","02310538","TARO-RAMIPRIL","RAN-RAMIPRIL"
"79616","02310546","TARO-RAMIPRIL","RAN-RAMIPRIL"
"83190","02346451","BUCKLEY'S MUCUS & PHLEGM","BUCKLEY'S COUGH, MUCOUS & PHLEGM"
"84236","02357232","BUCKLEY'S COMPLETE PLUS EXTRA STRENGTH MUCUS RELIEF","BUCKLEY'S COMPLETE PLUS MUCOUS RELIEF EXTRA STRENGTH"
"86986","02384116","KIDS GRAVOL CHEWABLES","GRAVOL KIDS QUICK DISSOLVE CHEWABLE"
"86988","02384132","GRAVOL CHEWABLES","GRAVOL QUICK DISSOLVE CHEWABLE"
"87374","02388197","TARO-TRAMADOL/ACET","RAN-TRAMADOL/ACET"
"88479","02399954","OINTMENT WITH MOISTURIZING VITAMIN E","LIFE BRAND OINTMENT"
"88746","02402610","TARO-LANSOPRAZOLE","RAN-LANSOPRAZOLE"
"88747","02402629","TARO-LANSOPRAZOLE","RAN-LANSOPRAZOLE"
"9926","00812366","CLOTRIMADERM VAGINAL 6","CLOTRIMADERM VAG CREAM 1%"
"9927","00812374","CLOTRIMADERM VAGINAL 3","CLOTRIMADERM VAG CREAM 2%"
"1025","00095494","ACETYLSALICYLIC ACID, CAFFEINE AND 8 MG CODEINE PHOSPHATE","ACETYLSALICYLIC ACID, CAFFEINE AND 8MG CODEINE PHOSPHATE"
"91018","02425548","TARO-RAMIPRIL","RAN-RAMIPRIL"
"78925","02303930","ESCITALOPRAM","PMS-ESCITALOPRAM"
"78927","02303957","ESCITALOPRAM","PMS-ESCITALOPRAM"
"81934","02333724","PDP-ATORVASTATIN","PMS-ATORVASTATIN"
"81935","02333732","PDP-ATORVASTATIN","PMS-ATORVASTATIN"
"81936","02333740","PDP-ATORVASTATIN","PMS-ATORVASTATIN"
"81937","02333759","PDP-ATORVASTATIN","PMS-ATORVASTATIN"
"96790","02477149","PMS-ATORVASTATIN","PHARMA-ATORVASTATIN"
"96791","02477157","PMS-ATORVASTATIN","PHARMA-ATORVASTATIN"
"96792","02477165","PMS-ATORVASTATIN","PHARMA-ATORVASTATIN"
"96793","02477173","PMS-ATORVASTATIN","PHARMA-ATORVASTATIN"
"98554","02495643","RIVA-PYRIDOSTIGMINE","PYRIDOSTIGMINE BROMIDE"
