drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"810","active","active","00074500","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"2133","active","active","00026123","INOVA PHARMACEUTICALS (AUSTRALIA) PTY LIMITED","INOVA PHARMACEUTICALS (SINGAPORE) PTE. LTD."
"5128","active","active","00582344","CHEPLAPHARM SCHWEIZ GMBH","HOFFMANN-LA ROCHE LIMITED"
"5129","active","active","00582352","CHEPLAPHARM SCHWEIZ GMBH","HOFFMANN-LA ROCHE LIMITED"
"5255","active","active","00559407","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"13865","active","active","00863270","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"62325","active","active","02238885","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"84104","active","active","02355841","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"95295","active","active","02464802","HENKEL CONSUMER BRANDS CANADA CORPORATION","HENKEL CANADA CORPORATION"
"95297","active","active","02464829","HENKEL CONSUMER BRANDS CANADA CORPORATION","HENKEL CANADA CORPORATION"
"100752","active","active","02518201","KENVUE CANADA INC.","JOHNSON & JOHNSON INC"
"100753","active","active","02518228","KENVUE CANADA INC.","JOHNSON & JOHNSON INC"
"101108","active","active","02521903","PFIZER CANADA ULC","SEAGEN INC."
"101109","active","active","02521911","PFIZER CANADA ULC","SEAGEN INC."
"70547","inactive","inactive","02246380","HENKEL CONSUMER BRANDS CANADA CORPORATION","HENKEL CANADA CORPORATION"
"73372","inactive","inactive","02248987","HENKEL CONSUMER BRANDS CANADA CORPORATION","HENKEL CANADA CORPORATION"
"74924","inactive","inactive","02263858","HENKEL CONSUMER BRANDS CANADA CORPORATION","HENKEL CANADA CORPORATION"
"80877","inactive","inactive","02323281","HENKEL CONSUMER BRANDS CANADA CORPORATION","HENKEL CANADA CORPORATION"
"86099","inactive","inactive","02375575","HENKEL CONSUMER BRANDS CANADA CORPORATION","HENKEL CANADA CORPORATION"
"87973","inactive","inactive","02394588","HENKEL CONSUMER BRANDS CANADA CORPORATION","HENKEL CANADA CORPORATION"
"88217","inactive","inactive","02397196","HENKEL CONSUMER BRANDS CANADA CORPORATION","HENKEL CANADA CORPORATION"
"88314","inactive","inactive","02398206","HENKEL CONSUMER BRANDS CANADA CORPORATION","HENKEL CANADA CORPORATION"
"88995","inactive","inactive","02405121","HENKEL CONSUMER BRANDS CANADA CORPORATION","HENKEL CANADA CORPORATION"
"95296","inactive","inactive","02464810","HENKEL CONSUMER BRANDS CANADA CORPORATION","HENKEL CANADA CORPORATION"
"95783","inactive","inactive","02469162","HENKEL CONSUMER BRANDS CANADA CORPORATION","HENKEL CANADA CORPORATION"
"95787","inactive","inactive","02469197","HENKEL CONSUMER BRANDS CANADA CORPORATION","HENKEL CANADA CORPORATION"
"95788","inactive","inactive","02469200","HENKEL CONSUMER BRANDS CANADA CORPORATION","HENKEL CANADA CORPORATION"
"93392","approved","approved","02448254","ORGANON CANADA INC.","DERMAVANT SCIENCES GMBH"
"97550","approved","approved","02485230","HENKEL CONSUMER BRANDS CANADA CORPORATION","HENKEL CANADA CORPORATION"
"98613","approved","approved","02496267","HENKEL CONSUMER BRANDS CANADA CORPORATION","HENKEL CANADA CORPORATION"
"100876","approved","approved","02519518","HENKEL CONSUMER BRANDS CANADA CORPORATION","HENKEL CANADA CORPORATION"
