drug_code,drug_identification_number,current_brand_name,previous_brand_name
"5128","00582344","ACCUTANE","ACCUTANE ROCHE"
"5129","00582352","ACCUTANE","ACCUTANE ROCHE"
"9904","00828793","PRO-ATENOLOL","ATENOLOL"
"9905","00828807","PRO-ATENOLOL","ATENOLOL"
"60147","02236857","PRO-DOMPERIDONE","DOMPERIDONE-10"
"86695","02381176","PRO-ROSUVASTATIN","ROSUVASTATIN"
"86696","02381184","PRO-ROSUVASTATIN","ROSUVASTATIN"
"86698","02381206","PRO-ROSUVASTATIN","ROSUVASTATIN"
"89090","02406179","PROACTIV SOLUTION 3-STEP ACNE ROUTINE","PROACTIV 3-STEP CONVENIENCE PAK"
"98984","02500132","AG-ROSUVASTATIN","AG-ROSUVASTATIN CALCIUM"
"98986","02500159","AG-ROSUVASTATIN","AG-ROSUVASTATIN CALCIUM"
"93042","02445190","JAMP QUININE","JAMP-QUININE"
"93043","02445204","JAMP QUININE","JAMP-QUININE"
"81205","02326701","PRO-ATENOLOL","ATENOLOL"
"86697","02381192","PRO-ROSUVASTATIN","ROSUVASTATIN"
"98985","02500140","AG-ROSUVASTATIN","AG-ROSUVASTATIN CALCIUM"
"98987","02500167","AG-ROSUVASTATIN","AG-ROSUVASTATIN CALCIUM"
