drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"106426","56","ORAL","ADDED","02561271"
"106423","56","ORAL","ADDED","02561247"
"106420","65","SUBCUTANEOUS","ADDED","02561212"
"61331","65","SUBCUTANEOUS","ADDED","02237970"
"106412","49","INTRAVENOUS","ADDED","02561123"
"106425","56","ORAL","ADDED","02561263"
"106421","49","INTRAVENOUS","ADDED","02561220"
"106421","22","INTRAMUSCULAR","ADDED","02561220"
"106394","49","INTRAVENOUS","ADDED","02560925"
"106392","70","TOPICAL","ADDED","02560909"
"106414","56","ORAL","ADDED","02561158"
"106417","70","TOPICAL","ADDED","02561182"
"106381","49","INTRAVENOUS","ADDED","02560771"
"106422","56","ORAL","ADDED","02561239"
"61331","22","INTRAMUSCULAR","ADDED","02237970"
"106400","70","TOPICAL","ADDED","02560992"
"106411","56","ORAL","ADDED","02561115"
"106338","49","INTRAVENOUS","ADDED","02560305"
"106396","56","ORAL","ADDED","02560941"
"106420","49","INTRAVENOUS","ADDED","02561212"
"106421","65","SUBCUTANEOUS","ADDED","02561220"
"106405","49","INTRAVENOUS","ADDED","02561050"
"106416","56","ORAL","ADDED","02561174"
"106339","49","INTRAVENOUS","ADDED","02560313"
"106398","55","OPHTHALMIC","ADDED","02560976"
"106413","56","ORAL","ADDED","02561131"
"106406","56","ORAL","ADDED","02561069"
"106393","65","SUBCUTANEOUS","ADDED","02560917"
"106420","22","INTRAMUSCULAR","ADDED","02561212"
"106394","22","INTRAMUSCULAR","ADDED","02560925"
"106395","56","ORAL","ADDED","02560933"
"106404","49","INTRAVENOUS","ADDED","02561042"
"106403","56","ORAL","ADDED","02561034"
"106391","65","SUBCUTANEOUS","ADDED","02560895"
"106173","56","ORAL","ADDED","02558483"
"106402","65","SUBCUTANEOUS","ADDED","02561026"
"106401","65","SUBCUTANEOUS","ADDED","02561018"
"106415","56","ORAL","ADDED","02561166"
"106424","62","RECTAL","ADDED","02561255"
"106390","74","VAGINAL","ADDED","02560887"
