"STRENGTH_UNIT"
"UNIT"
"MG"
"ML"
"%"
"CCID50"
"MCG"
"M"
"G"
"LF"
"Log10 TCID50"
"FFU"
"D"
"NIL"
"PFU"
"Log10 PFU"
"TUB"
"B"
"MCL"
"KIU"
"Kg"
"MCMOL"
"mEq"
"MIU"
"MMOL"
"PPM"
