drug_code,drug_identification_number,current_brand_name,previous_brand_name
"1134","00030759","DEPO-MEDROL","DEPO-MEDROL 40 MG/ML"
"18988","01934325","DEPO-MEDROL","DEPO-MEDROL (WITH PRESERVATIVE) 20 MG/ML"
"789","00030767","DEPO-MEDROL","DEPO-MEDROL 80 MG/ML"
"10828","00882801","APO-PRAZO","APO-PRAZO TAB 1MG"
"10830","00882836","APO-PRAZO","APO-PRAZO TAB 5MG"
"98570","02495805","CYCLOSPORINE","PMS-CYCLOSPORINE"
"98572","02495821","CYCLOSPORINE","PMS-CYCLOSPORINE"
"16275","01934333","DEPO-MEDROL","DEPO-MEDROL (WITH PRESERVATIVE) 40 MG/ML"
"16276","01934341","DEPO-MEDROL","DEPO-MEDROL (WITH PRESERVATIVE) 80 MG/ML"
"90410","02419475","REMDANTRY","INFLECTRA"
"9176","00782467","LISSA CLEAN DISINFECTING WIPES","APO-NADOLOL"
"98620","02496313","CEFAZOLIN IN DEXTROSE INJECTION, USP","CEFAZOLIN INJECTION, USP"
"10829","00882828","APO-PRAZO","APO-PRAZO TAB 2MG"
"98571","02495813","CYCLOSPORINE","PMS-CYCLOSPORINE"
