drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"104491","56","ORAL","ADDED","02556219"
"104502","56","ORAL","ADDED","02556324"
"104501","56","ORAL","ADDED","02556316"
"104504","94","DISINFECTANT (Institutional/Industrial)","ADDED","02556340"
"104442","57","OTIC","ADDED","02555670"
"104462","56","ORAL","ADDED","02555891"
"104472","56","ORAL","ADDED","02555999"
"104504","93","DISINFECTANT (Domestic)","ADDED","02556340"
"104471","70","TOPICAL","ADDED","02555980"
"104468","56","ORAL","ADDED","02555964"
"104473","56","ORAL","ADDED","02556006"
"104505","93","DISINFECTANT (Domestic)","ADDED","02556359"
"104493","118","INTRAGLANDULAR","ADDED","02556227"
"104494","56","ORAL","ADDED","02556235"
"104476","65","SUBCUTANEOUS","ADDED","02556049"
"104505","94","DISINFECTANT (Institutional/Industrial)","ADDED","02556359"
"104484","70","TOPICAL","ADDED","02556146"
"104483","49","INTRAVENOUS","ADDED","02556138"
"104422","49","INTRAVENOUS","ADDED","02555468"
"104486","56","ORAL","ADDED","02556162"
"104505","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02556359"
"104517","56","ORAL","ADDED","02556480"
"104171","56","ORAL","ADDED","02552744"
"104174","56","ORAL","ADDED","02552779"
"104504","8","DISINFECTANT (Food Premises)","ADDED","02556340"
"104495","56","ORAL","ADDED","02556243"
"104488","56","ORAL","ADDED","02556189"
"104470","56","ORAL","ADDED","02556022"
"104467","56","ORAL","ADDED","02555956"
"104493","22","INTRAMUSCULAR","ADDED","02556227"
"104469","56","ORAL","ADDED","02555972"
"104505","8","DISINFECTANT (Food Premises)","ADDED","02556359"
"104498","22","INTRAMUSCULAR","ADDED","02556286"
"104504","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02556340"
"104477","65","SUBCUTANEOUS","ADDED","02556057"
"104499","22","INTRAMUSCULAR","ADDED","02556294"
"104172","56","ORAL","ADDED","02552752"
"104463","56","ORAL","ADDED","02555905"
"104518","56","ORAL","ADDED","02556499"
"104475","56","ORAL","ADDED","02556030"
"104485","56","ORAL","ADDED","02556154"
"104489","56","ORAL","ADDED","02556197"
"104474","56","ORAL","ADDED","02556014"
"104173","56","ORAL","ADDED","02552760"
"104490","56","ORAL","ADDED","02556200"
"104519","56","ORAL","ADDED","02556502"
"104496","56","ORAL","ADDED","02556251"
