drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"60245","active","active","02236951","CHEPLAPHARM ARZNEIMITTEL GMBH","ASTRAZENECA CANADA INC"
"60246","active","active","02236952","CHEPLAPHARM ARZNEIMITTEL GMBH","ASTRAZENECA CANADA INC"
"60247","active","active","02236953","CHEPLAPHARM ARZNEIMITTEL GMBH","ASTRAZENECA CANADA INC"
"78139","active","active","02296039","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"9","active","active","00015741","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"71959","active","active","02247698","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"71963","active","active","02247699","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"71964","active","active","02247700","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"71965","active","active","02247701","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"65010","active","active","02241377","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"71958","active","active","02247694","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"68066","active","active","02244107","CHEPLAPHARM ARZNEIMITTEL GMBH","ASTRAZENECA CANADA INC"
"4222","active","active","00511552","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"78552","active","active","02300206","CHEPLAPHARM ARZNEIMITTEL GMBH","ASTRAZENECA CANADA INC"
"78550","active","active","02300184","CHEPLAPHARM ARZNEIMITTEL GMBH","ASTRAZENECA CANADA INC"
"78551","active","active","02300192","CHEPLAPHARM ARZNEIMITTEL GMBH","ASTRAZENECA CANADA INC"
"78553","active","active","02300214","CHEPLAPHARM ARZNEIMITTEL GMBH","ASTRAZENECA CANADA INC"
"4114","active","active","00500895","LUPIN PHARMA CANADA LIMITED","SANOFI-AVENTIS CANADA INC"
"80692","active","active","02321513","CHEPLAPHARM ARZNEIMITTEL GMBH","ASTRAZENECA CANADA INC"
"12746","active","active","01947958","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"12745","active","active","01947931","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"12887","active","active","01947923","ENDO OPERATIONS LTD.","PALADIN PHARMA INC."
"98489","active","active","02494914","UNILEVER ASIA PRIVATE LIMITED","UNILEVER CANADA"
"16628","approved","inactive","02026260","STERI-MED PHARMA INC.","PHARMA STULLN INC."
"98570","dormant","dormant","02495805","EDENBRIDGE PHARMACEUTICALS, LLC","PHARMASCIENCE INC"
"98572","dormant","dormant","02495821","EDENBRIDGE PHARMACEUTICALS, LLC","PHARMASCIENCE INC"
"98571","dormant","dormant","02495813","EDENBRIDGE PHARMACEUTICALS, LLC","PHARMASCIENCE INC"
"103131","approved","approved","02542773","UNILEVER ASIA PRIVATE LIMITED","UNILEVER CANADA"
