drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"2375","134","SOLUTION","ADDED","00000868"
"2375","34","LIQUID","REMOVED","00000868"
"104242","85","TABLET","ADDED","02553481"
"99108","85","TABLET","ADDED","02501457"
"106553","5","CAPSULE","ADDED","02562677"
"106167","5","CAPSULE","ADDED","02558424"
"415","34","LIQUID","REMOVED","00027243"
"415","134","SOLUTION","ADDED","00027243"
"106996","141","CAPSULE (EXTENDED RELEASE)","ADDED","02567555"
"106989","134","SOLUTION","ADDED","02567482"
"106981","134","SOLUTION","ADDED","02567393"
"106552","134","SOLUTION","ADDED","02562669"
"106947","85","TABLET","ADDED","02567016"
"107024","134","SOLUTION","ADDED","02567865"
"106990","85","TABLET","ADDED","02567490"
"106946","85","TABLET","ADDED","02567008"
"106504","85","TABLET","ADDED","02562146"
"107023","85","TABLET","ADDED","02567857"
"107006","134","SOLUTION","ADDED","02567679"
"106966","134","SOLUTION","ADDED","02567210"
"106977","114","GEL","ADDED","02567350"
"103974","32","KIT","ADDED","02550989"
"106953","134","SOLUTION","ADDED","02567075"
"106855","134","SOLUTION","ADDED","02566001"
"106510","134","SOLUTION","ADDED","02562200"
"106993","85","TABLET","ADDED","02567520"
"106978","134","SOLUTION","ADDED","02567369"
"106967","85","TABLET","ADDED","02567229"
"107013","85","TABLET","ADDED","02567741"
"106997","141","CAPSULE (EXTENDED RELEASE)","ADDED","02567563"
"106968","85","TABLET","ADDED","02567245"
"106368","56","POWDER FOR SOLUTION","ADDED","02560631"
"107028","85","TABLET","ADDED","02567911"
"106979","134","SOLUTION","ADDED","02567377"
"106992","85","TABLET","ADDED","02567512"
"107000","85","TABLET","ADDED","02567601"
"106717","56","POWDER FOR SOLUTION","ADDED","02564475"
"107037","134","SOLUTION","ADDED","02568012"
"106939","134","SOLUTION","ADDED","02566923"
"106991","85","TABLET","ADDED","02567504"
"106955","85","TABLET","ADDED","02567091"
"106952","134","SOLUTION","ADDED","02567067"
"76653","134","SOLUTION","ADDED","02280868"
"106988","85","TABLET","ADDED","02567474"
"106965","85","TABLET","ADDED","02567202"
"107004","85","TABLET","ADDED","02567652"
"106207","105","WIPE","ADDED","02558866"
"106998","141","CAPSULE (EXTENDED RELEASE)","ADDED","02567571"
"106957","85","TABLET","ADDED","02567113"
"107014","56","POWDER FOR SOLUTION","ADDED","02567768"
"107007","134","SOLUTION","ADDED","02567687"
"106898","85","TABLET","ADDED","02566486"
"106954","134","SOLUTION","ADDED","02567083"
"106982","134","SOLUTION","ADDED","02567407"
"107038","134","SOLUTION","ADDED","02568020"
"106964","85","TABLET","ADDED","02567199"
"106187","134","SOLUTION","ADDED","02558637"
"107026","85","TABLET","ADDED","02567881"
"106941","134","SOLUTION","ADDED","02566958"
"76653","34","LIQUID","REMOVED","02280868"
"106017","85","TABLET","ADDED","02556782"
"107027","85","TABLET","ADDED","02567903"
"107018","134","SOLUTION","ADDED","02567806"
"106986","75","TABLET (EXTENDED-RELEASE)","ADDED","02567458"
"106951","56","POWDER FOR SOLUTION","ADDED","02567059"
"106994","85","TABLET","ADDED","02567539"
"106999","85","TABLET","ADDED","02567598"
"106016","134","SOLUTION","ADDED","02556774"
"107030","85","TABLET","ADDED","02567946"
"106984","134","SOLUTION","ADDED","02567423"
"106956","85","TABLET","ADDED","02567105"
"106249","85","TABLET","ADDED","02559323"
"106945","85","TABLET","ADDED","02566990"
"107029","85","TABLET","ADDED","02567938"
"106958","134","SOLUTION","ADDED","02567121"
"106980","134","SOLUTION","ADDED","02567385"
"107019","134","SOLUTION","ADDED","02567814"
"106942","85","TABLET","ADDED","02566966"
"106983","134","SOLUTION","ADDED","02567415"
"107022","85","TABLET","ADDED","02567849"
"107005","134","SOLUTION","ADDED","02567660"
"106551","134","SOLUTION","ADDED","02562650"
"107021","134","SOLUTION","ADDED","02567830"
"106948","85","TABLET","ADDED","02567024"
"106508","85","TABLET","ADDED","02562189"
"107009","134","SOLUTION","ADDED","02567709"
"106250","85","TABLET","ADDED","02559331"
"106943","85","TABLET","ADDED","02566974"
"107002","85","TABLET","ADDED","02567636"
"98471","5","CAPSULE","ADDED","02494736"
"107012","43","OINTMENT","ADDED","02567733"
"106985","75","TABLET (EXTENDED-RELEASE)","ADDED","02567431"
"106940","134","SOLUTION","ADDED","02566931"
"106976","114","GEL","ADDED","02567342"
"107003","85","TABLET","ADDED","02567644"
