ccdd_code,ccdd_formal_name,ccdd_type,policy_type,policy_reference,special_groupings_status,special_groupings_status_effective_time,changes
d2f2f653b4f3477f26f5fead23d03545,midazolam (midazolam hydrochloride) 7.5 mg per 1.5 mL oromucosal solution,NTP,500006,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
2b64bb1eacb8d62bf12936e9299f0efd,midazolam (midazolam hydrochloride) 5 mg per 1 mL oromucosal solution,NTP,500006,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
02559595,"BUCCOLAM (midazolam (midazolam hydrochloride) 7.5 mg per 1.5 mL oromucosal solution) NEURAXPHARM PHARMACEUTICALS, S.L.",MP,500006,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
02559609,"BUCCOLAM (midazolam (midazolam hydrochloride) 10 mg per 2 mL oromucosal solution) NEURAXPHARM PHARMACEUTICALS, S.L.",MP,500006,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
30ecc0908c2f8c0b4a5e136f59c881ea,midazolam (midazolam hydrochloride) 10 mg per 2 mL oromucosal solution,NTP,500006,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
01924559,DEXEDRINE SPANSULE (dextroamphetamine sulfate 10 mg prolonged-release oral capsule) KNIGHT THERAPEUTICS INC.,MP,500003,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,"ccdd_formal_name: ""DEXEDRINE SPANSULE (dextroamphetamine sulfate 10 mg prolonged-release oral capsule) ENDO OPERATIONS LTD."" -> DEXEDRINE SPANSULE (dextroamphetamine sulfate 10 mg prolonged-release oral capsule) KNIGHT THERAPEUTICS INC."
02559579,"BUCCOLAM (midazolam (midazolam hydrochloride) 2.5 mg per 0.5 mL oromucosal solution) NEURAXPHARM PHARMACEUTICALS, S.L.",MP,500006,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
01924567,DEXEDRINE SPANSULE (dextroamphetamine sulfate 15 mg prolonged-release oral capsule) KNIGHT THERAPEUTICS INC.,MP,500003,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,"ccdd_formal_name: ""DEXEDRINE SPANSULE (dextroamphetamine sulfate 15 mg prolonged-release oral capsule) ENDO OPERATIONS LTD."" -> DEXEDRINE SPANSULE (dextroamphetamine sulfate 15 mg prolonged-release oral capsule) KNIGHT THERAPEUTICS INC."
02550962,"LORAZEPAM INJECTION, USP (lorazepam 4 mg per 1 mL solution for injection vial) FRESENIUS KABI CANADA LTD",MP,500006,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,"ccdd_formal_name: ""LORAZEPAM INJECTION, USP (lorazepam 4 mg per mL solution for injection) FRESENIUS KABI CANADA LTD"" -> LORAZEPAM INJECTION, USP (lorazepam 4 mg per 1 mL solution for injection vial) FRESENIUS KABI CANADA LTD"
02559587,"BUCCOLAM (midazolam (midazolam hydrochloride) 5 mg per 1 mL oromucosal solution) NEURAXPHARM PHARMACEUTICALS, S.L.",MP,500006,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
8106f0928b47dc3a65b23ef910057712,midazolam (midazolam hydrochloride) 2.5 mg per 0.5 mL oromucosal solution,NTP,500006,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
01924516,DEXEDRINE (dextroamphetamine sulfate 5 mg oral tablet) KNIGHT THERAPEUTICS INC.,MP,500003,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,"ccdd_formal_name: ""DEXEDRINE (dextroamphetamine sulfate 5 mg oral tablet) ENDO OPERATIONS LTD."" -> DEXEDRINE (dextroamphetamine sulfate 5 mg oral tablet) KNIGHT THERAPEUTICS INC."
