ntp_code,ntp_formal_name,ntp_fr_description,ntp_status,ntp_type,ntp_status_effective_time,tm_is_publishable
"9012159","tolvaptan 15 mg oral tablet","tolvaptan 15 mg comprimé oral","Active",NA,"20110922","t"
"9012159","tolvaptan 15 mg oral tablet","tolvaptan 15 mg comprimé oral","Active","Comb","20260121","t"
