ccdd_code,ccdd_formal_name,ccdd_type,policy_type,policy_reference,special_groupings_status,special_groupings_status_effective_time,changes
00594644,STATEX (morphine sulfate 10 mg oral tablet) ENDO OPERATIONS LTD.,MP,500008,https://www.tppalberta.ca/medication-lists,Active,20240201,"ccdd_formal_name: ""STATEX TAB 10MG (morphine sulfate 10 mg oral tablet) PALADIN PHARMA INC."" -> STATEX (morphine sulfate 10 mg oral tablet) ENDO OPERATIONS LTD."
02534452,APO-LISDEXAMFETAMINE CHEWABLE TABLETS (lisdexamfetamine dimesylate 20 mg chewable tablet) APOTEX INC,MP,500003,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
02247374,METADOL-D (methadone hydrochloride 1 mg per mL oral solution) ENDO OPERATIONS LTD.,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20230301,"ccdd_formal_name: ""METADOL-D (methadone hydrochloride 1 mg per mL oral solution) PALADIN PHARMA INC."" -> METADOL-D (methadone hydrochloride 1 mg per mL oral solution) ENDO OPERATIONS LTD."
00594644,STATEX (morphine sulfate 10 mg oral tablet) ENDO OPERATIONS LTD.,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Active,20170919,"ccdd_formal_name: ""STATEX TAB 10MG (morphine sulfate 10 mg oral tablet) PALADIN PHARMA INC."" -> STATEX (morphine sulfate 10 mg oral tablet) ENDO OPERATIONS LTD."
02244290,METADOL-D (methadone hydrochloride 10 mg per mL oral solution) ENDO OPERATIONS LTD.,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20230301,"ccdd_formal_name: ""METADOL-D (methadone hydrochloride 10 mg per mL oral solution) PALADIN PHARMA INC."" -> METADOL-D (methadone hydrochloride 10 mg per mL oral solution) ENDO OPERATIONS LTD."
9015164,calcium oxybate 0.234 g per mL and magnesium oxybate 0.096 g per mL and potassium oxybate 0.13 g per mL and sodium oxybate 0.04 g per mL oral solution,NTP,500003,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
02534495,APO-LISDEXAMFETAMINE CHEWABLE TABLETS (lisdexamfetamine dimesylate 60 mg chewable tablet) APOTEX INC,MP,500003,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
00594652,STATEX (morphine sulfate 5 mg oral tablet) ENDO OPERATIONS LTD.,MP,500008,https://www.tppalberta.ca/medication-lists,Active,20240201,"ccdd_formal_name: ""STATEX TAB 5MG (morphine sulfate 5 mg oral tablet) PALADIN PHARMA INC."" -> STATEX (morphine sulfate 5 mg oral tablet) ENDO OPERATIONS LTD."
00594652,STATEX (morphine sulfate 5 mg oral tablet) ENDO OPERATIONS LTD.,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Active,20170919,"ccdd_formal_name: ""STATEX TAB 5MG (morphine sulfate 5 mg oral tablet) PALADIN PHARMA INC."" -> STATEX (morphine sulfate 5 mg oral tablet) ENDO OPERATIONS LTD."
02554623,APO-BUTALBITAL-ACETYLSALICYLIC ACID-CAFFEINE-CODEINE-C 1/2 (acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg and codeine phosphate 30 mg oral capsule) APOTEX INC,MP,500002,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
8002542,sodium oxybate,TM,500003,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
00594644,STATEX (morphine sulfate 10 mg oral tablet) ENDO OPERATIONS LTD.,MP,500002,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,"ccdd_formal_name: ""STATEX TAB 10MG (morphine sulfate 10 mg oral tablet) PALADIN PHARMA INC."" -> STATEX (morphine sulfate 10 mg oral tablet) ENDO OPERATIONS LTD."
02554690,APO-BUTALBITAL-ACETYLSALICYLIC ACID-CAFFEINE (acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg oral capsule) APOTEX INC,MP,500005,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
02538237,XYWAV (calcium oxybate 0.234 g per mL and magnesium oxybate 0.096 g per mL and potassium oxybate 0.13 g per mL and sodium oxybate 0.04 g per mL oral solution) JAZZ PHARMACEUTICALS IRELAND LIMITED,MP,500003,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
02534487,APO-LISDEXAMFETAMINE CHEWABLE TABLETS (lisdexamfetamine dimesylate 50 mg chewable tablet) APOTEX INC,MP,500003,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
8002536,calcium oxybate and magnesium oxybate and potassium oxybate and sodium oxybate,TM,500003,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
