drug_code,mp_code,mp_formal_name,changes
104340,02554569,ABILIFY ASIMTUFII (aripiprazole 720 mg per 2.4 mL prolonged-release suspension for injection syringe) OTSUKA PHARMACEUTICAL CO LTD,"ntp_code: ""323371a04378f9078b0b737aff8a8f49"" -> ""9015183"""
104341,02554577,ABILIFY ASIMTUFII (aripiprazole 960 mg per 3.2 mL prolonged-release suspension for injection syringe) OTSUKA PHARMACEUTICAL CO LTD,"ntp_code: ""60cd66d320cf3cba2d644045de68df72"" -> ""9015184"""
104345,02554615,APO-BUTALBITAL-ACETYLSALICYLIC ACID-CAFFEINE-CODEINE-C 1/4 (acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg and codeine phosphate 15 mg oral capsule) APOTEX INC,ADDED
104346,02554623,APO-BUTALBITAL-ACETYLSALICYLIC ACID-CAFFEINE-CODEINE-C 1/2 (acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg and codeine phosphate 30 mg oral capsule) APOTEX INC,ADDED
104353,02554690,APO-BUTALBITAL-ACETYLSALICYLIC ACID-CAFFEINE (acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg oral capsule) APOTEX INC,ADDED
104362,02554798,EYLEA HD (aflibercept 8 mg per 0.07 mL solution for injection syringe) BAYER INC,"ntp_code: ""cb3e86c0bd0214353b43d8a02994561c"" -> ""9015182"""
104377,02554968,DESVENLAFAXINE (desvenlafaxine 50 mg prolonged-release oral tablet) SIVEM PHARMACEUTICALS ULC,ADDED
104378,02554976,DESVENLAFAXINE (desvenlafaxine 100 mg prolonged-release oral tablet) SIVEM PHARMACEUTICALS ULC,ADDED
104385,02555050,TALZENNA (talazoparib (talazoparib tosylate) 0.1 mg oral capsule) PFIZER CANADA ULC,ADDED
104427,02555476,ITOVEBI (inavolisib 3 mg oral tablet) HOFFMANN-LA ROCHE LIMITED,ADDED
104428,02555484,ITOVEBI (inavolisib 9 mg oral tablet) HOFFMANN-LA ROCHE LIMITED,ADDED
104447,02555735,QALSODY (tofersen 100 mg per 15 mL solution for injection vial) BIOGEN CANADA INC,ADDED
104468,02555964,LAZCLUZE (lazertinib (lazertinib mesylate) 80 mg oral tablet) JANSSEN INC,ADDED
104469,02555972,LAZCLUZE (lazertinib (lazertinib mesylate) 240 mg oral tablet) JANSSEN INC,ADDED
106038,02557010,IQIRVO (elafibranor 80 mg oral tablet) IPSEN BIOPHARMACEUTICALS CANADA INC,ADDED
106062,02557282,JAMP EDOXABAN (edoxaban (edoxaban tosylate monohydrate) 30 mg oral tablet) JAMP PHARMA CORPORATION,ADDED
106063,02557290,JAMP EDOXABAN (edoxaban (edoxaban tosylate monohydrate) 60 mg oral tablet) JAMP PHARMA CORPORATION,ADDED
NA,02480360,AUVI-Q (epinephrine 0.15 mg per 0.15 mL solution for injection syringe) KALEO INC,DELETED
NA,02480379,AUVI-Q (epinephrine 0.3 mg per 0.3 mL solution for injection syringe) KALEO INC,DELETED
NA,74527a4de918e6011204d150dd424d50,BICNU (carmustine 300 mg per 3 mL solution for injection vial) MARCAN PHARMACEUTICALS INC,DELETED
NA,77700685,HEPARIN SODIUM INJECTION USP    (MULTIDOSE VIAL-WITH PRESERVATIVE) (heparin sodium 50000 unit per 5 mL solution for injection vial) SANDOZ CANADA INCORPORATED,ADDED
NA,77700686,HEPARIN SODIUM INJECTION USP    (MULTIDOSE VIAL-WITH PRESERVATIVE) (heparin sodium 10000 unit per mL solution for injection 50 mL vial) SANDOZ CANADA INCORPORATED,ADDED
NA,77700738,"FLUMAZENIL INJECTION, USP (flumazenil 0.5 mg per 5 mL solution for injection vial) FRESENIUS KABI CANADA LTD","mp_formal_name: ""FLUMAZENIL INJECTION (flumazenil 0.5 mg per 5 mL solution for injection vial) FRESENIUS KABI CANADA LTD"" -> ""FLUMAZENIL INJECTION,̲ ̲U̲S̲P̲ (flumazenil 0.5 mg per 5 mL solution for injection vial) FRESENIUS KABI CANADA LTD"""
NA,77700739,"FLUMAZENIL INJECTION, USP (flumazenil 1 mg per 10 mL solution for injection vial) FRESENIUS KABI CANADA LTD","mp_formal_name: ""FLUMAZENIL INJECTION (flumazenil 1 mg per 10 mL solution for injection vial) FRESENIUS KABI CANADA LTD"" -> ""FLUMAZENIL INJECTION,̲ ̲U̲S̲P̲ (flumazenil 1 mg per 10 mL solution for injection vial) FRESENIUS KABI CANADA LTD"""
NA,77700769,"DOXORUBICIN INJECTION, BP (doxorubicin hydrochloride 50 mg per 25 mL solution for injection vial) ACCORD HEALTHCARE INC",ADDED
