drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"50105","active","active","02230844","KENVUE CANADA INC.","JOHNSON & JOHNSON INC"
"51742","active","active","02232297","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"60545","active","active","02237226","KENVUE CANADA INC.","JOHNSON & JOHNSON INC"
"60546","active","active","02237227","KENVUE CANADA INC.","JOHNSON & JOHNSON INC"
"62616","active","active","02239160","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"62617","active","active","02239162","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"62658","active","active","02239201","KENVUE CANADA INC.","JOHNSON & JOHNSON INC"
"64139","active","active","02240568","KENVUE CANADA INC.","JOHNSON & JOHNSON INC"
"66270","active","active","02242522","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"70575","active","active","02246403","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"71388","active","active","02247147","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"72525","active","active","02248189","KENVUE CANADA INC.","JOHNSON & JOHNSON INC"
"81127","active","active","02325926","LABORATOIRE X.0","BAYER INC"
"81395","active","active","02328429","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"81396","active","active","02328437","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"96880","active","active","02478072","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"99914","active","active","02509865","KENVUE CANADA INC.","JOHNSON & JOHNSON INC"
"100487","active","active","02515482","VANDA PHARMACEUTICALS INC.","JANSSEN INC"
"15104","dormant","dormant","02050048","APOTEX INC","AA PHARMA INC"
"15105","dormant","dormant","02050056","APOTEX INC","AA PHARMA INC"
"15106","dormant","dormant","02050005","APOTEX INC","AA PHARMA INC"
"15108","dormant","dormant","02050021","APOTEX INC","AA PHARMA INC"
"15118","dormant","dormant","02049996","APOTEX INC","AA PHARMA INC"
"81397","dormant","dormant","02328445","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"100488","dormant","dormant","02515474","VANDA PHARMACEUTICALS INC.","JANSSEN INC"
"70574","approved","approved","02246402","HALEON CANADA ULC","GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC"
"103789","approved","approved","02549018","SANDOZ CANADA INCORPORATED","NOVARTIS PHARMACEUTICALS CANADA INC"
"103790","approved","approved","02549026","SANDOZ CANADA INCORPORATED","NOVARTIS PHARMACEUTICALS CANADA INC"
"103791","approved","approved","02549034","SANDOZ CANADA INCORPORATED","NOVARTIS PHARMACEUTICALS CANADA INC"
