drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"106318","85","TABLET","ADDED","02560097"
"106326","109","TABLET (DELAYED-RELEASE)","ADDED","02560186"
"106337","134","SOLUTION","ADDED","02560291"
"106301","85","TABLET","ADDED","02559900"
"106333","141","CAPSULE (EXTENDED RELEASE)","ADDED","02560259"
"106344","85","TABLET","ADDED","02560372"
"106289","134","SOLUTION","ADDED","02559765"
"106325","56","POWDER FOR SOLUTION","ADDED","02560178"
"106340","82","SYRUP","ADDED","02560321"
"106306","85","TABLET","ADDED","02559951"
"106342","85","TABLET","ADDED","02560356"
"106376","9","CREAM","ADDED","02560720"
"106353","85","TABLET","ADDED","02560461"
"106343","85","TABLET","ADDED","02560364"
"106330","56","POWDER FOR SOLUTION","ADDED","02560224"
"106303","85","TABLET","ADDED","02559927"
"106304","85","TABLET","ADDED","02559935"
"106348","132","TABLET (ORALLY DISINTEGRATING)","ADDED","02560410"
"106388","39","LOZENGE","ADDED","02560860"
"106386","34","LIQUID","ADDED","02560844"
"106327","109","TABLET (DELAYED-RELEASE)","ADDED","02560194"
"106366","85","TABLET","ADDED","02560615"
"106307","85","TABLET","ADDED","02559978"
"106329","56","POWDER FOR SOLUTION","ADDED","02560216"
"106335","141","CAPSULE (EXTENDED RELEASE)","ADDED","02560275"
"106347","132","TABLET (ORALLY DISINTEGRATING)","ADDED","02560402"
"106361","32","KIT","ADDED","02560569"
"6823","36","LOTION","ADDED","00653217"
"106360","134","SOLUTION","ADDED","02560550"
"106309","134","SOLUTION","ADDED","02559994"
"106362","151","TABLET (CHEWABLE)","ADDED","02560577"
"106320","85","TABLET","ADDED","02560119"
"106300","85","TABLET","ADDED","02559897"
"106361","85","TABLET","ADDED","02560569"
"106351","85","TABLET","ADDED","02560445"
"106328","56","POWDER FOR SOLUTION","ADDED","02560208"
"106308","85","TABLET","ADDED","02559986"
"106378","85","TABLET","ADDED","02560747"
"106305","85","TABLET","ADDED","02559943"
"106336","134","SOLUTION","ADDED","02560283"
"106332","134","SOLUTION","ADDED","02560240"
"106364","85","TABLET","ADDED","02560593"
"106352","85","TABLET","ADDED","02560453"
"106389","134","SOLUTION","ADDED","02560879"
"106334","141","CAPSULE (EXTENDED RELEASE)","ADDED","02560267"
"106387","39","LOZENGE","ADDED","02560852"
"106290","134","SOLUTION","ADDED","02559773"
"106373","134","SOLUTION","ADDED","02560690"
"106350","43","OINTMENT","ADDED","02560437"
"106317","85","TABLET","ADDED","02560089"
"106316","85","TABLET","ADDED","02560070"
"106365","85","TABLET","ADDED","02560607"
"106345","5","CAPSULE","ADDED","02560380"
"106302","85","TABLET","ADDED","02559919"
"106380","34","LIQUID","ADDED","02560763"
"106375","79","SUSPENSION","ADDED","02560712"
