drug_code,drug_identification_number,current_brand_name,previous_brand_name
"94867","02461188","COMPLETE LIGHTWEIGHT LOTION WITH SPF BROAD SPECTRUM SPF 30","OLAY COMPLETE 30 UVA/UVB 365 DAILY MOISTURIZING LOTION WITH SPF BROAD SPECTRUM SPF 30 SENSITIVE"
"15104","02050048","APO-DOXEPIN","DOXEPIN"
"15106","02050005","APO-DOXEPIN","DOXEPIN"
"15107","02050013","APO-DOXEPIN","DOXEPIN"
"15118","02049996","APO-DOXEPIN","DOXEPIN"
"103791","02549034","SANDOZ SACUBITRIL-VALSARTAN","SACUBITRIL-VALSARTAN"
"66736","02242904","MIDAZOLAM INJECTION, USP","MIDAZOLAM INJECTION"
"66737","02242905","MIDAZOLAM INJECTION, USP","MIDAZOLAM INJECTION"
"15105","02050056","APO-DOXEPIN","DOXEPIN"
"15108","02050021","APO-DOXEPIN","DOXEPIN"
"103789","02549018","SANDOZ SACUBITRIL-VALSARTAN","SACUBITRIL-VALSARTAN"
"103790","02549026","SANDOZ SACUBITRIL-VALSARTAN","SACUBITRIL-VALSARTAN"
