drug_code,current_status,current_history_date,previous_status,previous_history_date,drug_identification_number
"100209","MARKETED","2023-01-11","APPROVED","2021-02-25","02512831"
"100339","MARKETED","2023-04-10","APPROVED","2021-03-25","02514222"
"100728","MARKETED","2023-07-01","APPROVED","2021-07-08","02517930"
"101026","MARKETED","2022-02-21","APPROVED","2021-10-05","02521032"
"101063","MARKETED","2023-07-01","APPROVED","2021-10-15","02521431"
"101069","MARKETED","2023-07-01","APPROVED","2021-10-19","02521504"
"101199","MARKETED","2023-03-31","APPROVED","2021-12-02","02522918"
"101200","MARKETED","2023-03-31","APPROVED","2021-12-02","02522926"
"101241","MARKETED","2022-11-22","APPROVED","2021-12-15","02523302"
"101375","MARKETED","2023-06-08","APPROVED","2022-01-25","02524732"
"101376","MARKETED","2023-06-08","APPROVED","2022-01-25","02524740"
"101377","MARKETED","2023-06-08","APPROVED","2022-01-25","02524759"
"101379","MARKETED","2023-07-14","APPROVED","2022-01-26","02524775"
"101398","MARKETED","2023-07-17","APPROVED","2022-02-04","02524953"
"101399","MARKETED","2023-07-17","APPROVED","2022-02-04","02524961"
"101490","MARKETED","2023-06-26","APPROVED","2022-03-16","02525917"
"101582","MARKETED","2023-07-11","APPROVED","2022-04-25","02526751"
"101583","MARKETED","2023-07-11","APPROVED","2022-04-25","02526778"
"101704","MARKETED","2023-04-18","APPROVED","2022-06-09","02527847"
"101913","MARKETED","2023-07-06","APPROVED","2022-08-19","02529904"
"101981","MARKETED","2023-07-18","APPROVED","2022-09-14","02530651"
"101983","MARKETED","2023-07-19","APPROVED","2022-09-14","02530678"
"101984","MARKETED","2023-07-19","APPROVED","2022-09-14","02530686"
"102081","MARKETED","2023-07-21","APPROVED","2023-04-11","02531704"
"102266","MARKETED","2023-07-11","APPROVED","2022-12-16","02533693"
"102307","MARKETED","2023-07-27","APPROVED","2023-01-03","02534118"
"102384","MARKETED","2023-06-15","APPROVED","2023-02-02","02534959"
"102466","MARKETED","2023-06-11","APPROVED","2023-03-03","02535831"
"102531","MARKETED","2023-07-05","APPROVED","2023-03-24","02536552"
"102532","MARKETED","2023-07-05","APPROVED","2023-03-24","02536560"
"102548","MARKETED","2023-07-19","APPROVED","2023-03-30","02536722"
"102559","MARKETED","2023-06-27","APPROVED","2023-04-26","02536862"
"102560","MARKETED","2023-06-27","APPROVED","2023-04-26","02536870"
"102616","MARKETED","2023-07-12","APPROVED","2023-04-28","02537443"
"102647","MARKETED","2023-07-12","APPROVED","2023-05-08","02537745"
"102665","MARKETED","2023-07-26","APPROVED","2023-05-12","02537893"
"102731","MARKETED","2023-07-20","APPROVED","2023-06-09","02538601"
"75810","MARKETED","2023-07-14","DORMANT","2018-08-02","02272598"
"79043","MARKETED","2023-06-30","DORMANT","2020-11-28","02305062"
"87152","MARKETED","2023-07-06","APPROVED","2012-06-05","02385910"
"90899","MARKETED","2023-07-06","APPROVED","2014-04-29","02424282"
"90900","MARKETED","2023-07-06","APPROVED","2014-04-29","02424290"
"96975","MARKETED","2023-06-26","DORMANT","2022-07-26","02479044"
"98183","MARKETED","2021-11-09","APPROVED","2019-08-27","02491834"
"98190","MARKETED","2023-06-30","APPROVED","2019-08-30","02491893"
"98191","MARKETED","2023-06-30","APPROVED","2019-08-30","02491907"
"98192","MARKETED","2023-06-30","APPROVED","2019-08-30","02491915"
"98193","MARKETED","2023-06-30","APPROVED","2019-08-30","02491923"
"99306","MARKETED","2023-07-10","APPROVED","2020-08-19","02503603"
"99564","MARKETED","2022-02-01","APPROVED","2020-10-06","02506300"
"99712","MARKETED","2023-02-17","APPROVED","2020-11-17","02507722"
"99716","MARKETED","2023-02-17","APPROVED","2020-11-17","02507765"
"99798","MARKETED","2023-07-20","APPROVED","2023-04-21","02508621"
"99929","MARKETED","2023-06-19","APPROVED","2020-12-22","02510030"
"100060","CANCELLED POST MARKET","2023-05-24","MARKETED","2021-09-06","02511398"
"100154","CANCELLED POST MARKET","2023-06-30","APPROVED","2021-02-04","02512246"
"100239","CANCELLED POST MARKET","2023-06-30","MARKETED","2022-08-05","02513153"
"100279","CANCELLED POST MARKET","2021-06-30","MARKETED","2021-06-01","02513609"
"100460","CANCELLED PRE MARKET","2023-07-19","APPROVED","2021-04-16","02515210"
"100845","CANCELLED PRE MARKET","2023-07-28","APPROVED","2021-08-17","02519186"
"100848","CANCELLED PRE MARKET","2023-07-10","APPROVED","2021-08-18","02519208"
"100853","CANCELLED POST MARKET","2022-12-31","MARKETED","2021-11-01","02519259"
"101099","CANCELLED POST MARKET","2023-07-18","MARKETED","2022-04-01","02521806"
"101139","CANCELLED POST MARKET","2023-06-20","MARKETED","2022-02-04","02522284"
"101142","CANCELLED PRE MARKET","2023-07-18","APPROVED","2021-11-10","02522276"
"101143","CANCELLED POST MARKET","2023-07-05","MARKETED","2022-02-04","02522292"
"101431","CANCELLED PRE MARKET","2023-07-26","APPROVED","2022-02-14","02525305"
"101432","CANCELLED PRE MARKET","2023-07-26","APPROVED","2022-02-14","02525313"
"101509","CANCELLED PRE MARKET","2023-06-29","APPROVED","2022-03-16","02525968"
"101514","CANCELLED PRE MARKET","2023-06-29","APPROVED","2022-03-16","02526018"
"101515","CANCELLED PRE MARKET","2023-06-29","APPROVED","2022-03-16","02526026"
"101516","CANCELLED PRE MARKET","2023-06-29","APPROVED","2022-03-16","02526034"
