drug_code,mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
103815,02549360,DAYQUIL KIDS HONEY (bromhydrate de dextrométhorphane 10 mg par 15 mL sirop) PROCTER & GAMBLE INC,bromhydrate de dextrométhorphane 10 mg par 15 mL sirop,dextrométhorphane,ADDED
103999,02551268,M-PROGESTERONE (progestérone 100 mg capsule orale) MANTRA PHARMA INC,progestérone 100 mg capsule orale,progestérone,ADDED
104039,02551667,NYQUIL COLD & FLU ALCOHOL FREE (acétaminophène 650 mg par 30 mL et maléate de chlorphéniramine 4 mg par 30 mL et bromhydrate de dextrométhorphane 30 mg par 30 mL sirop) PROCTER & GAMBLE INC,acétaminophène 650 mg par 30 mL et maléate de chlorphéniramine 4 mg par 30 mL et bromhydrate de dextrométhorphane 30 mg par 30 mL sirop,acétaminophène et chlorphéniramine et dextrométhorphane,ADDED
104041,02551683,MAR-DIENOGEST (diénogest 2 mg comprimé oral) MARCAN PHARMACEUTICALS INC,diénogest 2 mg comprimé oral,diénogest,ADDED
104093,02552256,"JAMP RIVASTIGMINE CAPSULES (rivastigmine (tartrate hydrogéné de rivastigmine) 1,5 mg capsule orale) JAMP PHARMA CORPORATION","rivastigmine (tartrate hydrogéné de rivastigmine) 1,5 mg capsule orale",rivastigmine,ADDED
104094,02552264,JAMP RIVASTIGMINE CAPSULES (rivastigmine (tartrate hydrogéné de rivastigmine) 3 mg capsule orale) JAMP PHARMA CORPORATION,rivastigmine (tartrate hydrogéné de rivastigmine) 3 mg capsule orale,rivastigmine,ADDED
104095,02552272,"JAMP RIVASTIGMINE CAPSULES (rivastigmine (tartrate hydrogéné de rivastigmine) 4,5 mg capsule orale) JAMP PHARMA CORPORATION","rivastigmine (tartrate hydrogéné de rivastigmine) 4,5 mg capsule orale",rivastigmine,ADDED
104096,02552280,JAMP RIVASTIGMINE CAPSULES (rivastigmine (tartrate hydrogéné de rivastigmine) 6 mg capsule orale) JAMP PHARMA CORPORATION,rivastigmine (tartrate hydrogéné de rivastigmine) 6 mg capsule orale,rivastigmine,ADDED
104192,02552957,EUGIA-PAZOPANIB (pazopanib (chlorhydrate de pazopanib) 200 mg comprimé oral) EUGIA PHARMA INC.,pazopanib (chlorhydrate de pazopanib) 200 mg comprimé oral,pazopanib,ADDED
104240,02553465,MEN'S GLN-MINOXIDIL (minoxidil 5 % mousse cutanée) GLENMARK PHARMACEUTICALS CANADA INC.,minoxidil 5 % mousse cutanée,minoxidil,ADDED
104259,02553686,AG-ANASTROZOLE TABLETS (anastrozole 1 mg comprimé oral) ANGITA PHARMA INC.,anastrozole 1 mg comprimé oral,anastrozole,ADDED
104289,02554003,"VABYSMO (faricimab 6 mg par 0,05 mL solution injectable seringue) HOFFMANN-LA ROCHE LIMITED","faricimab 6 mg par 0,05 mL solution injectable seringue",faricimab,ADDED
104303,02554151,VABOMERE (méropénem (méropénem trihydraté) 1 g par fiole et vaborbactam 1 g par fiole poudre pour solution injectable) XEDITON PHARMACEUTICALS INC,méropénem 1 g par fiole et vaborbactam 1 g par fiole poudre pour solution injectable,méropénem et vaborbactam,ADDED
104305,02554178,"AFLIVU (aflibercept 2 mg par 0,05 mL solution injectable seringue) APOTEX INC","aflibercept 2 mg par 0,05 mL solution injectable seringue",aflibercept,ADDED
104306,02554194,"AFLIVU (aflibercept 2 mg par 0,05 mL solution injectable fiole) APOTEX INC","aflibercept 2 mg par 0,05 mL solution injectable fiole",aflibercept,ADDED
104325,02554399,"AURO-DIGOXIN (digoxine 0,0625 mg comprimé oral) AURO PHARMA INC","digoxine 0,0625 mg comprimé oral",digoxine,ADDED
104326,02554402,"AURO-DIGOXIN (digoxine 0,125 mg comprimé oral) AURO PHARMA INC","digoxine 0,125 mg comprimé oral",digoxine,ADDED
104404,02555255,"AG-RIVAROXABAN (rivaroxaban 2,5 mg comprimé oral) ANGITA PHARMA INC.","rivaroxaban 2,5 mg comprimé oral",rivaroxaban,ADDED
104444,02555697,NB-PERINDOPRIL (périndopril erbumine 2 mg comprimé oral) NB PHARMA INC.,périndopril erbumine 2 mg comprimé oral,périndopril,ADDED
104445,02555700,NB-PERINDOPRIL (périndopril erbumine 4 mg comprimé oral) NB PHARMA INC.,périndopril erbumine 4 mg comprimé oral,périndopril,ADDED
104446,02555719,NB-PERINDOPRIL (périndopril erbumine 8 mg comprimé oral) NB PHARMA INC.,périndopril erbumine 8 mg comprimé oral,périndopril,ADDED
104459,02555867,"MYTOLAC (lanréotide (acétate de lanréotide) 60 mg par 0,2 mL solution injectable à libération prolongée seringue) ADVANZ PHARMA CANADA INC.","lanréotide (acétate de lanréotide) 60 mg par 0,2 mL solution injectable à libération prolongée seringue",lanréotide,ADDED
104460,02555875,"MYTOLAC (lanréotide (acétate de lanréotide) 90 mg par 0,3 mL solution injectable à libération prolongée seringue) ADVANZ PHARMA CANADA INC.","lanréotide (acétate de lanréotide) 90 mg par 0,3 mL solution injectable à libération prolongée seringue",lanréotide,ADDED
