ntp_code,ntp_formal_name,ntp_fr_description,changes
9014162,coagulation factor VIII human 1000 unit per vial and von Willebrand factor human 2400 unit per vial powder for solution for injection with diluent solution,facteur VIII de coagulation humain 1000 unité par fiole et facteur de von Willebrand humain 2400 unité par fiole poudre pour solution injectable avec solution diluante,"ntp_formal_name: ""coagulation factor VIII human 8̲10-̲1̲2̲00 unit per vial and von Willebrand factor human 1̲4̲4̲0̲-̲3̲3̲6̲0 unit per vial powder for solution for injection with diluent solution"" -> ""coagulation factor VIII human 1000 unit per vial and von Willebrand factor human 2̲4̲0̲0 unit per vial powder for solution for injection with diluent solution""
ntp_fr_description: ""facteur VIII de coagulation humain 8̲10-̲1̲2̲00 unité par fiole et facteur de von Willebrand humain 1̲4̲4̲0̲-̲3̲3̲6̲0 unité par fiole poudre pour solution injectable avec solution diluante"" -> ""facteur VIII de coagulation humain 1000 unité par fiole et facteur de von Willebrand humain 2̲4̲0̲0 unité par fiole poudre pour solution injectable avec solution diluante"""
9014160,coagulation factor VIII human 250 unit per vial and von Willebrand factor human 600 unit per vial powder for solution for injection with diluent solution,facteur VIII de coagulation humain 250 unité par fiole et facteur de von Willebrand humain 600 unité par fiole poudre pour solution injectable avec solution diluante,"ntp_formal_name: ""coagulation factor VIII human 20̲0̲-̲3̲0̲0 unit per vial and von Willebrand factor human 3̲60-̲8̲4̲0 unit per vial powder for solution for injection with diluent solution"" -> ""coagulation factor VIII human 25̲0 unit per vial and von Willebrand factor human 600 unit per vial powder for solution for injection with diluent solution""
ntp_fr_description: ""facteur VIII de coagulation humain 20̲0̲-̲3̲0̲0 unité par fiole et facteur de von Willebrand humain 3̲60-̲8̲4̲0 unité par fiole poudre pour solution injectable avec solution diluante"" -> ""facteur VIII de coagulation humain 25̲0 unité par fiole et facteur de von Willebrand humain 600 unité par fiole poudre pour solution injectable avec solution diluante"""
9015156,tirzepatide 10 mg per actuation solution for injection pre-filled pen,tirzépatide 10 mg par actionnement solution injectable stylo prérempli,"ntp_formal_name: ""tirzepatide 10 mg per acu̲t̲ation solution for injection pre-filled pen"" -> ""tirzepatide 10 mg per act̲u̲ation solution for injection pre-filled pen"""
9012780,argatroban 250 mg per 2.5 mL solution for injection vial,"argatroban 250 mg par 2,5 mL solution injectable fiole","ntp_status_effective_time: ""20240731"" -> ""20250731"""
9013154,gonadorelin acetate 0.8 mg per vial powder for solution for injection with diluent solution,"acétate de gonadoréline 0,8 mg par fiole poudre pour solution injectable avec solution diluante","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19941231"" -> ""20241224"""
9015239,metformin hydrochloride 850 mg and sitagliptin (sitagliptin hydrochloride) 50 mg oral tablet,chlorhydrate de metformine 850 mg et sitagliptine (chlorhydrate de sitagliptine) 50 mg comprimé oral,ADDED
9013684,ergocalciferol 50000 unit oral capsule,ergocalciférol 50000 unité capsule orale,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19991230"" -> ""20250728"""
9015233,dextromethorphan hydrobromide 10 mg per 15 mL syrup,bromhydrate de dextrométhorphane 10 mg par 15 mL sirop,ADDED
9014660,pyrithione zinc 0.2 % cutaneous cream,"pyrithione zincique 0,2 % crème cutanée","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20211230"" -> ""20250717"""
9014909,pyrithione zinc 0.1 % cutaneous spray,"pyrithione zincique 0,1 % vaporisation cutanée","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20230615"" -> ""20250716"""
9004767,cilastatin (cilastatin sodium) 250 mg per vial and imipenem 250 mg per vial powder for solution for injection,cilastatine (cilastatine sodique) 250 mg par fiole et imipénem 250 mg par fiole poudre pour solution injectable,"ntp_status_effective_time: ""20240731"" -> ""20250731"""
9012560,abacavir (abacavir sulfate) 300 mg and lamivudine 150 mg and zidovudine 300 mg oral tablet,abacavir (sulfate d'abacavir) 300 mg et lamivudine 150 mg et zidovudine 300 mg comprimé oral,"ntp_status_effective_time: ""20191121"" -> ""20250417"""
9013280,colestipol hydrochloride 5 g per sachet granules for oral suspension,chlorhydrate de colestipol 5 g par sachet granulés pour suspension orale,"ntp_status_effective_time: ""20220318"" -> ""20250627"""
